dateTime,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,availability,Mean_close_count_last_hour
2020-06-01 01:00:00,0.0,0.1,1.2,0,0,,True,0,6,1,0.0
2020-06-01 02:00:00,0.0,-0.2,0.6,1,0,0.0,True,0,6,1,0.0
2020-06-01 03:00:00,0.0,-0.2,1.2,2,0,0.0,True,0,6,1,0.0
2020-06-01 04:00:00,0.0,0.8,1.3,3,0,0.0,True,0,6,1,0.0
2020-06-01 05:00:00,0.0,0.9,1.9,4,0,0.0,True,0,6,1,0.0
2020-06-01 06:00:00,0.0,1.0,0.6,5,0,0.0,True,0,6,1,0.0
2020-06-01 07:00:00,0.0,1.4,0.9,6,0,0.0,True,0,6,1,0.5
2020-06-01 08:00:00,0.0,1.6,0.7,7,0,0.0,True,0,6,1,1.0
2020-06-01 09:00:00,0.0,1.7,0.4,8,6,0.0,True,0,6,1,1.5
2020-06-01 10:00:00,0.0,1.5,0.2,9,5,6.0,True,0,6,2,2.5
2020-06-01 11:00:00,0.0,1.7,1.7,10,4,5.0,True,0,6,2,4.0
2020-06-01 12:00:00,0.0,2.6,1.0,11,14,4.0,True,0,6,2,5.0
2020-06-01 13:00:00,0.0,3.2,0.8,12,27,14.0,True,0,6,2,5.0
2020-06-01 14:00:00,0.0,3.5,1.0,13,21,27.0,True,0,6,2,2.0
2020-06-01 15:00:00,0.0,3.5,0.9,14,17,21.0,True,0,6,2,1.5
2020-06-01 16:00:00,0.0,3.7,0.7,15,41,17.0,True,0,6,2,5.5
2020-06-01 17:00:00,0.0,3.8,1.7,16,29,41.0,True,0,6,2,6.0
2020-06-01 18:00:00,0.0,3.2,1.9,17,37,29.0,True,0,6,2,4.5
2020-06-01 19:00:00,0.0,3.4,1.4,18,6,37.0,True,0,6,2,8.5
2020-06-01 20:00:00,0.0,3.7,2.5,19,13,6.0,True,0,6,2,12.0
2020-06-01 21:00:00,0.0,3.8,2.2,20,5,13.0,True,0,6,2,6.5
2020-06-01 22:00:00,0.0,5.6,5.0,21,1,5.0,True,0,6,2,3.5
2020-06-01 23:00:00,0.0,5.5,6.0,22,1,1.0,True,0,6,2,0.5
2020-06-01 00:00:00,0.0,5.2,5.0,23,0,1.0,True,0,6,2,0.0
2020-06-02 01:00:00,0.0,0.0,3.4,0,0,,False,1,6,2,0.0
2020-06-02 02:00:00,0.0,-0.1,1.9,1,0,0.0,False,1,6,2,0.0
2020-06-02 03:00:00,0.0,0.2,1.5,2,0,0.0,False,1,6,2,0.0
2020-06-02 04:00:00,0.0,-1.1,0.4,3,0,0.0,False,1,6,2,0.0
2020-06-02 05:00:00,0.0,-0.8,2.6,4,0,0.0,False,1,6,2,1.5
2020-06-02 06:00:00,0.0,-0.7,2.9,5,4,0.0,False,1,6,2,1.0
2020-06-02 07:00:00,0.0,-1.4,0.9,6,2,4.0,False,1,6,2,4.0
2020-06-02 08:00:00,0.0,-1.1,1.5,7,6,2.0,False,1,6,2,6.0
2020-06-02 09:00:00,0.0,-0.3,2.1,8,4,6.0,False,1,6,2,3.0
2020-06-02 10:00:00,0.0,0.2,0.7,9,3,4.0,False,1,6,2,2.5
2020-06-02 11:00:00,0.0,2.5,0.5,10,4,3.0,False,1,6,2,2.0
2020-06-02 12:00:00,0.0,4.2,0.4,11,9,4.0,False,1,6,2,1.5
2020-06-02 13:00:00,0.0,5.6,1.3,12,8,9.0,False,1,6,2,1.0
2020-06-02 14:00:00,0.0,7.5,1.0,13,16,8.0,False,1,6,2,2.0
2020-06-02 15:00:00,0.0,6.9,1.5,14,23,16.0,False,1,6,2,5.5
2020-06-02 16:00:00,0.0,5.6,2.0,15,32,23.0,False,1,6,2,7.5
2020-06-02 17:00:00,0.0,5.9,2.3,16,39,32.0,False,1,6,2,6.0
2020-06-02 18:00:00,0.0,6.7,2.0,17,27,39.0,False,1,6,2,7.5
