Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability,dock_availability_x,availability,dock_availability_y
2022-09-01 00:00:00+00:00,0.0,-2.5,3.4,8,0,3,0,False,,0.4847222222222222,0.5025,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.7177777777777776,0.7361111111111109,0.975277777777778,0.9830555555555558,0.9830555555555558,0.9830555555555558
2022-09-01 01:00:00+00:00,0.0,-2.5,4.1,8,0,3,1,False,0.0,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004
2022-09-01 02:00:00+00:00,0.0,-2.3,3.6,8,0,3,2,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-09-01 03:00:00+00:00,0.0,-2.0,4.3,8,0,3,3,False,0.0,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669
2022-09-01 04:00:00+00:00,0.0,-1.7,4.1,8,0,3,4,False,0.0,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114
2022-09-01 05:00:00+00:00,0.0,-1.8,3.7,8,1,3,5,False,0.0,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222
2022-09-01 06:00:00+00:00,0.0,-1.9,3.5,8,13,3,6,False,1.0,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889
2022-09-01 07:00:00+00:00,0.0,-1.7,3.7,8,7,3,7,False,13.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.715,0.6958333333333333,0.9972222222222222,0.9972222222222222
2022-09-01 08:00:00+00:00,0.0,-1.6,3.9,8,2,3,8,False,7.0,0.9808333333333332,0.9808333333333332,0.7177777777777776,0.7172222222222221,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.8922222222222224,0.9177777777777776,0.9808333333333332,0.9808333333333332
2022-09-01 09:00:00+00:00,0.0,-1.6,3.5,8,1,3,9,False,2.0,0.9980555555555554,0.9980555555555554,0.3638888888888889,0.3677777777777778,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554
2022-09-01 10:00:00+00:00,0.0,-1.5,4.0,7,2,3,10,False,1.0,0.9819444444444442,0.9819444444444442,0.1047222222222222,0.0927777777777777,0.9819444444444442,0.9819444444444442,0.9819444444444442,0.9819444444444442,0.9819444444444442,0.9819444444444442,0.9819444444444442,0.9819444444444442
2022-09-01 11:00:00+00:00,0.0,-1.2,4.7,7,3,3,11,False,2.0,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825
2022-09-01 12:00:00+00:00,0.0,-1.1,5.1,7,3,3,12,False,3.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-09-01 13:00:00+00:00,0.0,-1.1,6.3,7,3,3,13,False,3.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-09-01 14:00:00+00:00,0.0,-0.9,5.6,7,6,3,14,False,3.0,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554
2022-09-01 15:00:00+00:00,0.0,-1.0,5.7,7,4,3,15,False,6.0,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332
2022-09-01 16:00:00+00:00,0.0,-1.0,5.6,7,3,3,16,False,4.0,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446
2022-09-01 17:00:00+00:00,0.0,-1.1,5.6,7,1,3,17,False,3.0,0.980277777777778,0.980277777777778,0.8455555555555557,0.8330555555555558,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778
