Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability,dock_availability_x,availability,dock_availability_y
2022-09-01 00:00:00+00:00,0.0,-2.5,3.4,8,0,3,0,False,,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.8936868686868689,0.9830555555555558
2022-09-01 01:00:00+00:00,0.0,-2.5,4.1,8,0,3,1,False,0.0,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.8931818181818183,0.9825000000000004
2022-09-01 02:00:00+00:00,0.0,-2.3,3.6,8,0,3,2,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,1.0
2022-09-01 03:00:00+00:00,0.0,-2.0,4.3,8,0,3,3,False,0.0,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.8901515151515152,0.9791666666666669
2022-09-01 04:00:00+00:00,0.0,-1.7,4.1,8,2,3,4,False,0.0,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.8941919191919194,0.9836111111111114
2022-09-01 05:00:00+00:00,0.0,-1.8,3.7,8,13,3,5,False,2.0,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.892929292929293,0.9822222222222222
2022-09-01 06:00:00+00:00,0.0,-1.9,3.5,8,13,3,6,False,13.0,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.8427525252525253,0.983888888888889
2022-09-01 07:00:00+00:00,0.0,-1.7,3.7,8,12,3,7,False,13.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.7822979797979795,0.9972222222222222
2022-09-01 08:00:00+00:00,0.0,-1.6,3.9,8,9,3,8,False,12.0,0.2480555555555555,0.2291666666666666,0.3383333333333332,0.3433333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.3383333333333332,0.3433333333333332,0.9808333333333332,0.9808333333333332,0.3383333333333332,0.3433333333333332,0.3383333333333332,0.3433333333333332,0.3383333333333332,0.3433333333333332,0.5023989898989898,0.3594444444444444
2022-09-01 09:00:00+00:00,0.0,-1.6,3.5,8,10,3,9,False,9.0,0.8844444444444443,0.8980555555555554,0.471111111111111,0.4649999999999999,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.471111111111111,0.4649999999999999,0.9980555555555554,0.9980555555555554,0.471111111111111,0.4649999999999999,0.471111111111111,0.4649999999999999,0.471111111111111,0.4649999999999999,0.3320454545454545,0.5813888888888887
