Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_7,dock_availability_7,bike_availability_478,dock_availability_478,bike_availability_545,dock_availability_545,availability,dock_availability
2022-06-01 00:00:00+00:00,0.0,-3.7,2.2,0,0,2,0,False,,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884
2022-06-01 01:00:00+00:00,0.0,-4.4,0.5,0,0,2,1,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224
2022-06-01 02:00:00+00:00,0.0,-1.7,5.3,0,0,2,2,False,0.0,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666
2022-06-01 03:00:00+00:00,0.0,-4.3,2.5,0,0,2,3,False,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-06-01 04:00:00+00:00,0.0,-4.3,3.8,0,0,2,4,False,0.0,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889
2022-06-01 05:00:00+00:00,0.0,-3.8,3.7,0,4,2,5,False,0.0,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671
2022-06-01 06:00:00+00:00,0.0,-4.5,1.4,0,2,2,6,False,4.0,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222
2022-06-01 07:00:00+00:00,0.0,-5.1,1.0,4,3,2,7,False,2.0,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9726388888888888,0.9636111111111112
2022-06-01 08:00:00+00:00,0.0,-5.3,0.5,4,4,2,8,False,3.0,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.8204166666666666,0.9880555555555556
2022-06-01 09:00:00+00:00,0.0,-5.4,2.2,4,4,2,9,False,4.0,0.7304166666666666,0.4469444444444445,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.5874999999999999,0.9908333333333332
2022-06-01 10:00:00+00:00,0.0,-5.9,1.1,2,1,2,10,False,4.0,0.291388888888889,0.0,0.9816666666666668,0.9816666666666668,0.582777777777778,0.5522222222222224,0.4153472222222223,0.6797222222222224
2022-06-01 11:00:00+00:00,0.0,-4.6,1.3,2,5,2,11,False,1.0,0.0,0.0,0.986388888888889,0.986388888888889,0.0,0.0,0.4211111111111111,0.5038888888888889
2022-06-01 12:00:00+00:00,0.0,-4.2,1.2,2,5,2,12,False,5.0,0.0,0.0,0.0994444444444444,0.0983333333333333,0.0,0.0,0.0196527777777777,0.0527777777777777
2022-06-01 13:00:00+00:00,0.0,-2.7,1.5,2,6,2,13,False,5.0,0.0,0.0,0.3269444444444443,0.3283333333333332,0.0,0.0,0.3684722222222221,0.6175
2022-06-01 14:00:00+00:00,0.0,-3.9,0.2,2,6,2,14,False,6.0,0.0,0.0,0.6780555555555555,0.6777777777777778,0.0,0.0,0.2434027777777777,0.6233333333333332
2022-06-01 15:00:00+00:00,0.0,-4.0,0.8,2,7,2,15,False,6.0,0.0644444444444444,0.1125,0.3244444444444445,0.2819444444444445,0.0,0.0,0.5875694444444445,0.8119444444444442
2022-06-01 16:00:00+00:00,0.0,-6.6,0.0,1,1,2,16,False,7.0,0.4779166666666666,0.971111111111111,0.4166666666666667,0.4327777777777778,0.0,0.0,0.7983333333333332,0.2616666666666666
2022-06-01 17:00:00+00:00,0.0,-7.7,1.6,1,6,2,17,False,1.0,0.3868055555555555,0.7824999999999999,0.7347222222222222,0.7394444444444443,0.0,0.0,0.9811805555555552,0.9911111111111108
2022-06-01 18:00:00+00:00,0.0,-8.5,1.1,1,5,2,18,False,6.0,0.494722222222222,0.989444444444444,0.680833333333333,0.6736111111111107,0.0,0.0,0.742083333333333,0.989444444444444
2022-06-01 19:00:00+00:00,0.0,-9.0,1.7,0,6,2,19,False,5.0,0.6097222222222222,0.9933333333333332,0.6133333333333334,0.6041666666666667,0.2261111111111111,0.2338888888888889,0.764236111111111,0.9933333333333332
2022-06-01 20:00:00+00:00,0.0,-9.0,2.7,0,0,2,20,False,6.0,0.9983333333333332,0.9983333333333332,0.8847222222222222,0.8775,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332
2022-06-01 21:00:00+00:00,0.0,-9.5,1.8,0,2,2,21,False,0.0,0.9899999999999995,0.9899999999999995,0.899444444444444,0.8836111111111107,0.9899999999999995,0.9899999999999995,0.9899999999999995,0.9899999999999995
2022-06-01 22:00:00+00:00,0.0,-9.2,2.2,5,1,2,22,False,2.0,0.9877777777777776,0.9877777777777776,0.0,0.0,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776
2022-06-01 23:00:00+00:00,0.0,-8.2,1.9,5,0,2,23,False,1.0,0.979722222222222,0.979722222222222,0.0,0.0,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222
