Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability,dock_availability_x,availability,dock_availability_y
2022-06-01 00:00:00+00:00,-0.1545396153419373,-2.3390852030239104,-0.1367971611123186,-1.7544936681265235,0,2,0,False,,0.0,0.0,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884
2022-06-01 01:00:00+00:00,-0.1545396153419373,-2.430881273015714,-1.4700624084607168,-1.7544936681265235,0,2,1,False,0.0,0.0,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224
2022-06-01 02:00:00+00:00,-0.1545396153419373,-2.076810717333042,2.2944512311112306,-1.7544936681265235,0,2,2,False,0.0,0.0,0.0,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666
2022-06-01 03:00:00+00:00,-0.1545396153419373,-2.4177675487311703,0.0984849413609279,-1.7544936681265235,0,2,3,False,0.0,0.0,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-06-01 04:00:00+00:00,-0.1545396153419373,-2.4177675487311703,1.118040718744997,-1.7544936681265235,0,2,4,False,0.0,0.0,0.0,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889
2022-06-01 05:00:00+00:00,-0.1545396153419373,-2.352198927308453,1.039613351253915,-1.7544936681265235,0,2,5,False,0.0,0.9066666666666672,0.9283333333333338,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671
2022-06-01 06:00:00+00:00,-0.1545396153419373,-2.443994997300257,-0.7642161010409767,-1.7544936681265235,1,2,6,False,0.0,0.7027777777777777,0.6886111111111111,0.984722222222222,0.984722222222222,0.7994444444444444,0.7922222222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.6380555555555555,0.6158333333333332,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222
2022-06-01 07:00:00+00:00,-0.1545396153419373,-2.522677343007518,-1.0779255710053055,-0.194943740902947,0,2,7,False,1.0,0.0,0.0,0.9783333333333334,0.9783333333333334,0.4825,0.4891666666666667,0.9555555555555556,0.9636111111111112,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9644444444444444,0.9719444444444444,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.752777777777778,0.7258333333333336,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334
2022-06-01 08:00:00+00:00,-0.1545396153419373,-2.5489047915766045,-1.4700624084607168,-0.194943740902947,0,2,8,False,0.0,0.0,0.0,0.9880555555555556,0.9880555555555556,0.9033333333333332,0.8802777777777777,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.5225,0.4886111111111111,0.7038888888888887,0.6786111111111109,0.9880555555555556,0.9880555555555556,0.7830555555555554,0.7680555555555554,0.0,0.0,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556
2022-06-01 09:00:00+00:00,-0.1545396153419373,-2.562018515861148,-0.1367971611123186,-0.194943740902947,1,2,9,False,0.0,0.0,0.0,0.9908333333333332,0.9908333333333332,0.0458333333333333,0.0347222222222222,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.0041666666666666,0.0,0.3186111111111112,0.2516666666666667,0.0,0.0,0.0,0.0,0.9908333333333332,0.9908333333333332,0.3683333333333332,0.3458333333333332,0.0636111111111111,0.0630555555555555,0.47,0.4469444444444445,0.0502777777777777,0.035
