Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_390.0,dock_availability_390.0,bike_availability_625.0,dock_availability_625.0,bike_availability_430.0,dock_availability_430.0,bike_availability_2337.0,dock_availability_2337.0
2022-04-22 12:00:00+00:00,0.0,17.6,4.8,1,2,4,12,False,2.0,0.9816666666666668,0.9816666666666668,0.9816666666666668,0.9816666666666668,0.9816666666666668,0.9816666666666668,0.9816666666666668,0.9816666666666668
2022-04-22 13:00:00+00:00,0.0,18.4,6.1,1,3,4,13,False,2.0,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.9869444444444444
2022-04-22 14:00:00+00:00,0.0,18.9,5.5,1,7,4,14,False,3.0,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446
2022-04-22 15:00:00+00:00,0.0,19.2,4.6,1,3,4,15,False,7.0,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448
2022-04-22 16:00:00+00:00,0.0,19.4,5.1,2,4,4,16,False,3.0,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224
2022-04-22 17:00:00+00:00,0.0,19.2,5.1,2,1,4,17,False,4.0,0.9838888888888894,0.9838888888888894,0.9838888888888894,0.9838888888888894,0.9838888888888894,0.9838888888888894,0.9838888888888894,0.9838888888888894
2022-04-22 18:00:00+00:00,0.0,18.8,4.0,2,4,4,18,False,1.0,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889
2022-04-22 19:00:00+00:00,0.0,17.5,4.3,2,1,4,19,False,4.0,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776
2022-04-22 20:00:00+00:00,0.0,15.6,5.2,2,2,4,20,False,1.0,0.991388888888889,0.991388888888889,0.991388888888889,0.991388888888889,0.991388888888889,0.991388888888889,0.991388888888889,0.991388888888889
2022-04-22 21:00:00+00:00,0.0,13.8,4.8,2,1,4,21,False,2.0,0.9811111111111116,0.9811111111111116,0.9811111111111116,0.9811111111111116,0.9811111111111116,0.9811111111111116,0.9811111111111116,0.9811111111111116
2022-04-22 22:00:00+00:00,0.0,12.9,4.5,2,0,4,22,False,1.0,0.988611111111111,0.988611111111111,0.988611111111111,0.988611111111111,0.988611111111111,0.988611111111111,0.988611111111111,0.988611111111111
2022-04-22 23:00:00+00:00,0.0,12.0,5.0,2,0,4,23,False,0.0,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9652777777777778
2022-04-23 00:00:00+00:00,0.0,11.4,4.8,2,0,5,0,False,0.0,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556
2022-04-23 01:00:00+00:00,0.0,10.6,3.7,2,0,5,1,False,0.0,0.9824999999999998,0.9824999999999998,0.9824999999999998,0.9824999999999998,0.9824999999999998,0.9824999999999998,0.9824999999999998,0.9824999999999998
2022-04-23 02:00:00+00:00,0.0,10.2,2.2,2,0,5,2,False,0.0,0.9891666666666664,0.9891666666666664,0.9891666666666664,0.9891666666666664,0.9891666666666664,0.9891666666666664,0.9891666666666664,0.9891666666666664
2022-04-23 03:00:00+00:00,0.0,9.0,3.0,2,0,5,3,False,0.0,0.9891666666666667,0.9891666666666667,0.9891666666666667,0.9891666666666667,0.9891666666666667,0.9891666666666667,0.9891666666666667,0.9891666666666667
2022-04-23 04:00:00+00:00,0.0,7.9,1.6,2,0,5,4,False,0.0,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444
2022-04-23 05:00:00+00:00,0.0,7.4,1.5,2,0,5,5,False,0.0,0.9808333333333328,0.9808333333333328,0.9808333333333328,0.9808333333333328,0.9808333333333328,0.9808333333333328,0.9808333333333328,0.9808333333333328
2022-04-23 06:00:00+00:00,0.0,7.7,4.5,2,0,5,6,False,0.0,0.9924999999999994,0.9924999999999994,0.9924999999999994,0.9924999999999994,0.9924999999999994,0.9924999999999994,0.9924999999999994,0.9924999999999994
2022-04-23 07:00:00+00:00,0.0,8.4,4.2,6,0,5,7,False,0.0,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108
2022-04-23 08:00:00+00:00,0.0,9.0,4.1,6,0,5,8,False,0.0,0.9894444444444442,0.9894444444444442,0.9894444444444442,0.9894444444444442,0.9894444444444442,0.9894444444444442,0.9894444444444442,0.9894444444444442
2022-04-23 09:00:00+00:00,0.0,9.9,4.0,6,0,5,9,False,0.0,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776
2022-04-23 10:00:00+00:00,0.0,10.9,4.7,4,4,5,10,False,0.0,0.9700000000000004,0.9700000000000004,0.9700000000000004,0.9700000000000004,0.9700000000000004,0.9700000000000004,0.9700000000000004,0.9700000000000004
