dateTime,availability 0,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2020-12-01 01:00:00,0,0.0,6.1,0.8,0,0,,False,1,12,0
2020-12-01 02:00:00,0,0.0,5.2,1.8,1,0,0.0,False,1,12,0
2020-12-01 03:00:00,0,0.0,4.8,0.4,2,0,0.0,False,1,12,0
2020-12-01 04:00:00,0,0.0,4.8,0.8,3,0,0.0,False,1,12,0
2020-12-01 05:00:00,0,0.0,3.8,0.6,4,0,0.0,False,1,12,0
2020-12-01 06:00:00,0,0.0,2.5,0.9,5,0,0.0,False,1,12,0
2020-12-01 07:00:00,0,0.0,1.5,0.6,6,0,0.0,False,1,12,0
2020-12-01 08:00:00,0,0.0,1.7,1.3,7,2,0.0,False,1,12,0
2020-12-01 09:00:00,0,0.0,1.2,0.7,8,0,2.0,False,1,12,0
2020-12-01 10:00:00,1,0.0,0.2,0.9,9,0,0.0,False,1,12,2
2020-12-01 11:00:00,1,0.0,0.0,1.7,10,0,0.0,False,1,12,1
2020-12-01 12:00:00,1,0.0,1.8,1.6,11,0,0.0,False,1,12,1
2020-12-01 13:00:00,1,0.0,4.4,1.8,12,0,0.0,False,1,12,0
2020-12-01 14:00:00,1,0.0,6.1,1.4,13,0,0.0,False,1,12,1
2020-12-01 15:00:00,1,0.0,4.8,2.5,14,0,0.0,False,1,12,2
2020-12-01 16:00:00,1,0.0,4.2,1.5,15,0,0.0,False,1,12,1
2020-12-01 17:00:00,0,0.0,2.6,1.6,16,0,0.0,False,1,12,0
2020-12-01 18:00:00,1,0.0,0.6,1.6,17,0,0.0,False,1,12,1
2020-12-01 19:00:00,1,0.0,-0.7,0.8,18,0,0.0,False,1,12,1
2020-12-01 20:00:00,0,0.0,0.4,2.7,19,1,0.0,False,1,12,0
2020-12-01 21:00:00,0,0.0,0.4,3.4,20,0,1.0,False,1,12,0
2020-12-01 22:00:00,0,0.0,-0.4,1.9,21,0,0.0,False,1,12,0
2020-12-01 23:00:00,0,0.0,-0.4,0.7,22,0,0.0,False,1,12,0
2020-12-01 00:00:00,0,0.0,-1.5,0.3,23,0,0.0,False,1,12,0
2020-12-02 01:00:00,0,0.0,2.9,4.0,0,0,,False,2,12,0
2020-12-02 02:00:00,0,0.0,3.1,3.9,1,0,0.0,False,2,12,0
2020-12-02 03:00:00,0,0.0,2.9,3.5,2,0,0.0,False,2,12,0
2020-12-02 04:00:00,0,0.0,2.1,1.8,3,0,0.0,False,2,12,0
2020-12-02 05:00:00,0,0.0,2.3,3.2,4,0,0.0,False,2,12,0
2020-12-02 06:00:00,0,0.0,1.7,2.4,5,0,0.0,False,2,12,0
2020-12-02 07:00:00,0,0.0,1.5,3.1,6,0,0.0,False,2,12,0
2020-12-02 08:00:00,0,0.0,1.2,2.2,7,1,0.0,False,2,12,0
2020-12-02 09:00:00,0,0.0,0.7,1.1,8,0,1.0,False,2,12,0
2020-12-02 10:00:00,0,0.0,0.2,1.2,9,1,0.0,False,2,12,0
2020-12-02 11:00:00,0,0.0,0.5,1.1,10,0,1.0,False,2,12,0
2020-12-02 12:00:00,1,0.0,4.6,2.7,11,1,0.0,False,2,12,1
2020-12-02 13:00:00,0,0.0,6.2,2.9,12,0,1.0,False,2,12,0
2020-12-02 14:00:00,0,0.0,6.3,3.7,13,0,0.0,False,2,12,0
2020-12-02 15:00:00,1,0.0,6.6,3.4,14,0,0.0,False,2,12,2
2020-12-02 16:00:00,1,0.0,7.0,4.3,15,1,0.0,False,2,12,1
2020-12-02 17:00:00,1,0.0,6.7,4.0,16,0,1.0,False,2,12,0
2020-12-02 18:00:00,1,0.0,5.1,3.8,17,1,0.0,False,2,12,0
2020-12-02 19:00:00,1,0.0,3.5,4.3,18,1,1.0,False,2,12,0
2020-12-02 20:00:00,1,0.0,2.6,4.1,19,0,1.0,False,2,12,1
2020-12-02 21:00:00,1,0.0,2.3,2.6,20,0,0.0,False,2,12,0
2020-12-02 22:00:00,1,0.0,0.9,1.0,21,0,0.0,False,2,12,0
2020-12-02 23:00:00,1,0.0,0.2,2.8,22,0,0.0,False,2,12,0
2020-12-02 00:00:00,1,0.0,-1.0,1.9,23,0,0.0,False,2,12,0
2020-12-03 01:00:00,1,0.0,3.5,3.1,0,0,,False,3,12,0
2020-12-03 02:00:00,1,0.0,3.1,3.9,1,0,0.0,False,3,12,0
2020-12-03 03:00:00,1,0.0,2.1,1.9,2,0,0.0,False,3,12,0
2020-12-03 04:00:00,1,0.0,0.9,2.0,3,0,0.0,False,3,12,0
2020-12-03 05:00:00,1,0.0,1.1,1.5,4,0,0.0,False,3,12,0
2020-12-03 06:00:00,1,0.0,0.9,1.3,5,1,0.0,False,3,12,0
2020-12-03 07:00:00,1,0.0,0.3,0.6,6,0,1.0,False,3,12,2
2020-12-03 08:00:00,1,0.0,0.2,2.6,7,0,0.0,False,3,12,0
2020-12-03 09:00:00,1,0.0,0.3,2.3,8,1,0.0,False,3,12,1
2020-12-03 10:00:00,1,0.0,0.9,1.8,9,0,1.0,False,3,12,0
2020-12-03 11:00:00,1,0.0,1.9,1.3,10,0,0.0,False,3,12,0
2020-12-03 12:00:00,1,0.0,2.7,1.3,11,0,0.0,False,3,12,0
2020-12-03 13:00:00,1,0.0,4.2,1.8,12,0,0.0,False,3,12,0
