dateTime,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,availability,Mean_close_count_last_hour
2020-10-01 01:00:00,0.0,1.7,2.8,0,0,,False,3,10,3.0,0.0
2020-10-01 02:00:00,0.0,1.5,3.0,1,0,0.0,False,3,10,3.0,0.0
2020-10-01 03:00:00,0.0,1.5,2.2,2,0,0.0,False,3,10,3.0,0.0
2020-10-01 04:00:00,0.0,2.0,2.4,3,0,0.0,False,3,10,3.0,0.0
2020-10-01 05:00:00,0.0,1.7,1.4,4,1,0.0,False,3,10,3.0,0.0
2020-10-01 06:00:00,0.0,1.0,1.9,5,10,1.0,False,3,10,3.0,1.3333333333333333
2020-10-01 07:00:00,0.0,0.6,1.9,6,2,10.0,False,3,10,3.0,1.6666666666666667
2020-10-01 08:00:00,0.0,-0.2,1.7,7,4,2.0,False,3,10,3.0,0.3333333333333333
2020-10-01 09:00:00,0.0,-0.6,1.4,8,4,4.0,False,3,10,0.0,0.0
2020-10-01 10:00:00,0.0,-2.3,0.9,9,0,4.0,False,3,10,0.0,0.0
2020-10-01 11:00:00,0.0,-2.4,0.5,10,1,0.0,False,3,10,0.0,2.333333333333333
2020-10-01 12:00:00,0.0,-0.9,1.2,11,2,1.0,False,3,10,1.0,0.3333333333333333
2020-10-01 13:00:00,0.0,0.2,1.1,12,1,2.0,False,3,10,1.0,0.6666666666666666
2020-10-01 14:00:00,0.0,0.7,1.8,13,2,1.0,False,3,10,1.0,0.3333333333333333
2020-10-01 15:00:00,0.0,0.3,1.2,14,1,2.0,False,3,10,1.0,0.6666666666666666
2020-10-01 16:00:00,0.0,-0.1,1.2,15,3,1.0,False,3,10,1.0,1.0
2020-10-01 17:00:00,0.0,-1.6,0.6,16,3,3.0,False,3,10,0.0,2.6666666666666665
2020-10-01 18:00:00,0.0,-1.8,1.2,17,0,3.0,False,3,10,1.0,3.0
2020-10-01 19:00:00,0.0,-2.8,0.4,18,2,0.0,False,3,10,3.0,4.0
2020-10-01 20:00:00,0.0,-3.3,2.6,19,2,2.0,False,3,10,3.0,0.0
2020-10-01 21:00:00,0.0,-3.6,1.4,20,2,2.0,False,3,10,1.0,0.6666666666666666
2020-10-01 22:00:00,0.0,-4.6,0.2,21,1,2.0,False,3,10,3.0,0.3333333333333333
2020-10-01 23:00:00,0.0,-5.0,1.0,22,0,1.0,False,3,10,2.0,0.3333333333333333
2020-10-01 00:00:00,0.0,-5.4,0.5,23,0,0.0,False,3,10,2.0,0.0
