Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3,bike_availability_4,dock_availability_4,bike_availability_5,dock_availability_5,bike_availability_6,dock_availability_6,bike_availability_7,dock_availability_7,bike_availability_8,dock_availability_8,bike_availability_9,dock_availability_9,bike_availability_10,dock_availability_10,bike_availability_11,dock_availability_11,bike_availability_12,dock_availability_12
2022-06-28 21:00:00+00:00,0.1,18.4,2.1,1,2,1,21,False,2.0,0.9330555555555556,0.9111111111111112,0.0,0.0,0.2677777777777777,0.2824999999999999,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.4152777777777777,0.4508333333333332,0.9986111111111112,0.9986111111111112,0.9308333333333334,0.9827777777777778,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112
2022-06-28 22:00:00+00:00,0.1,16.6,1.4,1,0,1,22,False,2.0,0.0366666666666666,0.0280555555555555,0.0999999999999999,0.1147222222222222,0.0638888888888888,0.0416666666666666,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.4991666666666666,0.4783333333333333,1.0000000000000002,1.0000000000000002,0.2833333333333333,0.2833333333333333,1.0000000000000002,1.0000000000000002,0.2816666666666667,0.2669444444444444,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2022-06-28 23:00:00+00:00,0.0,15.3,1.9,1,0,1,23,False,0.0,0.0,0.0,0.346111111111111,0.3316666666666666,0.5947222222222222,0.6163888888888889,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.5302777777777778,0.5516666666666666,0.9788888888888888,0.9788888888888888,0.0,0.0,0.6494444444444443,0.6277777777777777,0.5458333333333334,0.5608333333333333,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888
2022-06-29 00:00:00+00:00,0.0,14.5,1.7,1,0,2,0,False,0.0,0.7980555555555555,0.8344444444444443,0.0,0.0,0.0963888888888888,0.0819444444444444,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.0455555555555555,0.0308333333333333,0.996111111111111,0.996111111111111,0.0,0.0,0.0,0.0,0.2316666666666666,0.2313888888888889,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111
2022-06-29 01:00:00+00:00,0.0,13.3,1.3,1,0,2,1,False,0.0,0.9983333333333332,0.9983333333333332,0.0,0.0,0.0,0.0,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.0,0.0,0.9983333333333332,0.9983333333333332,0.0,0.0,0.0,0.0,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332
2022-06-29 02:00:00+00:00,0.0,12.7,2.5,1,0,2,2,False,0.0,0.9833333333333332,0.9833333333333332,0.0,0.0,0.0,0.0,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.0,0.0,0.9833333333333332,0.9833333333333332,0.0,0.0,0.0,0.0,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332
2022-06-29 03:00:00+00:00,0.0,12.3,1.6,1,0,2,3,False,0.0,0.9988888888888888,0.9988888888888888,0.0,0.0,0.0,0.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.0,0.0,0.9988888888888888,0.9988888888888888,0.0,0.0,0.0,0.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888
2022-06-29 04:00:00+00:00,0.0,12.6,2.4,1,0,2,4,False,0.0,0.980277777777778,0.980277777777778,0.0,0.0,0.0,0.0,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.0,0.0,0.980277777777778,0.980277777777778,0.0,0.0,0.0,0.0,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778
2022-06-29 05:00:00+00:00,0.0,13.2,2.7,1,1,2,5,False,0.0,0.9997222222222218,0.9997222222222218,0.0,0.0,0.0,0.0,0.9997222222222218,0.9997222222222218,0.9997222222222218,0.9997222222222218,0.0,0.0,0.9997222222222218,0.9997222222222218,0.0,0.0,0.0,0.0,0.9997222222222218,0.9997222222222218,0.9997222222222218,0.9997222222222218,0.9997222222222218,0.9997222222222218
2022-06-29 06:00:00+00:00,0.0,15.2,1.7,1,2,2,6,False,1.0,0.980277777777778,0.980277777777778,0.9169444444444445,0.9311111111111112,0.2361111111111111,0.2647222222222222,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.0,0.0,0.980277777777778,0.980277777777778,0.0,0.0,0.0144444444444444,0.0494444444444444,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778
