Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3
2022-06-27 00:00:00+00:00,0.0,16.1,2.2,4,0,0,0,False,0.0,0.9838888888888888,0.9838888888888888,0.1469444444444444,0.1166666666666666,0.5325000000000001,0.4688888888888889
2022-06-27 01:00:00+00:00,0.0,16.1,2.9,4,0,0,1,False,0.0,0.969166666666667,0.969166666666667,0.0,0.0,0.0,0.0
2022-06-27 02:00:00+00:00,0.0,16.2,2.9,4,0,0,2,False,0.0,0.9822222222222224,0.9822222222222224,0.0,0.0,0.0,0.0
2022-06-27 03:00:00+00:00,0.0,16.1,2.0,4,0,0,3,False,0.0,0.9716666666666668,0.9716666666666668,0.0,0.0,0.0,0.0
2022-06-27 04:00:00+00:00,0.0,16.9,1.6,4,0,0,4,False,0.0,0.9858333333333336,0.9858333333333336,0.0,0.0,0.0,0.0
2022-06-27 05:00:00+00:00,0.0,17.0,1.3,4,0,0,5,False,0.0,0.9805555555555556,0.9805555555555556,0.0,0.0,0.0,0.0
2022-06-27 06:00:00+00:00,0.0,17.0,1.2,4,0,0,6,False,0.0,0.9974999999999996,0.9974999999999996,0.0,0.0,0.0,0.0
2022-06-27 07:00:00+00:00,0.0,16.9,0.8,8,0,0,7,False,0.0,0.9919444444444446,0.9919444444444446,0.0,0.0,0.0,0.0
2022-06-27 08:00:00+00:00,0.0,17.3,0.7,8,0,0,8,False,0.0,0.6630555555555556,0.6463888888888889,0.4905555555555556,0.5091666666666668,0.0,0.0
2022-06-27 09:00:00+00:00,0.0,18.5,1.4,8,0,0,9,False,0.0,0.0736111111111111,0.0494444444444444,0.9825,0.9825,0.0,0.0
2022-06-27 10:00:00+00:00,0.0,19.3,2.7,7,0,0,10,False,0.0,0.1033333333333333,0.1711111111111111,0.983888888888889,0.983888888888889,0.5672222222222222,0.6044444444444445
2022-06-27 11:00:00+00:00,0.7,19.0,3.0,7,0,0,11,False,0.0,0.2177777777777778,0.2027777777777777,0.9852777777777778,0.9852777777777778,0.9852777777777778,0.9852777777777778
2022-06-27 12:00:00+00:00,13.8,18.0,2.3,7,1,0,12,False,0.0,0.798888888888889,0.8350000000000002,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-06-27 13:00:00+00:00,0.0,19.5,0.7,8,1,0,13,False,1.0,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224
2022-06-27 14:00:00+00:00,0.0,20.4,0.8,8,0,0,14,False,1.0,0.9686111111111108,0.9686111111111108,0.9686111111111108,0.9686111111111108,0.0983333333333333,0.0841666666666666
2022-06-27 15:00:00+00:00,0.0,20.6,1.2,8,1,0,15,False,0.0,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.0,0.0
