dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2022-04-01 01:00:00,1,1,1,1,1,1,1,1,0.0,-1.2,2.1,0,0,,False,4,4,0.0
2022-04-01 02:00:00,1,1,1,1,1,1,1,1,0.0,-2.7,1.2,1,0,0.0,False,4,4,0.0
2022-04-01 03:00:00,1,1,1,1,1,1,1,1,0.0,-2.2,2.1,2,0,0.0,False,4,4,0.0
2022-04-01 04:00:00,1,1,1,1,1,1,1,1,0.0,-3.2,0.8,3,0,0.0,False,4,4,0.0
2022-04-01 05:00:00,1,1,1,1,1,1,1,1,0.0,-4.0,1.7,4,0,0.0,False,4,4,0.0
2022-04-01 06:00:00,1,1,1,1,1,1,1,1,0.0,-3.9,1.8,5,2,0.0,False,4,4,0.375
2022-04-01 07:00:00,1,1,1,1,1,1,1,1,0.0,-2.8,2.1,6,5,2.0,False,4,4,1.5
2022-04-01 08:00:00,1,1,1,1,1,1,1,1,0.0,-2.8,0.7,7,2,5.0,False,4,4,1.25
2022-04-01 09:00:00,1,1,0,1,1,1,1,1,0.0,-3.0,2.4,8,0,2.0,False,4,4,0.5
2022-04-01 10:00:00,1,0,0,1,1,1,1,1,0.0,-3.2,2.6,9,0,0.0,False,4,4,0.5
2022-04-01 11:00:00,1,0,0,1,1,1,1,1,0.0,-3.8,1.1,10,0,0.0,False,4,4,0.75
2022-04-01 12:00:00,1,1,1,1,1,1,1,1,0.0,-2.5,1.2,11,3,0.0,False,4,4,0.75
2022-04-01 13:00:00,1,1,1,1,1,1,1,1,0.0,-1.3,0.8,12,0,3.0,False,4,4,0.375
2022-04-01 14:00:00,1,0,1,1,1,1,1,1,0.0,0.2,0.9,13,1,0.0,False,4,4,1.25
2022-04-01 15:00:00,1,0,0,1,1,1,1,1,0.0,-0.1,1.8,14,0,1.0,False,4,4,1.375
2022-04-01 16:00:00,1,0,0,1,1,1,1,1,0.0,-1.0,0.7,15,0,0.0,False,4,4,0.75
