Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-08-04 00:00:00+00:00,0.0,1.5,5.0,6,0,3,0,False,0.0
2022-08-04 01:00:00+00:00,0.0,1.1,4.6,6,0,3,1,False,0.0
2022-08-04 02:00:00+00:00,0.0,1.0,4.9,6,0,3,2,False,0.0
2022-08-04 03:00:00+00:00,0.0,0.9,5.8,6,0,3,3,False,0.0
2022-08-04 04:00:00+00:00,0.0,0.3,5.1,6,0,3,4,False,0.0
2022-08-04 05:00:00+00:00,0.0,0.2,4.4,6,3,3,5,False,0.0
2022-08-04 06:00:00+00:00,0.0,0.3,5.7,6,0,3,6,False,3.0
2022-08-04 07:00:00+00:00,0.0,0.4,6.5,7,0,3,7,False,0.0
2022-08-04 08:00:00+00:00,0.0,0.5,7.0,7,0,3,8,False,0.0
2022-08-04 09:00:00+00:00,0.0,1.0,6.4,7,1,3,9,False,0.0
2022-08-04 10:00:00+00:00,0.0,2.3,6.7,7,0,3,10,False,1.0
2022-08-04 11:00:00+00:00,0.0,2.8,6.9,7,0,3,11,False,0.0
2022-08-04 12:00:00+00:00,0.0,3.4,8.8,7,2,3,12,False,0.0
2022-08-04 13:00:00+00:00,0.0,4.3,7.1,7,1,3,13,False,2.0
2022-08-04 14:00:00+00:00,0.0,4.9,5.0,7,0,3,14,False,1.0
2022-08-04 15:00:00+00:00,0.0,5.5,5.6,7,0,3,15,False,0.0
2022-08-04 16:00:00+00:00,0.0,5.0,7.9,4,0,3,16,False,0.0
2022-08-04 17:00:00+00:00,0.0,3.9,7.9,4,0,3,17,False,0.0
2022-08-04 18:00:00+00:00,0.0,3.4,5.4,4,0,3,18,False,0.0
2022-08-04 19:00:00+00:00,0.0,1.9,4.4,2,0,3,19,False,0.0
2022-08-04 20:00:00+00:00,0.0,1.0,2.3,2,2,3,20,False,0.0
2022-08-04 21:00:00+00:00,0.0,1.0,3.7,2,0,3,21,False,2.0
2022-08-04 22:00:00+00:00,0.0,1.0,3.0,4,0,3,22,False,0.0
2022-08-04 23:00:00+00:00,0.0,0.0,1.6,4,0,3,23,False,0.0
2022-08-05 00:00:00+00:00,0.0,5.6,4.0,1,0,4,0,False,0.0
2022-08-05 01:00:00+00:00,0.0,4.4,1.2,1,0,4,1,False,0.0
2022-08-05 02:00:00+00:00,0.0,3.6,2.0,1,0,4,2,False,0.0
2022-08-05 03:00:00+00:00,0.0,2.9,1.4,1,0,4,3,False,0.0
2022-08-05 04:00:00+00:00,0.0,2.2,0.9,1,0,4,4,False,0.0
2022-08-05 05:00:00+00:00,0.0,2.2,1.7,1,2,4,5,False,0.0
2022-08-05 06:00:00+00:00,0.0,5.2,2.6,1,1,4,6,False,2.0
