Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,availability,dock_availability
2022-08-01 00:00:00+00:00,0.2,-3.5,6.1,8,0,0,0,False,,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.5158333333333334,0.615,0.8611111111111112,0.8611111111111112,0.4305555555555556,0.0,0.8611111111111112,0.8611111111111112,0.4305555555555556,0.0,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112
2022-08-01 01:00:00+00:00,0.1,-3.4,6.1,8,0,0,1,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.4898611111111112,0.0,0.9797222222222224,0.9797222222222224,0.4898611111111112,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224
2022-08-01 02:00:00+00:00,0.3,-3.5,4.1,8,0,0,2,False,0.0,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.4877777777777777,0.0,0.9755555555555554,0.9755555555555554,0.4877777777777777,0.0,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554
2022-08-01 03:00:00+00:00,0.2,-3.5,4.3,8,0,0,3,False,0.0,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.4905555555555554,0.0,0.9811111111111108,0.9811111111111108,0.4905555555555554,0.0,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108
2022-08-01 04:00:00+00:00,0.2,-3.4,4.3,8,1,0,4,False,0.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.4994444444444444,0.0,0.9988888888888888,0.9988888888888888,0.4994444444444444,0.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888
2022-08-01 05:00:00+00:00,0.2,-3.5,5.0,8,2,0,5,False,1.0,0.9980555555555554,0.9980555555555554,0.7641666666666667,0.7497222222222222,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.4990277777777777,0.0,0.9980555555555554,0.9980555555555554,0.4990277777777777,0.0,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554
2022-08-01 06:00:00+00:00,0.0,-3.3,4.0,8,1,0,6,False,2.0,0.9830555555555556,0.9830555555555556,0.0,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.4915277777777778,0.0,0.9830555555555556,0.9830555555555556,0.4915277777777778,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556
2022-08-01 07:00:00+00:00,0.3,-3.7,3.6,0,1,0,7,False,1.0,0.96,0.96,0.1613888888888889,0.1758333333333333,0.96,0.96,0.96,0.96,0.48,0.0,0.96,0.96,0.48,0.0,0.96,0.96,0.96,0.96
2022-08-01 08:00:00+00:00,0.2,-3.6,3.6,0,1,0,8,False,1.0,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.8280555555555553,0.8427777777777776,0.9879166666666662,0.9936111111111108,0.9963888888888884,0.9963888888888884,0.4981944444444442,0.0,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884
2022-08-01 09:00:00+00:00,0.3,-3.7,2.6,0,1,0,9,False,1.0,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.2655555555555555,0.2422222222222222,0.8379166666666666,0.6791666666666667,0.9958333333333332,0.9958333333333332,0.4979166666666666,0.0,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332
2022-08-01 10:00:00+00:00,0.0,-3.5,3.9,7,1,0,10,False,1.0,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.4905555555555555,0.0,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111
2022-08-01 11:00:00+00:00,0.1,-3.3,2.6,7,2,0,11,False,1.0,0.982777777777778,0.982777777777778,0.6125000000000002,0.5969444444444446,0.982777777777778,0.982777777777778,0.3941666666666667,0.3788888888888889,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.491388888888889,0.0,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778
2022-08-01 12:00:00+00:00,0.1,-3.0,2.4,7,1,0,12,False,2.0,0.9908333333333332,0.9908333333333332,0.0,0.0,0.9908333333333332,0.9908333333333332,0.0,0.0,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.4954166666666666,0.0,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332
