Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_475.0,dock_availability_475.0,bike_availability_2339.0,dock_availability_2339.0,bike_availability_2334.0,dock_availability_2334.0,bike_availability_2332.0,dock_availability_2332.0,num_bikes_available
2022-08-02 01:00:00+00:00,0.0,1.1,1.4,8,0,1,1,False,0.0,8,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,15
2022-08-02 02:00:00+00:00,0.0,1.7,3.6,8,0,1,2,False,0.0,8,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,15
2022-08-02 03:00:00+00:00,0.0,2.5,4.4,8,0,1,3,False,0.0,8,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,15
2022-08-02 04:00:00+00:00,0.0,2.6,3.0,8,0,1,4,False,0.0,8,0.9786111111111112,0.9786111111111112,0.9786111111111112,0.9786111111111112,0.9786111111111112,0.9786111111111112,0.9786111111111112,0.9786111111111112,15
2022-08-02 05:00:00+00:00,0.0,2.7,2.6,8,0,1,5,False,0.0,8,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,15
2022-08-02 06:00:00+00:00,0.0,2.6,1.2,8,1,1,6,False,0.0,8,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,15
2022-08-02 07:00:00+00:00,0.0,2.5,0.5,8,0,1,7,False,1.0,8,0.9947222222222224,0.9947222222222224,0.9947222222222224,0.9947222222222224,0.9947222222222224,0.9947222222222224,0.9947222222222224,0.963888888888889,16
2022-08-02 08:00:00+00:00,0.0,1.3,1.2,8,1,1,8,False,0.0,8,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.0,0.0,18
2022-08-02 09:00:00+00:00,0.0,0.9,1.8,8,0,1,9,False,1.0,8,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.0280555555555555,0.0125,0.0,0.0,20
2022-08-02 10:00:00+00:00,0.0,2.1,1.9,1,1,1,10,False,0.0,8,0.98,0.98,0.98,0.98,0.0,0.0,0.0,0.0,20
2022-08-02 11:00:00+00:00,0.0,3.7,1.3,1,2,1,11,False,1.0,8,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.4566666666666667,0.4866666666666667,0.0,0.0,19
2022-08-02 12:00:00+00:00,0.0,6.8,2.9,1,1,1,12,False,2.0,8,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.0,0.0,19
2022-08-02 13:00:00+00:00,0.0,7.4,2.2,1,2,1,13,False,1.0,8,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.1655555555555556,0.2016666666666667,19
2022-08-02 14:00:00+00:00,0.0,7.9,2.6,1,0,1,14,False,2.0,8,0.9941666666666664,0.9941666666666664,0.9941666666666664,0.9941666666666664,0.9941666666666664,0.9941666666666664,0.9941666666666664,0.9941666666666664,19
2022-08-02 15:00:00+00:00,0.0,7.8,4.1,1,1,1,15,False,0.0,8,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,19
2022-08-02 16:00:00+00:00,0.0,7.2,2.4,1,0,1,16,False,1.0,8,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,18
2022-08-02 17:00:00+00:00,0.0,5.3,2.2,1,1,1,17,False,0.0,8,0.9772222222222224,0.9772222222222224,0.9772222222222224,0.9772222222222224,0.962777777777778,0.8905555555555558,0.9772222222222224,0.962777777777778,18
2022-08-02 18:00:00+00:00,0.0,4.0,2.9,1,0,1,18,False,1.0,8,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.0,0.0,0.0,0.0,18
2022-08-02 19:00:00+00:00,0.0,2.2,1.9,1,0,1,19,False,0.0,8,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.6838888888888888,0.6988888888888888,0.0,0.0,19
2022-08-02 20:00:00+00:00,0.0,-0.3,1.9,1,0,1,20,False,0.0,8,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.0,0.0,19
2022-08-02 21:00:00+00:00,0.0,-0.1,1.0,1,0,1,21,False,0.0,8,0.9952777777777778,0.9952777777777778,0.9952777777777778,0.9952777777777778,0.9952777777777778,0.9952777777777778,0.0,0.0,19
2022-08-02 22:00:00+00:00,0.0,-1.3,0.6,1,0,1,22,False,0.0,8,0.9933333333333336,0.9933333333333336,0.9933333333333336,0.9933333333333336,0.9933333333333336,0.9933333333333336,0.2502777777777777,0.2647222222222222,2
2022-08-02 23:00:00+00:00,0.0,-1.8,1.0,1,0,1,23,False,0.0,8,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.6605555555555555,0.6455555555555554,2
2022-08-03 00:00:00+00:00,0.0,-2.2,0.4,3,0,2,0,False,0.0,8,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.0,0.0,2
2022-08-03 01:00:00+00:00,0.0,-2.5,0.9,3,0,2,1,False,0.0,8,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.0,0.0,3
2022-08-03 02:00:00+00:00,0.0,-1.6,1.4,3,0,2,2,False,0.0,8,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.0,0.0,3
2022-08-03 03:00:00+00:00,0.0,-2.5,1.6,3,0,2,3,False,0.0,8,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.0,0.0,3
2022-08-03 04:00:00+00:00,0.0,-2.7,1.0,3,0,2,4,False,0.0,8,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.0,0.0,3
2022-08-03 05:00:00+00:00,0.0,-2.6,1.0,3,0,2,5,False,0.0,8,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.0,0.0,3
2022-08-03 06:00:00+00:00,0.0,-2.2,1.2,3,0,2,6,False,0.0,8,0.9600000000000002,0.9600000000000002,0.9600000000000002,0.9600000000000002,0.9600000000000002,0.9600000000000002,0.0,0.0,3
2022-08-03 07:00:00+00:00,0.0,-2.8,2.0,0,1,2,7,False,0.0,8,0.4283333333333334,0.4675,0.9975000000000002,0.9975000000000002,0.9975000000000002,0.9975000000000002,0.0,0.0,3
2022-08-03 08:00:00+00:00,0.0,-3.3,1.8,0,0,2,8,False,1.0,8,0.6305555555555555,0.5833333333333333,0.9813888888888892,0.9813888888888892,0.9813888888888892,0.9813888888888892,0.0,0.0,4
2022-08-03 09:00:00+00:00,0.0,-3.2,1.1,0,0,2,9,False,0.0,8,0.9761111111111108,0.9761111111111108,0.9761111111111108,0.9761111111111108,0.9761111111111108,0.9761111111111108,0.0,0.0,8
2022-08-03 10:00:00+00:00,0.0,-2.0,0.9,7,0,2,10,False,0.0,8,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.0,0.0,9
2022-08-03 11:00:00+00:00,0.0,1.0,0.5,7,2,2,11,False,0.0,8,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.0,0.0,13
2022-08-03 12:00:00+00:00,0.0,1.5,2.0,7,2,2,12,False,2.0,8,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.0,0.0,13
2022-08-03 13:00:00+00:00,0.0,2.3,1.5,5,2,2,13,False,2.0,8,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.996111111111111,0.0,0.0,13
2022-08-03 14:00:00+00:00,0.0,3.3,1.6,5,2,2,14,False,2.0,8,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.3941666666666666,0.493611111111111,12
2022-08-03 15:00:00+00:00,0.0,4.3,1.0,5,1,2,15,False,2.0,8,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.8352777777777778,0.8255555555555555,10
2022-08-03 16:00:00+00:00,0.0,4.5,1.7,5,2,2,16,False,1.0,8,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,9
