Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_2330.0,dock_availability_2330.0,bike_availability_549.0,dock_availability_549.0,bike_availability_577.0,dock_availability_577.0,bike_availability_576.0,dock_availability_576.0,bike_availability_545.0,dock_availability_545.0,num_bikes_available
2022-08-01 00:00:00+00:00,0.2,-3.5,6.1,8,0,0,0,False,,8,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,6
2022-08-01 01:00:00+00:00,0.1,-3.4,6.1,8,0,0,1,False,0.0,8,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,6
2022-08-01 02:00:00+00:00,0.3,-3.5,4.1,8,0,0,2,False,0.0,8,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,6
2022-08-01 03:00:00+00:00,0.2,-3.5,4.3,8,0,0,3,False,0.0,8,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,6
2022-08-01 04:00:00+00:00,0.2,-3.4,4.3,8,0,0,4,False,0.0,8,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,6
2022-08-01 05:00:00+00:00,0.2,-3.5,5.0,8,0,0,5,False,0.0,8,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,6
2022-08-01 06:00:00+00:00,0.0,-3.3,4.0,8,1,0,6,False,0.0,8,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,6
2022-08-01 07:00:00+00:00,0.3,-3.7,3.6,0,0,0,7,False,1.0,8,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,10
2022-08-01 08:00:00+00:00,0.2,-3.6,3.6,0,0,0,8,False,0.0,8,0.9963888888888884,0.9963888888888884,0.9652777777777776,0.9427777777777776,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,15
2022-08-01 09:00:00+00:00,0.3,-3.7,2.6,0,1,0,9,False,0.0,8,0.9958333333333332,0.9958333333333332,0.0,0.0,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332,12
2022-08-01 10:00:00+00:00,0.0,-3.5,3.9,7,1,0,10,False,1.0,8,0.5169444444444444,0.4944444444444444,0.0,0.0,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,0.981111111111111,23
2022-08-01 11:00:00+00:00,0.1,-3.3,2.6,7,1,0,11,False,1.0,8,0.0,0.0,0.3702777777777777,0.3713888888888889,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,24
2022-08-01 12:00:00+00:00,0.1,-3.0,2.4,7,0,0,12,False,1.0,8,0.0,0.0,0.5925,0.6588888888888891,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,24
2022-08-01 13:00:00+00:00,0.0,-2.6,2.0,7,3,0,13,False,0.0,8,0.0,0.0,0.5961111111111111,0.0291666666666666,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,7
2022-08-01 14:00:00+00:00,0.0,-2.5,1.7,7,8,0,14,False,3.0,8,0.0,0.0,0.1647222222222222,0.1761111111111111,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,12
2022-08-01 15:00:00+00:00,0.0,-2.6,2.5,7,11,0,15,False,8.0,8,0.9130555555555556,0.9516666666666668,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,14
2022-08-01 16:00:00+00:00,0.0,-3.0,2.4,7,6,0,16,False,11.0,8,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,9
2022-08-01 17:00:00+00:00,0.0,-2.7,2.5,7,8,0,17,False,6.0,8,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,16
2022-08-01 18:00:00+00:00,0.0,-2.8,2.9,7,2,0,18,False,8.0,8,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,16
2022-08-01 19:00:00+00:00,0.0,-2.8,2.7,8,1,0,19,False,2.0,8,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,17
