Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_2315.0,dock_availability_2315.0,num_bikes_available
2022-07-02 17:00:00+00:00,0.0,3.1,1.3,2,0,5,17,False,1.0,7,0.964722222222222,0.9641666666666664,18
2022-07-02 18:00:00+00:00,0.0,0.8,0.5,2,0,5,18,False,0.0,7,0.979444444444444,0.979444444444444,18
2022-07-02 19:00:00+00:00,0.0,0.4,0.9,8,0,5,19,False,0.0,7,0.9799999999999998,0.9799999999999998,17
2022-07-02 20:00:00+00:00,0.0,0.2,0.3,8,1,5,20,False,0.0,7,0.9786111111111112,0.9786111111111112,17
2022-07-02 21:00:00+00:00,0.0,-0.2,0.4,8,0,5,21,False,1.0,7,0.5144444444444445,0.4994444444444444,17
2022-07-02 22:00:00+00:00,0.0,0.6,0.7,8,1,5,22,False,0.0,7,0.0,0.0,17
2022-07-02 23:00:00+00:00,0.0,1.1,0.8,8,0,5,23,False,1.0,7,0.4119444444444444,0.4344444444444445,17
2022-07-03 00:00:00+00:00,0.0,0.3,1.7,3,0,6,0,False,0.0,7,0.998888888888889,0.998888888888889,17
2022-07-03 01:00:00+00:00,0.0,-0.2,0.8,3,0,6,1,False,0.0,7,0.9969444444444444,0.9969444444444444,16
2022-07-03 02:00:00+00:00,0.0,0.1,0.9,3,0,6,2,False,0.0,7,0.9672222222222222,0.9672222222222222,16
2022-07-03 03:00:00+00:00,0.0,0.2,0.8,3,0,6,3,False,0.0,7,0.9991666666666664,0.9991666666666664,16
2022-07-03 04:00:00+00:00,0.0,0.4,1.0,3,0,6,4,False,0.0,7,0.965277777777778,0.965277777777778,16
2022-07-03 05:00:00+00:00,0.0,0.2,1.4,3,0,6,5,False,0.0,7,0.9791666666666669,0.9791666666666669,16
2022-07-03 06:00:00+00:00,0.0,-0.3,1.0,3,0,6,6,False,0.0,7,0.983888888888889,0.983888888888889,16
2022-07-03 07:00:00+00:00,0.0,-0.9,1.4,3,0,6,7,False,0.0,7,0.9788888888888888,0.9788888888888888,16
2022-07-03 08:00:00+00:00,0.0,-0.5,1.5,3,0,6,8,False,0.0,7,0.9808333333333336,0.9808333333333336,16
2022-07-03 09:00:00+00:00,0.0,1.9,0.8,3,0,6,9,False,0.0,7,0.9780555555555558,0.9780555555555558,16
2022-07-03 10:00:00+00:00,0.0,3.0,1.1,5,1,6,10,False,0.0,7,0.9791666666666669,0.9791666666666669,16
2022-07-03 11:00:00+00:00,0.0,4.6,1.6,5,0,6,11,False,1.0,7,0.9838888888888888,0.9838888888888888,16
2022-07-03 12:00:00+00:00,0.0,5.8,1.4,5,0,6,12,False,0.0,7,0.4819444444444444,0.4502777777777777,17
2022-07-03 13:00:00+00:00,0.0,7.2,2.0,6,0,6,13,False,0.0,7,0.0,0.0,10
2022-07-03 14:00:00+00:00,0.0,8.0,2.4,6,0,6,14,False,0.0,7,0.0,0.0,0
2022-07-03 15:00:00+00:00,0.0,8.3,2.1,6,0,6,15,False,0.0,7,0.0977777777777777,0.1286111111111111,0
2022-07-03 16:00:00+00:00,0.0,8.1,1.5,7,0,6,16,False,0.0,7,0.9833333333333334,0.9833333333333334,0
2022-07-03 17:00:00+00:00,0.0,7.2,1.4,7,0,6,17,False,0.0,7,0.4947222222222223,0.4872222222222222,0
2022-07-03 18:00:00+00:00,0.0,5.3,1.7,7,0,6,18,False,0.0,7,0.9505555555555552,0.9661111111111108,0
2022-07-03 19:00:00+00:00,0.0,2.4,1.7,4,0,6,19,False,0.0,7,0.9988888888888888,0.9988888888888888,0
2022-07-03 20:00:00+00:00,0.0,1.2,1.6,4,0,6,20,False,0.0,7,0.9966666666666666,0.9966666666666666,0
2022-07-03 21:00:00+00:00,0.0,-0.4,0.6,4,0,6,21,False,0.0,7,0.9819444444444448,0.9819444444444448,0
2022-07-03 22:00:00+00:00,0.0,-1.3,0.5,3,0,6,22,False,0.0,7,0.9986111111111108,0.9986111111111108,0
