,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month
2021-08-01 00:00:00+00:00,0.1,-4.9,3.2,8,0,6,0,False,,8
2021-08-01 01:00:00+00:00,0.0,-4.7,1.6,8,0,6,1,False,0.0,8
2021-08-01 02:00:00+00:00,0.0,-5.0,1.6,8,0,6,2,False,0.0,8
2021-08-01 03:00:00+00:00,0.0,-4.9,1.3,8,0,6,3,False,0.0,8
2021-08-01 04:00:00+00:00,0.0,-5.2,3.3,8,0,6,4,False,0.0,8
2021-08-01 05:00:00+00:00,0.0,-5.4,2.7,8,0,6,5,False,0.0,8
2021-08-01 06:00:00+00:00,0.0,-5.9,2.8,8,0,6,6,False,0.0,8
2021-08-01 07:00:00+00:00,0.0,-5.5,1.9,7,0,6,7,False,0.0,8
2021-08-01 08:00:00+00:00,0.0,-5.4,2,7,0,6,8,False,0.0,8
2021-08-01 09:00:00+00:00,0.0,-5.1,2.4,7,0,6,9,False,0.0,8
2021-08-01 10:00:00+00:00,0.0,-4.9,2.2,8,1,6,10,False,0.0,8
2021-08-01 11:00:00+00:00,0.0,-4.7,3.4,8,0,6,11,False,1.0,8
2021-08-01 12:00:00+00:00,0.0,-4.2,2.3,8,0,6,12,False,0.0,8
2021-08-01 13:00:00+00:00,0.0,-4.1,2,8,0,6,13,False,0.0,8
2021-08-01 14:00:00+00:00,0.0,-4.0,1.6,8,0,6,14,False,0.0,8
2021-08-01 15:00:00+00:00,0.0,-4.0,3.4,8,0,6,15,False,0.0,8
2021-08-01 16:00:00+00:00,0.0,-4.0,3.5,8,0,6,16,False,0.0,8
2021-08-01 17:00:00+00:00,0.0,-4.0,4,8,1,6,17,False,0.0,8
2021-08-01 18:00:00+00:00,0.0,-3.9,2.3,8,0,6,18,False,1.0,8
2021-08-01 19:00:00+00:00,0.0,-4.0,1.5,8,0,6,19,False,0.0,8
2021-08-01 20:00:00+00:00,0.0,-4.2,0.8,8,1,6,20,False,0.0,8
2021-08-01 21:00:00+00:00,0.0,-4.2,1,8,0,6,21,False,1.0,8
2021-08-01 22:00:00+00:00,0.0,-4.2,0.6,8,0,6,22,False,0.0,8
2021-08-01 23:00:00+00:00,0.0,-4.3,0.3,8,0,6,23,False,0.0,8
2021-08-02 00:00:00+00:00,0.0,-7.9,3.4,0,0,0,0,False,0.0,8
2021-08-02 01:00:00+00:00,0.0,-9.0,1.3,0,0,0,1,False,0.0,8
2021-08-02 02:00:00+00:00,0.0,-8.9,1.1,0,0,0,2,False,0.0,8
2021-08-02 03:00:00+00:00,0.0,-7.7,2.3,0,0,0,3,False,0.0,8
2021-08-02 04:00:00+00:00,0.0,-6.0,5.1,0,0,0,4,False,0.0,8
2021-08-02 05:00:00+00:00,0.0,-6.0,6,0,0,0,5,False,0.0,8
2021-08-02 06:00:00+00:00,0.0,-5.9,6.3,0,1,0,6,False,0.0,8
2021-08-02 07:00:00+00:00,0.0,-5.7,5.4,8,0,0,7,False,1.0,8
2021-08-02 08:00:00+00:00,0.0,-5.6,5.2,8,1,0,8,False,0.0,8
2021-08-02 09:00:00+00:00,0.0,-5.6,5,8,0,0,9,False,1.0,8
2021-08-02 10:00:00+00:00,0.0,-4.8,5.4,5,0,0,10,False,0.0,8
2021-08-02 11:00:00+00:00,0.0,-4.6,4.9,5,1,0,11,False,0.0,8
2021-08-02 12:00:00+00:00,0.0,-3.4,5.3,5,0,0,12,False,1.0,8
2021-08-02 13:00:00+00:00,0.0,-3.1,5.1,3,3,0,13,False,0.0,8
2021-08-02 14:00:00+00:00,0.0,-3.4,5.6,3,1,0,14,False,3.0,8
2021-08-02 15:00:00+00:00,0.0,-3.6,4.2,3,0,0,15,False,1.0,8
2021-08-02 16:00:00+00:00,0.0,-4.0,5.2,2,0,0,16,False,0.0,8
2021-08-02 17:00:00+00:00,0.0,-4.4,4.7,2,0,0,17,False,0.0,8
2021-08-02 18:00:00+00:00,0.0,-4.9,5.5,2,0,0,18,False,0.0,8
2021-08-02 19:00:00+00:00,0.0,-4.8,5.9,7,0,0,19,False,0.0,8
2021-08-02 20:00:00+00:00,0.0,-4.7,5.5,7,0,0,20,False,0.0,8
2021-08-02 21:00:00+00:00,0.0,-4.8,4.8,7,0,0,21,False,0.0,8
2021-08-02 22:00:00+00:00,0.0,-4.9,6.9,7,0,0,22,False,0.0,8
2021-08-02 23:00:00+00:00,0.0,-5.1,6.5,7,0,0,23,False,0.0,8
