,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-06-01 00:00:00+00:00,-0.17100522193387838,-3.6510165907814813,-0.26863457943991986,-1.7000313440368204,0,2,0,False,
2022-06-01 01:00:00+00:00,-0.17100522193387838,-3.771513202323164,-1.628954364688877,-1.7000313440368204,0,2,1,False,0.0
2022-06-01 02:00:00+00:00,-0.17100522193387838,-3.306740557805244,2.2119485583670015,-1.7000313440368204,0,2,2,False,0.0
2022-06-01 03:00:00+00:00,-0.17100522193387838,-3.754299400674353,-0.02857814674892757,-1.7000313440368204,0,2,3,False,0.0
2022-06-01 04:00:00+00:00,-0.17100522193387838,-3.754299400674353,1.0116663949120395,-1.7000313440368204,0,2,4,False,0.0
2022-06-01 05:00:00+00:00,-0.17100522193387838,-3.6682303924302935,0.9316475840150423,-1.7000313440368204,0,2,5,False,0.0
2022-06-01 06:00:00+00:00,-0.17100522193387838,-3.7887270039719763,-0.9087850666159,-1.7000313440368204,0,2,6,False,0.0
2022-06-01 07:00:00+00:00,-0.17100522193387838,-3.892009813864848,-1.2288603102038897,-0.23444947977416067,0,2,7,False,0.0
2022-06-01 08:00:00+00:00,-0.17100522193387838,-3.926437417162471,-1.628954364688877,-0.23444947977416067,0,2,8,False,0.0
2022-06-01 09:00:00+00:00,-0.17100522193387838,-3.943651218811283,-0.26863457943991986,-0.23444947977416067,0,2,9,False,0.0
2022-06-01 10:00:00+00:00,-0.17100522193387838,-4.029720227055342,-1.1488414993068923,-0.9672404119054906,0,2,10,False,0.0
2022-06-01 11:00:00+00:00,-0.17100522193387838,-3.8059408056207884,-0.9888038775128973,-0.9672404119054906,0,2,11,False,0.0
2022-06-17 12:00:00+00:00,-0.17100522193387838,0.6007924164750501,0.7716099622210473,0.8647369184228342,6,4,12,False,0.0
2022-06-17 13:00:00+00:00,-0.17100522193387838,0.6352200197726737,0.13145947504506753,1.2311323844884992,3,4,13,False,6.0
2022-06-17 14:00:00+00:00,-0.17100522193387838,0.4286543999869314,2.9321178564399792,1.2311323844884992,1,4,14,False,3.0
2022-06-17 15:00:00+00:00,-0.17100522193387838,0.204874978552377,1.411760449397027,1.2311323844884992,1,4,15,False,1.0
2022-06-17 16:00:00+00:00,-0.17100522193387838,0.08437836701069402,1.8118545038820144,1.2311323844884992,0,4,16,False,1.0
2022-06-17 17:00:00+00:00,0.06067927229911814,-0.08775964947742465,1.6518168820880192,1.2311323844884992,0,4,17,False,0.0
2022-06-17 18:00:00+00:00,0.40820601364861286,-0.3459666742096027,1.491779260294025,1.2311323844884992,0,4,18,False,0.0
2022-06-17 19:00:00+00:00,3.0725776973280725,-0.6558151038882164,2.532023801954992,1.2311323844884992,0,4,19,False,0.0
2022-06-17 20:00:00+00:00,2.840893203095076,-0.6213875005905926,0.9316475840150423,1.2311323844884992,0,4,20,False,0.0
2022-06-17 21:00:00+00:00,0.17652151941561636,-0.6213875005905926,1.1717040167060346,1.2311323844884992,0,4,21,False,0.0
2022-06-17 22:00:00+00:00,1.1032594963476023,-0.5869598972929689,-0.10859695764592513,1.2311323844884992,0,4,22,False,0.0
2022-06-17 23:00:00+00:00,-0.05516297481738012,-0.5697460956441571,0.531553529530055,1.2311323844884992,0,4,23,False,0.0
2022-06-18 00:00:00+00:00,-0.17100522193387838,-0.552532293995345,-0.02857814674892757,1.2311323844884992,0,5,0,False,0.0
2022-06-18 01:00:00+00:00,-0.17100522193387838,-0.5697460956441571,-0.428672201233915,1.2311323844884992,0,5,1,False,0.0
2022-06-18 02:00:00+00:00,-0.17100522193387838,-0.6041736989417807,-0.6687286339249074,1.2311323844884992,0,5,2,False,0.0
2022-06-18 03:00:00+00:00,-0.17100522193387838,-0.6041736989417807,-0.18861576854292267,1.2311323844884992,0,5,3,False,0.0
2022-06-18 04:00:00+00:00,-0.17100522193387838,-0.6213875005905926,-0.428672201233915,1.2311323844884992,0,5,4,False,0.0
2022-06-18 05:00:00+00:00,-0.17100522193387838,-0.6041736989417807,-0.5086910121309125,1.2311323844884992,0,5,5,False,0.0
2022-06-18 06:00:00+00:00,-0.17100522193387838,-0.552532293995345,-0.5887098230279099,1.2311323844884992,0,5,6,False,0.0
2022-06-18 07:00:00+00:00,-0.17100522193387838,-0.44924948410247384,-0.5086910121309125,0.49834145235716926,0,5,7,False,0.0
2022-06-18 08:00:00+00:00,-0.17100522193387838,-0.2082562610191076,1.8918733147790123,0.49834145235716926,0,5,8,False,0.0
2022-06-18 09:00:00+00:00,-0.17100522193387838,-0.12218725277504827,2.9321178564399792,0.49834145235716926,2,5,9,False,0.0
2022-06-18 10:00:00+00:00,-0.17100522193387838,0.08437836701069402,2.0519109365730066,-0.9672404119054906,5,5,10,False,2.0
2022-06-18 11:00:00+00:00,-0.17100522193387838,0.204874978552377,2.532023801954992,-0.9672404119054906,6,5,11,False,5.0
2022-06-18 12:00:00+00:00,-0.17100522193387838,0.30815778844524844,2.6920614237489873,-0.9672404119054906,11,5,12,False,6.0
2022-06-18 13:00:00+00:00,-0.05516297481738012,0.44586820163574353,3.1721742891309717,-0.9672404119054906,23,5,13,False,11.0
2022-06-18 14:00:00+00:00,-0.17100522193387838,0.5491510115286143,1.6518168820880192,-0.9672404119054906,27,5,14,False,23.0
2022-06-18 15:00:00+00:00,-0.17100522193387838,0.44586820163574353,2.371986180160997,-0.9672404119054906,13,5,15,False,27.0
2022-06-18 16:00:00+00:00,-0.17100522193387838,0.39422679668930777,2.0519109365730066,0.13194598629150428,4,5,16,False,13.0
