Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3,bike_availability_4,dock_availability_4,bike_availability_5,dock_availability_5,availability,dock_availability
2022-07-01 00:00:00+00:00,0.0,-7.1,2.2,5,0,4,0,False,,0.999722222222222,0.999722222222222,0.0822222222222222,0.0680555555555555,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.9533333333333333,0.9680555555555552
2022-07-01 01:00:00+00:00,0.0,-8.1,0.4,5,0,4,1,False,0.0,0.9627777777777776,0.9627777777777776,0.0,0.0,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776
2022-07-01 02:00:00+00:00,0.0,-7.9,2.4,5,0,4,2,False,0.0,0.9991666666666668,0.9991666666666668,0.0,0.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668
2022-07-01 03:00:00+00:00,0.0,-7.3,0.2,5,0,4,3,False,0.0,0.9830555555555556,0.9830555555555556,0.0,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556
2022-07-01 04:00:00+00:00,0.0,-6.0,3.4,5,0,4,4,False,0.0,0.9838888888888888,0.9838888888888888,0.0,0.0,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888
2022-07-01 05:00:00+00:00,0.0,-5.7,3.4,5,1,4,5,False,0.0,0.9658333333333337,0.9658333333333337,0.0,0.0,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9147222222222224,0.8633333333333336
2022-07-01 06:00:00+00:00,0.1,-5.7,4.9,5,0,4,6,False,1.0,0.9791666666666664,0.9791666666666664,0.0,0.0,0.9791666666666664,0.9791666666666664,0.696111111111111,0.6813888888888888,0.9791666666666664,0.9791666666666664,0.0,0.0
2022-07-01 07:00:00+00:00,0.4,-5.5,4.2,0,0,4,7,False,0.0,0.9977777777777778,0.9977777777777778,0.5644444444444443,0.5794444444444443,0.9977777777777778,0.9977777777777778,0.0,0.0,0.3369444444444444,0.315,0.9819444444444446,0.9963888888888888
2022-07-01 08:00:00+00:00,0.6,-5.7,5.1,0,2,4,8,False,0.0,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.2802777777777778,0.2875,0.0,0.0,0.9605555555555556,0.9605555555555556
2022-07-01 09:00:00+00:00,1.2,-5.5,4.8,0,0,4,9,False,2.0,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.9511111111111112,0.9294444444444446,0.0,0.0,0.981388888888889,0.981388888888889
2022-07-01 10:00:00+00:00,0.6,-5.0,3.8,0,0,4,10,False,0.0,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.0,0.0,0.0,0.0,0.965277777777778,0.965277777777778
2022-07-01 11:00:00+00:00,0.6,-4.2,4.1,0,2,4,11,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.0,0.0,0.5636111111111112,0.5644444444444445,0.9797222222222224,0.9797222222222224
2022-07-01 12:00:00+00:00,0.5,-4.0,4.5,0,0,4,12,False,2.0,0.9819444444444444,0.9819444444444444,0.4825,0.483611111111111,0.9819444444444444,0.9819444444444444,0.1052777777777777,0.1202777777777777,0.0,0.0,0.9819444444444444,0.9819444444444444
2022-07-01 13:00:00+00:00,0.2,-3.1,4.8,0,3,4,13,False,0.0,0.9786111111111108,0.9786111111111108,0.3475,0.3180555555555556,0.9786111111111108,0.9786111111111108,0.5172222222222222,0.5502777777777779,0.6013888888888889,0.6155555555555556,0.9786111111111108,0.9786111111111108
2022-07-01 14:00:00+00:00,0.4,-2.8,4.5,0,0,4,14,False,3.0,0.9994444444444442,0.9994444444444442,0.3836111111111112,0.3994444444444445,0.9994444444444442,0.9994444444444442,0.8755555555555554,0.8775,0.7183333333333332,0.733611111111111,0.9994444444444442,0.9994444444444442
2022-07-01 15:00:00+00:00,0.5,-3.1,3.9,0,2,4,15,False,0.0,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.6069444444444445,0.5916666666666667,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332
2022-07-01 16:00:00+00:00,0.8,-3.1,4.7,0,5,4,16,False,2.0,0.7455555555555553,0.8169444444444443,0.5894444444444443,0.5683333333333332,0.9605555555555552,0.9605555555555552,0.1516666666666666,0.1449999999999999,0.9605555555555552,0.9605555555555552,0.9605555555555552,0.9605555555555552
2022-07-01 17:00:00+00:00,0.2,-2.8,3.9,0,1,4,17,False,5.0,0.9855555555555552,0.9855555555555552,0.2802777777777777,0.2344444444444444,0.9855555555555552,0.9855555555555552,0.8938888888888887,0.8863888888888888,0.9855555555555552,0.9855555555555552,0.9855555555555552,0.9855555555555552
