Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,availability,dock_availability
2022-06-01 00:00:00+00:00,0.0,-3.7,2.2,0,0,2,0,False,,0.9963888888888884,0.9963888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.9963888888888884,0.9963888888888884
2022-06-01 01:00:00+00:00,0.0,-4.4,0.5,0,0,2,1,False,0.0,0.9797222222222224,0.9797222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.9797222222222224,0.9797222222222224
2022-06-01 02:00:00+00:00,0.0,-1.7,5.3,0,0,2,2,False,0.0,0.9866666666666666,0.9866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9866666666666666,0.9866666666666666
2022-06-01 03:00:00+00:00,0.0,-4.3,2.5,0,1,2,3,False,0.0,0.9819444444444444,0.9819444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.9819444444444444,0.9819444444444444
2022-06-01 04:00:00+00:00,0.0,-4.3,3.8,0,1,2,4,False,1.0,0.978888888888889,0.978888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.978888888888889,0.978888888888889
2022-06-01 05:00:00+00:00,0.0,-3.8,3.7,0,4,2,5,False,1.0,0.9966666666666671,0.9966666666666671,0.9066666666666672,0.9283333333333338,0.9066666666666672,0.9283333333333338,0.9066666666666672,0.9283333333333338,0.9966666666666671,0.9966666666666671
2022-06-01 06:00:00+00:00,0.0,-4.5,1.4,0,14,2,6,False,4.0,0.984722222222222,0.984722222222222,0.7027777777777777,0.6886111111111111,0.7027777777777777,0.6886111111111111,0.7027777777777777,0.6886111111111111,0.9384027777777776,0.984722222222222
2022-06-01 07:00:00+00:00,0.0,-5.1,1.0,4,5,2,7,False,14.0,0.9783333333333334,0.9783333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.7299305555555557,0.9783333333333334
2022-06-01 08:00:00+00:00,0.0,-5.3,0.5,4,3,2,8,False,5.0,0.9880555555555556,0.9880555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.4282638888888888,0.6863888888888888
2022-06-01 09:00:00+00:00,0.0,-5.4,2.2,4,3,2,9,False,3.0,0.0502777777777777,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0400694444444444,0.0455555555555555
2022-06-01 10:00:00+00:00,0.0,-5.9,1.1,2,3,2,10,False,3.0,0.1666666666666666,0.1822222222222222,0.0611111111111111,0.0766666666666666,0.0611111111111111,0.0766666666666666,0.0611111111111111,0.0766666666666666,0.2086111111111111,0.4672222222222223
2022-06-01 11:00:00+00:00,0.0,-4.6,1.3,2,4,2,11,False,3.0,0.6938888888888889,0.6866666666666666,0.986388888888889,0.986388888888889,0.986388888888889,0.986388888888889,0.986388888888889,0.986388888888889,0.264375,0.986388888888889
2022-06-01 12:00:00+00:00,0.0,-4.2,1.2,2,7,2,12,False,4.0,0.9838888888888888,0.9838888888888888,0.0847222222222222,0.0683333333333333,0.0847222222222222,0.0683333333333333,0.0847222222222222,0.0683333333333333,0.3518055555555555,0.9838888888888888
2022-06-01 13:00:00+00:00,0.0,-2.7,1.5,2,7,2,13,False,7.0,0.9899999999999998,0.9899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.7560416666666665,0.9899999999999998
2022-06-01 14:00:00+00:00,0.0,-3.9,0.2,2,22,2,14,False,7.0,0.9908333333333332,0.9908333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.8540972222222221,0.9908333333333332
2022-06-01 15:00:00+00:00,0.0,-4.0,0.8,2,15,2,15,False,22.0,0.9874999999999996,0.9874999999999996,0.1211111111111111,0.1366666666666667,0.1211111111111111,0.1366666666666667,0.1211111111111111,0.1366666666666667,0.855208333333333,0.9874999999999996
2022-06-01 16:00:00+00:00,0.0,-6.6,0.0,1,12,2,16,False,15.0,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222
2022-06-01 17:00:00+00:00,0.0,-7.7,1.6,1,7,2,17,False,12.0,0.9911111111111108,0.9911111111111108,0.3133333333333334,0.2983333333333334,0.3133333333333334,0.2983333333333334,0.3133333333333334,0.2983333333333334,0.9911111111111108,0.9911111111111108
2022-06-01 18:00:00+00:00,0.0,-8.5,1.1,1,5,2,18,False,7.0,0.989444444444444,0.989444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.8834722222222219,0.989444444444444
2022-06-01 19:00:00+00:00,0.0,-9.0,1.7,0,12,2,19,False,5.0,0.9933333333333332,0.9933333333333332,0.5302777777777778,0.5522222222222223,0.5302777777777778,0.5522222222222223,0.5302777777777778,0.5522222222222223,0.9901388888888888,0.9933333333333332
2022-06-01 20:00:00+00:00,0.0,-9.0,2.7,0,13,2,20,False,12.0,0.3133333333333333,0.2908333333333333,0.5874999999999999,0.5791666666666666,0.5874999999999999,0.5791666666666666,0.5874999999999999,0.5791666666666666,0.9983333333333332,0.9983333333333332
2022-06-01 21:00:00+00:00,0.0,-9.5,1.8,0,5,2,21,False,13.0,0.1461111111111111,0.1922222222222221,0.8291666666666665,0.8227777777777776,0.8291666666666665,0.8227777777777776,0.8291666666666665,0.8227777777777776,0.9574999999999996,0.9899999999999995
