Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_478,dock_availability_478,bike_availability_2330,dock_availability_2330,availability,dock_availability
2022-08-23 18:00:00+00:00,0.0,19.5,1.5,3,2,1,18,False,7.0,0.9763888888888888,0.9763888888888888,0.9225,0.9255555555555556,0.9763888888888888,0.9763888888888888
2022-08-23 19:00:00+00:00,0.0,17.7,1.6,1,2,1,19,False,2.0,0.994444444444444,0.994444444444444,0.994444444444444,0.994444444444444,0.994444444444444,0.994444444444444
2022-08-23 20:00:00+00:00,0.0,14.2,1.4,1,1,1,20,False,2.0,0.9994444444444444,0.9994444444444444,0.9994444444444444,0.9994444444444444,0.9994444444444444,0.9994444444444444
2022-08-23 21:00:00+00:00,0.0,12.7,2.1,1,0,1,21,False,1.0,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222
2022-08-23 22:00:00+00:00,0.0,12.3,2.6,1,0,1,22,False,0.0,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332
2022-08-23 23:00:00+00:00,0.0,11.6,2.2,1,0,1,23,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-08-24 00:00:00+00:00,0.0,11.4,2.9,1,0,2,0,False,0.0,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222
2022-08-24 01:00:00+00:00,0.0,11.6,2.2,1,0,2,1,False,0.0,0.98,0.98,0.98,0.98,0.98,0.98
2022-08-24 02:00:00+00:00,0.0,11.4,1.1,1,0,2,2,False,0.0,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889,0.996388888888889
2022-08-24 03:00:00+00:00,0.0,11.2,0.2,1,0,2,3,False,0.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222
2022-08-24 04:00:00+00:00,0.0,11.2,1.4,1,0,2,4,False,0.0,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332,0.9783333333333332
2022-08-24 05:00:00+00:00,0.0,11.9,3.1,1,0,2,5,False,0.0,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222
2022-08-24 06:00:00+00:00,0.0,11.9,0.5,1,1,2,6,False,0.0,0.8991666666666667,0.8769444444444444,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9958333333333332
2022-08-24 07:00:00+00:00,0.0,14.8,1.3,6,1,2,7,False,1.0,0.3302777777777778,0.3458333333333333,0.9938888888888886,0.9938888888888886,0.8130555555555554,0.7974999999999999
2022-08-24 08:00:00+00:00,0.0,16.4,0.6,6,3,2,8,False,1.0,0.1344444444444444,0.1708333333333333,0.1813888888888889,0.1813888888888888,0.0827777777777777,0.0977777777777777
2022-08-24 09:00:00+00:00,0.0,18.7,1.4,6,2,2,9,False,3.0,0.2155555555555555,0.2072222222222222,0.0,0.0,0.0936111111111111,0.1313888888888889
2022-08-24 10:00:00+00:00,0.0,20.7,0.9,5,2,2,10,False,2.0,0.0,0.0,0.0,0.0,0.3836111111111112,0.4055555555555556
2022-08-24 11:00:00+00:00,0.0,20.9,1.8,5,0,2,11,False,2.0,0.0155555555555555,0.0152777777777777,0.1911111111111111,0.2063888888888888,0.4633333333333334,0.4555555555555556
2022-08-24 12:00:00+00:00,0.0,22.4,1.2,5,3,2,12,False,0.0,0.1211111111111111,0.1363888888888889,0.7136111111111109,0.692222222222222,0.996944444444444,0.996944444444444
2022-08-24 13:00:00+00:00,0.0,20.3,2.1,7,7,2,13,False,3.0,0.9944444444444444,0.9944444444444444,0.0,0.0,0.5780555555555557,0.5630555555555556
2022-08-24 14:00:00+00:00,0.0,20.7,1.9,7,6,2,14,False,7.0,0.6688888888888889,0.6469444444444444,0.175,0.1894444444444444,0.2483333333333333,0.3025
2022-08-24 15:00:00+00:00,0.0,20.6,1.0,7,6,2,15,False,6.0,0.4380555555555556,0.3666666666666667,0.6716666666666665,0.6738888888888886,0.9999999999999998,0.9999999999999998
2022-08-24 16:00:00+00:00,0.0,20.3,1.4,7,4,2,16,False,6.0,0.933611111111111,0.9641666666666664,0.1327777777777777,0.1136111111111111,0.7761111111111111,0.8002777777777776
2022-08-24 17:00:00+00:00,0.0,21.3,1.3,7,3,2,17,False,4.0,0.3386111111111112,0.33,0.0,0.0,0.6833333333333333,0.6838888888888889
2022-08-24 18:00:00+00:00,0.0,19.8,0.7,7,9,2,18,False,3.0,0.2483333333333333,0.2336111111111111,0.1280555555555555,0.1288888888888889,0.9819444444444442,0.9819444444444442
2022-08-24 19:00:00+00:00,0.0,19.3,0.9,7,3,2,19,False,9.0,0.1197222222222222,0.1344444444444444,0.5969444444444444,0.6191666666666666,0.9963888888888888,0.9963888888888888
2022-08-24 20:00:00+00:00,0.0,17.6,2.4,7,1,2,20,False,3.0,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112,0.9986111111111112
2022-08-24 21:00:00+00:00,0.0,16.2,2.5,7,1,2,21,False,1.0,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332
2022-08-24 22:00:00+00:00,0.0,15.1,1.2,4,1,2,22,False,1.0,0.9952777777777776,0.9952777777777776,0.6972222222222221,0.6894444444444443,0.9952777777777776,0.9952777777777776
2022-08-24 23:00:00+00:00,0.0,15.5,2.1,4,0,2,23,False,1.0,0.9772222222222215,0.9772222222222215,0.9772222222222215,0.9772222222222215,0.9772222222222215,0.9772222222222215
2022-08-25 00:00:00+00:00,0.0,15.4,1.0,4,0,3,0,False,0.0,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444
2022-08-25 01:00:00+00:00,0.0,14.5,2.6,4,0,3,1,False,0.0,0.9833333333333336,0.9833333333333336,0.9833333333333336,0.9833333333333336,0.9833333333333336,0.9833333333333336
2022-08-25 02:00:00+00:00,0.0,13.7,1.9,4,0,3,2,False,0.0,0.9963888888888892,0.9963888888888892,0.9963888888888892,0.9963888888888892,0.9963888888888892,0.9963888888888892
2022-08-25 03:00:00+00:00,0.0,13.6,2.7,4,0,3,3,False,0.0,0.9975000000000004,0.9975000000000004,0.9975000000000004,0.9975000000000004,0.9975000000000004,0.9975000000000004
2022-08-25 04:00:00+00:00,0.0,13.6,2.1,4,0,3,4,False,0.0,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222
2022-08-25 05:00:00+00:00,0.0,14.2,2.4,4,3,3,5,False,0.0,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888
2022-08-25 06:00:00+00:00,0.0,15.2,3.0,4,2,3,6,False,3.0,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.4763888888888888,0.4466666666666666
2022-08-25 07:00:00+00:00,0.0,16.1,2.2,6,0,3,7,False,2.0,0.4616666666666667,0.4630555555555556,0.6125,0.5972222222222223,0.3583333333333334,0.3511111111111111
2022-08-25 08:00:00+00:00,0.0,19.0,1.3,6,3,3,8,False,0.0,0.3269444444444443,0.3038888888888889,0.0,0.0,0.4247222222222222,0.4113888888888888
2022-08-25 09:00:00+00:00,0.0,20.6,1.4,6,3,3,9,False,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-25 10:00:00+00:00,0.0,22.8,1.5,5,2,3,10,False,3.0,0.3480555555555556,0.3530555555555556,0.0119444444444444,0.0386111111111111,0.2838888888888889,0.2761111111111111
2022-08-25 11:00:00+00:00,0.0,23.1,1.3,5,4,3,11,False,2.0,0.4622222222222222,0.4575,0.0963888888888888,0.0816666666666666,0.4025,0.4027777777777778
2022-08-25 12:00:00+00:00,0.0,24.5,2.5,5,2,3,12,False,4.0,0.3608333333333333,0.385,0.3780555555555555,0.3477777777777777,0.2588888888888889,0.2241666666666666
2022-08-25 13:00:00+00:00,0.0,25.0,3.0,3,4,3,13,False,2.0,0.3680555555555555,0.3525,0.0,0.0,0.3830555555555556,0.3988888888888889
2022-08-25 14:00:00+00:00,0.0,25.1,2.3,3,5,3,14,False,4.0,0.6980555555555552,0.7366666666666664,0.1030555555555555,0.0941666666666666,0.5477777777777777,0.5566666666666665
