dateTime,availability 0,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2022-03-21 01:00:00,0,0.0,-0.8,1.1,0,0,,False,0,3,0
2022-03-21 02:00:00,0,0.0,-0.9,1.1,1,0,0.0,False,0,3,0
2022-03-21 03:00:00,0,0.0,-1.8,0.6,2,0,0.0,False,0,3,0
2022-03-21 04:00:00,0,0.0,-1.8,1.4,3,0,0.0,False,0,3,0
2022-03-21 05:00:00,0,0.0,-1.6,1.3,4,0,0.0,False,0,3,0
2022-03-21 06:00:00,0,0.0,-2.1,1.0,5,0,0.0,False,0,3,0
2022-03-21 07:00:00,0,0.0,-2.8,1.3,6,3,0.0,False,0,3,0
2022-03-21 08:00:00,0,0.0,-2.3,1.7,7,0,3.0,False,0,3,0
2022-03-21 09:00:00,0,0.0,0.5,1.3,8,0,0.0,False,0,3,0
2022-03-21 10:00:00,0,0.0,3.9,0.7,9,0,0.0,False,0,3,0
2022-03-21 11:00:00,0,0.0,5.2,1.3,10,0,0.0,False,0,3,0
2022-03-21 12:00:00,0,0.0,7.2,1.0,11,0,0.0,False,0,3,0
2022-03-21 13:00:00,0,0.0,8.6,0.8,12,0,0.0,False,0,3,0
2022-03-21 14:00:00,0,0.0,9.6,1.9,13,0,0.0,False,0,3,0
2022-03-21 15:00:00,0,0.0,10.1,1.8,14,0,0.0,False,0,3,0
2022-03-21 16:00:00,0,0.0,10.2,3.0,15,1,0.0,False,0,3,0
2022-03-21 17:00:00,0,0.0,10.4,3.1,16,2,1.0,False,0,3,0
2022-03-21 18:00:00,0,0.0,8.9,4.1,17,0,2.0,False,0,3,0
2022-03-21 19:00:00,0,0.0,7.2,2.1,18,0,0.0,False,0,3,0
2022-03-21 20:00:00,0,0.0,4.8,0.6,19,0,0.0,False,0,3,1
2022-03-21 21:00:00,0,0.0,2.6,1.9,20,1,0.0,False,0,3,0
2022-03-21 22:00:00,0,0.0,1.9,2.1,21,0,1.0,False,0,3,0
2022-03-21 23:00:00,0,0.0,1.1,2.5,22,0,0.0,False,0,3,0
2022-03-21 00:00:00,0,0.0,0.6,2.8,23,0,0.0,False,0,3,0
2022-03-22 01:00:00,0,0.0,0.6,2.9,0,0,,False,1,3,0
2022-03-22 02:00:00,0,0.0,2.2,4.3,1,0,0.0,False,1,3,0
2022-03-22 03:00:00,0,0.0,1.3,1.9,2,0,0.0,False,1,3,0
2022-03-22 04:00:00,0,0.0,1.8,2.2,3,0,0.0,False,1,3,0
2022-03-22 05:00:00,0,0.0,1.7,1.9,4,1,0.0,False,1,3,0
2022-03-22 06:00:00,0,0.0,1.4,1.6,5,2,1.0,False,1,3,0
2022-03-22 07:00:00,0,0.0,1.3,1.9,6,5,2.0,False,1,3,0
2022-03-22 08:00:00,0,0.0,2.2,0.9,7,0,5.0,False,1,3,0
2022-03-22 09:00:00,0,0.0,3.0,1.8,8,0,0.0,False,1,3,0
2022-03-22 10:00:00,0,0.0,2.9,1.9,9,0,0.0,False,1,3,0
2022-03-22 11:00:00,0,0.0,2.9,1.6,10,2,0.0,False,1,3,0
2022-03-22 12:00:00,0,0.0,4.8,1.6,11,0,2.0,False,1,3,0
2022-03-22 13:00:00,1,0.0,6.2,1.8,12,0,0.0,False,1,3,2
2022-03-22 14:00:00,0,0.0,7.6,2.3,13,1,0.0,False,1,3,0
2022-03-22 15:00:00,1,0.0,8.7,3.4,14,1,1.0,False,1,3,1
2022-03-22 16:00:00,0,0.0,9.1,3.4,15,2,1.0,False,1,3,0
2022-03-22 17:00:00,0,0.0,9.3,2.8,16,1,2.0,False,1,3,0
2022-03-22 18:00:00,0,0.0,9.0,2.6,17,1,1.0,False,1,3,1
2022-03-22 19:00:00,0,0.0,7.5,1.2,18,1,1.0,False,1,3,0
2022-03-22 20:00:00,1,0.0,5.6,2.5,19,0,1.0,False,1,3,1
2022-03-22 21:00:00,0,0.0,3.1,1.0,20,0,0.0,False,1,3,0
2022-03-22 22:00:00,0,0.0,5.9,5.6,21,0,0.0,False,1,3,0
2022-03-22 23:00:00,0,0.0,3.9,3.5,22,0,0.0,False,1,3,0
2022-03-22 00:00:00,0,0.0,2.4,2.1,23,0,0.0,False,1,3,0
2022-03-23 01:00:00,0,0.0,0.8,1.6,0,0,,False,2,3,0
2022-03-23 02:00:00,0,0.0,-0.5,0.7,1,0,0.0,False,2,3,0
2022-03-23 03:00:00,0,0.0,-1.2,0.8,2,0,0.0,False,2,3,0
