started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-12-01 05:44:15.358000+00:00,2021-12-01 05:54:26.662000+00:00,611,739,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515
2021-12-01 05:44:42.990000+00:00,2021-12-01 05:52:17.342000+00:00,454,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2021-12-01 05:45:14.177000+00:00,2021-12-01 05:57:02.566000+00:00,708,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,541,Langkaia,langs Rådhusgata,59.9080552,10.7479977
2021-12-01 05:46:17.741000+00:00,2021-12-01 05:57:41.716000+00:00,683,519,Thomas Heftyes plass,ved Bygdøy allé,59.918578143336774,10.703899530059402,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2021-12-01 05:50:27.657000+00:00,2021-12-01 05:58:50.619000+00:00,502,384,Vår Frelsers gravlund sør,langs Ullevålsveien,59.919463,10.743829,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
2021-12-01 05:50:28.381000+00:00,2021-12-01 05:59:29.674000+00:00,541,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737
2021-12-01 05:52:15.231000+00:00,2021-12-01 06:03:26.889000+00:00,671,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013
2021-12-01 05:52:34.370000+00:00,2021-12-01 06:05:00.612000+00:00,746,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,495,Vaterlandsparken,langs Brugata,59.91351552854147,10.757334670552268
2021-12-01 05:54:19.113000+00:00,2021-12-01 06:00:42.879000+00:00,383,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2021-12-01 05:57:01.421000+00:00,2021-12-01 06:03:46.752000+00:00,405,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2021-12-01 05:57:13.507000+00:00,2021-12-01 06:07:11.898000+00:00,598,470,St. Hanshaugen park nord,krysset Colletts gt / Geitmyrsveien,59.92979845370007,10.743540765932096,404,Oslo Handelsgymnasium,ved Solligata,59.914306,10.720202
2021-12-01 05:57:39.816000+00:00,2021-12-01 06:13:56.718000+00:00,976,511,Henrik Ibsens gate,ved Parkveien,59.915088,10.7222803,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2021-12-01 05:59:22.193000+00:00,2021-12-01 06:06:59.223000+00:00,457,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804,557,Akersgata,ved Grensen,59.9141971,10.7428828
2021-12-01 06:01:10.061000+00:00,2021-12-01 06:14:35.709000+00:00,805,426,Gimle Kino,ved Frogner Kirke,59.91728078292675,10.708375798767435,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971
2021-12-01 06:02:13.029000+00:00,2021-12-01 06:14:33.107000+00:00,740,579,Bogstadveien,ved Sporveisgata,59.924732,10.724628,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171
2021-12-01 06:02:42.652000+00:00,2021-12-01 06:06:06.847000+00:00,204,519,Thomas Heftyes plass,ved Bygdøy allé,59.918578143336774,10.703899530059402,435,Fram-gården,langs Bygdøy Allé,59.915424,10.714577
2021-12-01 06:04:39.586000+00:00,2021-12-01 06:14:04.879000+00:00,565,427,Briskeby,ved Uranienborg skole,59.920218,10.717978,524,Volvat,langs Sørkedalsveien,59.9330870371029,10.703967938028702
2021-12-01 06:05:08.151000+00:00,2021-12-01 06:08:35.099000+00:00,206,426,Gimle Kino,ved Frogner Kirke,59.91728078292675,10.708375798767435,746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321
2021-12-01 06:06:47.947000+00:00,2021-12-01 06:22:11.275000+00:00,923,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,567,Forskningsveien,ved SINTEF,59.945450633702556,10.713867957672134
