dateTime,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,availability,Mean_close_count_last_hour
2020-10-01 01:00:00,0.0,1.7,2.8,0,0,,False,3,10,0,0
2020-10-01 02:00:00,0.0,1.5,3.0,1,0,0.0,False,3,10,0,0
2020-10-01 03:00:00,0.0,1.5,2.2,2,0,0.0,False,3,10,0,0
2020-10-01 04:00:00,0.0,2.0,2.4,3,0,0.0,False,3,10,0,0
2020-10-01 05:00:00,0.0,1.7,1.4,4,0,0.0,False,3,10,0,0
2020-10-01 06:00:00,0.0,1.0,1.9,5,1,0.0,False,3,10,0,0
2020-10-01 07:00:00,0.0,0.6,1.9,6,1,1.0,False,3,10,0,0
2020-10-01 08:00:00,0.0,-0.2,1.7,7,0,1.0,False,3,10,0,0
2020-10-01 09:00:00,0.0,-0.6,1.4,8,0,0.0,False,3,10,0,2
2020-10-01 10:00:00,0.0,-2.3,0.9,9,0,0.0,False,3,10,1,0
2020-10-01 11:00:00,0.0,-2.4,0.5,10,0,0.0,False,3,10,0,0
2020-10-01 12:00:00,0.0,-0.9,1.2,11,0,0.0,False,3,10,0,0
2020-10-01 13:00:00,0.0,0.2,1.1,12,0,0.0,False,3,10,0,1
2020-10-01 14:00:00,0.0,0.7,1.8,13,0,0.0,False,3,10,1,0
2020-10-01 15:00:00,0.0,0.3,1.2,14,0,0.0,False,3,10,1,0
2020-10-01 16:00:00,0.0,-0.1,1.2,15,0,0.0,False,3,10,1,1
2020-10-01 17:00:00,0.0,-1.6,0.6,16,4,0.0,False,3,10,1,2
2020-10-01 18:00:00,0.0,-1.8,1.2,17,1,4.0,False,3,10,1,1
2020-10-01 19:00:00,0.0,-2.8,0.4,18,1,1.0,False,3,10,1,0
2020-10-01 20:00:00,0.0,-3.3,2.6,19,0,1.0,False,3,10,1,2
2020-10-01 21:00:00,0.0,-3.6,1.4,20,0,0.0,False,3,10,1,4
2020-10-01 22:00:00,0.0,-4.6,0.2,21,0,0.0,False,3,10,1,0
2020-10-01 23:00:00,0.0,-5.0,1.0,22,0,0.0,False,3,10,0,0
2020-10-01 00:00:00,0.0,-5.4,0.5,23,0,0.0,False,3,10,0,0
2020-10-02 01:00:00,0.0,6.4,6.7,0,0,,False,4,10,0,0
2020-10-02 02:00:00,0.0,6.5,5.3,1,0,0.0,False,4,10,0,0
2020-10-02 03:00:00,0.0,6.4,5.8,2,0,0.0,False,4,10,0,0
2020-10-02 04:00:00,0.0,6.2,4.9,3,0,0.0,False,4,10,0,0
2020-10-02 05:00:00,0.0,5.9,4.9,4,0,0.0,False,4,10,0,0
2020-10-02 06:00:00,0.0,5.5,5.8,5,1,0.0,False,4,10,0,0
2020-10-02 07:00:00,0.0,5.0,3.1,6,1,1.0,False,4,10,0,0
2020-10-02 08:00:00,0.0,4.7,4.7,7,0,1.0,False,4,10,0,0
2020-10-02 09:00:00,0.0,4.8,3.6,8,0,0.0,False,4,10,0,0
2020-10-02 10:00:00,0.0,5.8,4.5,9,0,0.0,False,4,10,1,1
2020-10-02 11:00:00,0.0,6.8,5.0,10,0,0.0,False,4,10,1,0
2020-10-02 12:00:00,0.0,6.9,7.1,11,0,0.0,False,4,10,0,0
2020-10-02 13:00:00,0.0,6.7,4.4,12,0,0.0,False,4,10,1,1
2020-10-02 14:00:00,0.0,6.6,3.4,13,1,0.0,False,4,10,1,0
2020-10-02 15:00:00,0.0,6.6,4.0,14,1,1.0,False,4,10,0,1
2020-10-02 16:00:00,0.0,6.1,2.4,15,1,1.0,False,4,10,1,0
2020-10-02 17:00:00,0.0,5.7,2.7,16,1,1.0,False,4,10,0,0
2020-10-02 18:00:00,0.0,5.1,2.3,17,1,1.0,False,4,10,0,1
2020-10-02 19:00:00,0.0,4.1,2.2,18,0,1.0,False,4,10,1,1
2020-10-02 20:00:00,0.0,3.8,2.5,19,0,0.0,False,4,10,1,0
2020-10-02 21:00:00,0.0,3.5,3.5,20,1,0.0,False,4,10,1,0
2020-10-02 22:00:00,0.0,3.2,2.6,21,0,1.0,False,4,10,1,1
2020-10-02 23:00:00,0.0,3.5,5.4,22,0,0.0,False,4,10,1,0
2020-10-02 00:00:00,0.0,3.0,4.6,23,0,0.0,False,4,10,0,0
2020-10-03 01:00:00,0.0,3.3,2.2,0,0,,False,5,10,0,0
2020-10-03 02:00:00,0.0,3.2,0.8,1,0,0.0,False,5,10,0,0
2020-10-03 03:00:00,0.0,3.4,1.4,2,0,0.0,False,5,10,0,0
2020-10-03 04:00:00,0.0,3.5,2.9,3,0,0.0,False,5,10,0,0
2020-10-03 05:00:00,0.0,3.2,2.4,4,0,0.0,False,5,10,0,0
2020-10-03 06:00:00,0.0,2.9,2.2,5,0,0.0,False,5,10,0,0
2020-10-03 07:00:00,0.0,2.6,1.9,6,0,0.0,False,5,10,0,0
2020-10-03 08:00:00,0.0,2.9,2.1,7,1,0.0,False,5,10,0,0
2020-10-03 09:00:00,0.2,2.8,2.7,8,0,1.0,False,5,10,0,0
2020-10-03 10:00:00,0.1,3.3,2.4,9,0,0.0,False,5,10,0,0
2020-10-03 11:00:00,0.2,3.2,1.2,10,1,0.0,False,5,10,0,0
2020-10-03 12:00:00,0.0,4.3,2.4,11,0,1.0,False,5,10,1,0
