Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,num_bikes_available
2022-06-01 00:00:00+00:00,0.0,-3.7,2.2,0,0,2,0,False,,6,8
2022-06-01 01:00:00+00:00,0.0,-4.4,0.5,0,0,2,1,False,0.0,6,8
2022-06-01 02:00:00+00:00,0.0,-1.7,5.3,0,0,2,2,False,0.0,6,8
2022-06-01 03:00:00+00:00,0.0,-4.3,2.5,0,0,2,3,False,0.0,6,8
2022-06-01 04:00:00+00:00,0.0,-4.3,3.8,0,2,2,4,False,0.0,6,8
2022-06-01 05:00:00+00:00,0.0,-3.8,3.7,0,5,2,5,False,2.0,6,8
2022-06-01 06:00:00+00:00,0.0,-4.5,1.4,0,3,2,6,False,5.0,6,8
2022-06-01 07:00:00+00:00,0.0,-5.1,1.0,4,2,2,7,False,3.0,6,6
2022-06-01 08:00:00+00:00,0.0,-5.3,0.5,4,0,2,8,False,2.0,6,1
2022-06-01 09:00:00+00:00,0.0,-5.4,2.2,4,0,2,9,False,0.0,6,1
2022-06-01 10:00:00+00:00,0.0,-5.9,1.1,2,1,2,10,False,0.0,6,0
2022-06-01 11:00:00+00:00,0.0,-4.6,1.3,2,0,2,11,False,1.0,6,0
2022-06-01 12:00:00+00:00,0.0,-4.2,1.2,2,1,2,12,False,0.0,6,0
2022-06-01 13:00:00+00:00,0.0,-2.7,1.5,2,1,2,13,False,1.0,6,1
2022-06-01 14:00:00+00:00,0.0,-3.9,0.2,2,3,2,14,False,1.0,6,3
2022-06-01 15:00:00+00:00,0.0,-4.0,0.8,2,4,2,15,False,3.0,6,2
2022-06-01 16:00:00+00:00,0.0,-6.6,0.0,1,1,2,16,False,4.0,6,3
2022-06-01 17:00:00+00:00,0.0,-7.7,1.6,1,1,2,17,False,1.0,6,5
2022-06-01 18:00:00+00:00,0.0,-8.5,1.1,1,0,2,18,False,1.0,6,2
2022-06-01 19:00:00+00:00,0.0,-9.0,1.7,0,2,2,19,False,0.0,6,2
2022-06-01 20:00:00+00:00,0.0,-9.0,2.7,0,1,2,20,False,2.0,6,2
2022-06-01 21:00:00+00:00,0.0,-9.5,1.8,0,0,2,21,False,1.0,6,3
2022-06-01 22:00:00+00:00,0.0,-9.2,2.2,5,0,2,22,False,0.0,6,11
2022-06-01 23:00:00+00:00,0.0,-8.2,1.9,5,0,2,23,False,0.0,6,11
2022-06-02 00:00:00+00:00,0.0,3.1,0.9,8,0,3,0,False,0.0,6,12
2022-06-02 01:00:00+00:00,0.0,2.3,2.2,8,0,3,1,False,0.0,6,13
2022-06-02 02:00:00+00:00,0.0,1.1,2.5,8,0,3,2,False,0.0,6,13
2022-06-02 03:00:00+00:00,0.0,1.4,5.6,8,1,3,3,False,0.0,6,13
2022-06-02 04:00:00+00:00,0.0,2.1,6.3,8,0,3,4,False,1.0,6,13
2022-06-02 05:00:00+00:00,0.0,1.2,5.4,8,2,3,5,False,0.0,6,13
2022-06-02 06:00:00+00:00,0.0,-0.3,4.1,8,6,3,6,False,2.0,6,12
2022-06-02 07:00:00+00:00,0.0,-0.8,4.1,3,4,3,7,False,6.0,6,12
2022-06-02 08:00:00+00:00,0.0,-0.8,3.6,3,1,3,8,False,4.0,6,10
2022-06-02 09:00:00+00:00,0.0,-0.2,2.1,3,0,3,9,False,1.0,6,4
2022-06-02 10:00:00+00:00,0.0,0.1,4.1,5,0,3,10,False,0.0,6,0
