Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_4,dock_availability_4,availability,dock_availability
2022-05-01 00:00:00+00:00,0.0,-3.0,3.1,6,0.0,6,0,False,,0.9877777777777776,0.9877777777777776,0.6585185185185184,0.9877777777777776
2022-05-01 01:00:00+00:00,0.0,-3.8,1.1,6,0.0,6,1,False,0.0,0.9908333333333332,0.9908333333333332,0.6605555555555555,0.9908333333333332
2022-05-01 02:00:00+00:00,0.0,-3.8,2.8,6,0.0,6,2,False,0.0,0.9811111111111108,0.9811111111111108,0.6540740740740739,0.9811111111111108
2022-05-01 03:00:00+00:00,0.0,-4.0,2.6,6,0.0,6,3,False,0.0,0.9924999999999996,0.9924999999999996,0.6616666666666664,0.9924999999999996
2022-05-01 04:00:00+00:00,0.0,-3.6,3.4,6,0.0,6,4,False,0.0,0.9905555555555552,0.9905555555555552,0.6603703703703702,0.9905555555555552
2022-05-01 05:00:00+00:00,0.0,-3.7,3.0,6,1.0,6,5,False,0.0,0.9891666666666664,0.9891666666666664,0.6594444444444443,0.9891666666666664
2022-05-01 06:00:00+00:00,0.0,-3.8,1.7,6,2.0,6,6,False,1.0,0.7691666666666667,0.9866666666666668,0.6577777777777779,0.9866666666666668
2022-05-01 07:00:00+00:00,0.0,-5.2,1.4,4,1.0,6,7,False,2.0,0.6527777777777776,0.9791666666666664,0.5122222222222221,0.9791666666666664
2022-05-01 08:00:00+00:00,0.0,-3.9,2.4,4,4.0,6,8,False,1.0,0.6335185185185187,0.950277777777778,0.6215277777777779,0.950277777777778
2022-05-01 09:00:00+00:00,0.0,-3.3,3.4,4,18.0,6,9,False,4.0,0.657962962962963,0.9869444444444444,0.657962962962963,0.9869444444444444
2022-05-01 10:00:00+00:00,0.0,-3.5,1.6,6,4.0,6,10,False,18.0,0.6466666666666666,0.97,0.4999537037037037,0.97
2022-05-01 11:00:00+00:00,0.0,-2.7,2.2,6,9.0,6,11,False,4.0,0.6007407407407407,0.7997222222222222,0.5816203703703703,0.987222222222222
2022-05-01 12:00:00+00:00,0.0,-2.3,1.4,6,7.0,6,12,False,9.0,0.3283333333333333,0.0,0.5614351851851852,0.985
2022-05-01 13:00:00+00:00,0.0,-1.4,3.6,2,9.0,6,13,False,7.0,0.317037037037037,0.0,0.572037037037037,0.9511111111111112
2022-05-01 14:00:00+00:00,0.0,-0.9,1.3,2,7.0,6,14,False,9.0,0.4133333333333333,0.2861111111111111,0.5800925925925926,0.9852777777777778
2022-05-01 15:00:00+00:00,0.0,-0.3,4.3,2,12.0,6,15,False,7.0,0.4855555555555553,0.2974999999999999,0.4503240740740739,0.9863888888888884
2022-05-01 16:00:00+00:00,0.0,0.0,3.7,2,7.0,6,16,False,12.0,0.6167592592592591,0.8113888888888888,0.796574074074074,0.9905555555555554
2022-05-01 17:00:00+00:00,0.0,-0.4,2.3,2,2.0,6,17,False,7.0,0.7914814814814815,0.9997222222222224,0.704351851851852,0.9997222222222224
2022-05-01 18:00:00+00:00,0.0,-0.7,3.6,2,1.0,6,18,False,2.0,0.989722222222222,0.9897222222222222,0.6159259259259259,0.3488888888888888
2022-05-01 19:00:00+00:00,0.0,-0.9,5.4,0,2.0,6,19,False,1.0,0.9855555555555554,0.9855555555555554,0.4967129629629629,0.0
2022-05-01 20:00:00+00:00,0.0,-1.3,3.3,0,4.0,6,20,False,2.0,0.995,0.995,0.3596296296296296,0.1019444444444444
2022-05-01 21:00:00+00:00,0.0,-1.3,4.6,0,3.0,6,21,False,4.0,0.9855555555555552,0.9855555555555552,0.2725925925925925,0.0
2022-05-01 22:00:00+00:00,0.0,-1.2,5.5,0,0.0,6,22,False,3.0,0.9802777777777776,0.9802777777777776,0.4254166666666666,0.0
2022-05-01 23:00:00+00:00,0.0,-0.7,6.2,0,0.0,6,23,False,0.0,0.8560185185185182,0.9830555555555552,0.593935185185185,0.2813888888888889
2022-05-02 00:00:00+00:00,0.0,-1.6,1.7,0,0.0,0,0,False,0.0,0.6466666666666665,0.9699999999999998,0.640324074074074,0.9699999999999998
2022-05-02 01:00:00+00:00,0.0,-2.3,1.9,0,0.0,0,1,False,0.0,0.6455555555555553,0.968333333333333,0.4841666666666666,0.968333333333333
2022-05-02 02:00:00+00:00,0.0,-3.5,0.4,0,0.0,0,2,False,0.0,0.6609259259259258,0.9913888888888888,0.4956944444444444,0.9913888888888888
2022-05-02 03:00:00+00:00,0.0,-3.5,1.6,0,0.0,0,3,False,0.0,0.6546296296296298,0.9819444444444446,0.4909722222222223,0.9819444444444446
2022-05-02 04:00:00+00:00,0.0,-2.7,1.0,0,0.0,0,4,False,0.0,0.658148148148148,0.987222222222222,0.493611111111111,0.987222222222222
2022-05-02 05:00:00+00:00,0.0,-4.1,1.4,0,14.0,0,5,False,0.0,0.6570370370370373,0.985555555555556,0.492777777777778,0.985555555555556
2022-05-02 06:00:00+00:00,0.0,-4.8,0.7,0,37.0,0,6,False,14.0,0.5888888888888887,0.7647222222222221,0.4261574074074072,0.9866666666666664
2022-05-02 07:00:00+00:00,0.0,-5.0,1.2,1,13.0,0,7,False,37.0,0.373425925925926,0.0,0.4939351851851852,1.0000000000000002
2022-05-02 08:00:00+00:00,0.0,-4.3,1.1,1,10.0,0,8,False,13.0,0.5032407407407407,0.1136111111111111,0.6773148148148147,0.9869444444444444
2022-05-02 09:00:00+00:00,0.0,-3.6,1.3,1,5.0,0,9,False,10.0,0.3063888888888889,0.0,0.6995370370370372,0.9191666666666668
2022-05-02 10:00:00+00:00,0.0,-1.7,1.9,4,4.0,0,10,False,5.0,0.4917592592592592,0.5180555555555555,0.4580555555555555,0.9808333333333332
2022-05-02 11:00:00+00:00,0.0,-0.4,1.3,4,9.0,0,11,False,4.0,0.903240740740741,0.9538888888888892,0.6176388888888892,0.9538888888888892
2022-05-02 12:00:00+00:00,0.0,3.0,2.4,4,5.0,0,12,False,9.0,0.8701851851851851,0.598333333333333,0.6572222222222222,0.9858333333333332
2022-05-02 13:00:00+00:00,0.0,2.8,3.6,4,7.0,0,13,False,5.0,0.3443518518518517,0.0,0.656111111111111,0.9841666666666664
2022-05-02 14:00:00+00:00,0.0,3.0,2.2,4,11.0,0,14,False,7.0,0.5371296296296296,0.0,0.7392592592592592,0.9880555555555556
2022-05-02 15:00:00+00:00,0.0,3.4,4.7,4,9.0,0,15,False,11.0,0.6538888888888891,0.0,0.9062962962962966,0.9808333333333336
2022-05-02 16:00:00+00:00,0.0,2.8,4.0,7,10.0,0,16,False,9.0,0.7041666666666667,0.1613888888888889,0.678425925925926,0.983888888888889
2022-05-02 17:00:00+00:00,0.0,2.9,4.6,7,7.0,0,17,False,10.0,0.6225925925925926,0.2033333333333333,0.7727777777777779,0.9825000000000002
2022-05-02 18:00:00+00:00,0.0,2.5,3.9,7,6.0,0,18,False,7.0,0.9756481481481484,0.9808333333333336,0.8173611111111113,0.9808333333333336
2022-05-02 19:00:00+00:00,0.0,2.9,4.7,8,5.0,0,19,False,6.0,0.9855555555555556,0.9855555555555556,0.8212962962962963,0.9855555555555556
2022-05-02 20:00:00+00:00,0.0,3.0,2.9,8,9.0,0,20,False,5.0,0.9816666666666666,0.9816666666666666,0.7885185185185185,0.9816666666666666
2022-05-02 21:00:00+00:00,0.0,3.6,4.6,8,2.0,0,21,False,9.0,0.9861111111111112,0.9861111111111112,0.5547685185185186,0.9861111111111112
2022-05-02 22:00:00+00:00,0.0,3.7,3.6,8,1.0,0,22,False,2.0,0.9341666666666668,0.9341666666666668,0.5587037037037038,0.9341666666666668
2022-05-02 23:00:00+00:00,0.0,3.7,2.5,8,0.0,0,23,False,1.0,0.9874999999999996,0.9874999999999996,0.6583333333333331,0.9874999999999996
2022-05-03 00:00:00+00:00,0.0,-3.0,1.0,1,0.0,1,0,False,0.0,0.9552777777777776,0.9552777777777776,0.7960648148148146,0.9552777777777776
2022-05-03 01:00:00+00:00,0.0,-3.0,1.3,1,0.0,1,1,False,0.0,0.984722222222222,0.9847222222222218,0.8206018518518515,0.9847222222222218
2022-05-03 02:00:00+00:00,0.0,-3.1,1.5,1,0.0,1,2,False,0.0,0.9861111111111108,0.9861111111111108,0.8217592592592591,0.9861111111111108
2022-05-03 03:00:00+00:00,0.0,-3.9,0.2,1,1.0,1,3,False,0.0,0.9930555555555552,0.9930555555555552,0.827546296296296,0.9930555555555552
2022-05-03 04:00:00+00:00,0.0,-4.2,0.4,1,4.0,1,4,False,1.0,0.9816666666666668,0.9816666666666668,0.8180555555555556,0.9816666666666668
2022-05-03 05:00:00+00:00,0.0,-3.3,0.2,1,13.0,1,5,False,4.0,0.987222222222222,0.987222222222222,0.822685185185185,0.987222222222222
2022-05-03 06:00:00+00:00,0.0,-2.2,0.4,1,30.0,1,6,False,13.0,0.9813888888888888,0.9813888888888888,0.817824074074074,0.9813888888888888
2022-05-03 07:00:00+00:00,0.0,-2.2,0.8,7,16.0,1,7,False,30.0,0.9855555555555556,0.9855555555555556,0.7222222222222223,0.9855555555555556
2022-05-03 08:00:00+00:00,0.0,-2.6,0.4,7,8.0,1,8,False,16.0,0.6792592592592591,0.9844444444444445,0.6637962962962963,0.9844444444444445
2022-05-03 09:00:00+00:00,0.0,-1.7,0.8,7,14.0,1,9,False,8.0,0.3281481481481482,0.9844444444444448,0.7168055555555557,0.9844444444444448
2022-05-03 10:00:00+00:00,0.0,-1.1,0.3,5,10.0,1,10,False,14.0,0.3473148148148148,0.9944444444444442,0.8369907407407408,0.9944444444444442
2022-05-03 11:00:00+00:00,0.0,0.7,1.9,5,11.0,1,11,False,10.0,0.5416666666666665,0.9877777777777774,0.7648148148148146,0.9877777777777774
2022-05-03 12:00:00+00:00,0.0,1.9,1.6,5,7.0,1,12,False,11.0,0.8226851851851852,0.9819444444444444,0.852361111111111,0.9819444444444444
2022-05-03 13:00:00+00:00,0.0,2.7,2.5,2,7.0,1,13,False,7.0,0.9869444444444448,0.9869444444444448,0.7814351851851855,0.9869444444444448
2022-05-03 14:00:00+00:00,0.0,3.5,2.6,2,11.0,1,14,False,7.0,0.9816666666666668,0.9816666666666668,0.8766666666666666,0.9816666666666668
2022-05-03 15:00:00+00:00,0.0,4.0,2.4,2,12.0,1,15,False,11.0,0.9758333333333332,0.9758333333333332,0.9007870370370368,0.9758333333333332
2022-05-03 16:00:00+00:00,0.0,4.6,2.0,3,6.0,1,16,False,12.0,0.9847222222222224,0.9847222222222224,0.9426388888888892,0.9847222222222224
2022-05-03 17:00:00+00:00,0.0,3.3,1.7,3,9.0,1,17,False,6.0,0.9658333333333332,0.9658333333333332,0.7465277777777777,0.9325
