Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,availability,dock_availability
2022-08-02 19:00:00+00:00,0.0,2.2,1.9,1,6.0,1,19,False,6.0,0.9938888888888892,0.9938888888888888
2022-08-02 20:00:00+00:00,0.0,-0.3,1.9,1,7.0,1,20,False,6.0,0.9819444444444444,0.9819444444444444
2022-08-02 21:00:00+00:00,0.0,-0.1,1.0,1,4.0,1,21,False,7.0,0.9952777777777778,0.9952777777777778
2022-08-02 22:00:00+00:00,0.0,-1.3,0.6,1,3.0,1,22,False,4.0,0.993333333333334,0.9933333333333336
2022-08-02 23:00:00+00:00,0.0,-1.8,1.0,1,0.0,1,23,False,3.0,0.9794444444444448,0.9794444444444445
2022-08-03 00:00:00+00:00,0.0,-2.2,0.4,3,0.0,2,0,False,0.0,0.9975000000000004,0.9975
2022-08-03 01:00:00+00:00,0.0,-2.5,0.9,3,0.0,2,1,False,0.0,0.981666666666666,0.9816666666666664
2022-08-03 02:00:00+00:00,0.0,-1.6,1.4,3,0.0,2,2,False,0.0,0.980555555555556,0.9805555555555556
2022-08-03 03:00:00+00:00,0.0,-2.5,1.6,3,4.0,2,3,False,0.0,0.9791666666666662,0.9791666666666664
2022-08-03 04:00:00+00:00,0.0,-2.7,1.0,3,14.0,2,4,False,4.0,0.9983333333333332,0.9983333333333332
2022-08-03 05:00:00+00:00,0.0,-2.6,1.0,3,52.0,2,5,False,14.0,0.9788888888888888,0.9788888888888888
2022-08-03 06:00:00+00:00,0.0,-2.2,1.2,3,79.0,2,6,False,52.0,0.9600000000000004,0.9600000000000002
2022-08-03 07:00:00+00:00,0.0,-2.8,2.0,0,25.0,2,7,False,79.0,0.9975000000000004,0.9975000000000002
2022-08-03 08:00:00+00:00,0.0,-3.3,1.8,0,14.0,2,8,False,25.0,0.981388888888889,0.9813888888888892
2022-08-03 09:00:00+00:00,0.0,-3.2,1.1,0,8.0,2,9,False,14.0,0.9761111111111108,0.9761111111111108
2022-08-03 10:00:00+00:00,0.0,-2.0,0.9,7,16.0,2,10,False,8.0,0.997222222222222,0.997222222222222
2022-08-03 11:00:00+00:00,0.0,1.0,0.5,7,18.0,2,11,False,16.0,0.9994444444444442,0.999444444444444
2022-08-03 12:00:00+00:00,0.0,1.5,2.0,7,20.0,2,12,False,18.0,0.9977777777777777,0.9977777777777778
2022-08-03 13:00:00+00:00,0.0,2.3,1.5,5,27.0,2,13,False,20.0,0.947320261437908,0.996111111111111
2022-08-03 14:00:00+00:00,0.0,3.3,1.6,5,32.0,2,14,False,27.0,0.9349019607843132,0.9933333333333332
2022-08-03 15:00:00+00:00,0.0,4.3,1.0,5,53.0,2,15,False,32.0,0.9233986928104576,0.9811111111111112
2022-08-03 16:00:00+00:00,0.0,4.5,1.7,5,37.0,2,16,False,53.0,0.9252287581699348,0.9830555555555556
2022-08-03 17:00:00+00:00,0.0,3.6,1.2,5,24.0,2,17,False,37.0,0.9348202614379082,0.9972222222222222
2022-08-03 18:00:00+00:00,0.0,2.1,1.1,5,31.0,2,18,False,24.0,0.8839542483660129,0.9766666666666663
2022-08-03 19:00:00+00:00,0.0,0.1,1.6,3,22.0,2,19,False,31.0,0.8856209150326793,0.996111111111111
2022-08-03 20:00:00+00:00,0.0,-1.3,0.8,3,20.0,2,20,False,22.0,0.8470588235294121,0.96
2022-08-03 21:00:00+00:00,0.0,-2.1,0.5,3,15.0,2,21,False,20.0,0.8109967320261438,0.9958333333333332
2022-08-03 22:00:00+00:00,0.0,-2.4,1.6,2,8.0,2,22,False,15.0,0.7835784313725492,0.9938888888888888
2022-08-03 23:00:00+00:00,0.0,-3.0,1.0,2,0.0,2,23,False,8.0,0.8068627450980386,0.976944444444444
2022-08-04 00:00:00+00:00,0.0,1.5,5.0,6,0.0,3,0,False,0.0,0.8342647058823525,0.999722222222222
2022-08-04 01:00:00+00:00,0.0,1.1,4.6,6,0.0,3,1,False,0.0,0.86421568627451,0.9794444444444445
2022-08-04 02:00:00+00:00,0.0,1.0,4.9,6,0.0,3,2,False,0.0,0.8666666666666673,0.9822222222222226
2022-08-04 03:00:00+00:00,0.0,0.9,5.8,6,6.0,3,3,False,0.0,0.8661764705882354,0.9816666666666666
2022-08-04 04:00:00+00:00,0.0,0.3,5.1,6,11.0,3,4,False,6.0,0.8816176470588237,0.9991666666666666
2022-08-04 05:00:00+00:00,0.0,0.2,4.4,6,60.0,3,5,False,11.0,0.8441013071895426,0.9444444444444446
2022-08-04 06:00:00+00:00,0.0,0.3,5.7,6,99.0,3,6,False,60.0,0.9218300653594772,0.9794444444444446
2022-08-04 07:00:00+00:00,0.0,0.4,6.5,7,22.0,3,7,False,99.0,0.9388235294117652,0.9975
2022-08-04 08:00:00+00:00,0.0,0.5,7.0,7,23.0,3,8,False,22.0,0.9210457516339868,0.9786111111111112
2022-08-04 09:00:00+00:00,0.0,1.0,6.4,7,17.0,3,9,False,23.0,0.9367320261437913,0.995277777777778
2022-08-04 10:00:00+00:00,0.0,2.3,6.7,7,14.0,3,10,False,17.0,0.9205228758169932,0.9780555555555556
2022-08-04 11:00:00+00:00,0.0,2.8,6.9,7,18.0,3,11,False,14.0,0.9383006535947715,0.9969444444444444
2022-08-04 12:00:00+00:00,0.0,3.4,8.8,7,14.0,3,12,False,18.0,0.9367320261437908,0.9952777777777778
2022-08-04 13:00:00+00:00,0.0,4.3,7.1,7,26.0,3,13,False,14.0,0.9171241830065356,0.9744444444444444
