Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_606,dock_availability_606,availability,dock_availability
2022-06-17 04:00:00+00:00,0.0,10.5,1.8,5,19,4,4,False,7.0,0.9836111111111112,0.9836111111111112,0.8524629629629631,0.9836111111111112
2022-06-17 05:00:00+00:00,0.0,12.7,0.5,5,56,4,5,False,19.0,0.985277777777778,0.985277777777778,0.9152407407407408,0.985277777777778
2022-06-17 06:00:00+00:00,0.0,15.0,1.3,5,75,4,6,False,56.0,0.9847222222222224,0.9847222222222224,0.9190740740740744,0.9847222222222224
2022-06-17 07:00:00+00:00,0.0,17.2,1.1,2,46,4,7,False,75.0,0.9805555555555556,0.9805555555555556,0.9483148148148152,0.9805555555555556
2022-06-17 08:00:00+00:00,0.0,18.8,1.4,2,18,4,8,False,46.0,0.9841666666666666,0.9841666666666666,0.9841666666666667,0.9841666666666666
2022-06-17 09:00:00+00:00,0.0,19.9,1.9,2,28,4,9,False,18.0,1.0,1.0,1.0,1.0
2022-06-17 10:00:00+00:00,0.0,20.6,1.7,7,21,4,10,False,28.0,0.9830555555555552,0.9830555555555552,0.9830555555555556,0.9830555555555552
2022-06-17 11:00:00+00:00,0.0,21.1,2.6,7,37,4,11,False,21.0,0.9813888888888884,0.9813888888888884,0.9813888888888884,0.9813888888888884
2022-06-17 12:00:00+00:00,0.0,21.0,3.5,7,19,4,12,False,37.0,0.9880555555555556,0.9880555555555556,0.9564444444444448,0.9880555555555556
2022-06-17 13:00:00+00:00,0.0,21.2,2.7,8,54,4,13,False,19.0,0.9636111111111112,0.9636111111111112,0.904777777777778,0.9636111111111112
2022-06-17 14:00:00+00:00,0.0,20.0,6.2,8,37,4,14,False,54.0,0.9822222222222222,0.9822222222222222,0.921351851851852,0.9822222222222222
2022-06-17 15:00:00+00:00,0.0,18.7,4.3,8,22,4,15,False,37.0,0.9866666666666668,0.9866666666666668,0.9353333333333332,0.9866666666666668
2022-06-17 16:00:00+00:00,0.0,18.0,4.8,8,25,4,16,False,22.0,0.9788888888888888,0.9788888888888888,0.9337407407407408,0.9788888888888888
2022-06-17 17:00:00+00:00,0.2,17.0,4.6,8,6,4,17,False,25.0,0.9833333333333332,0.9833333333333332,0.9177777777777776,0.9833333333333332
2022-06-17 18:00:00+00:00,0.5,15.5,4.4,8,4,4,18,False,6.0,0.9811111111111112,0.9811111111111112,0.9577222222222224,0.9811111111111112
2022-06-17 19:00:00+00:00,2.8,13.7,5.7,8,3,4,19,False,4.0,0.9852777777777774,0.9852777777777774,0.9852777777777776,0.9852777777777774
2022-06-17 20:00:00+00:00,2.6,13.9,3.7,8,5,4,20,False,3.0,0.981111111111111,0.981111111111111,0.9811111111111112,0.981111111111111
2022-06-17 21:00:00+00:00,0.3,13.9,4.0,8,11,4,21,False,5.0,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332
2022-06-17 22:00:00+00:00,1.1,14.1,2.4,8,7,4,22,False,11.0,0.9816666666666668,0.9816666666666668,0.981666666666667,0.9816666666666668
2022-06-17 23:00:00+00:00,0.1,14.2,3.2,8,0,4,23,False,7.0,0.9869444444444446,0.9869444444444446,0.986944444444445,0.9869444444444446
2022-06-18 00:00:00+00:00,0.0,14.3,2.5,8,0,5,0,False,0.0,0.9783333333333332,0.9783333333333332,0.9783333333333334,0.9783333333333332
2022-06-18 01:00:00+00:00,0.0,14.2,2.0,8,0,5,1,False,0.0,0.964722222222222,0.964722222222222,0.9647222222222216,0.964722222222222
2022-06-18 02:00:00+00:00,0.0,14.0,1.7,8,0,5,2,False,0.0,0.9827777777777776,0.9827777777777776,0.9827777777777772,0.9827777777777776
2022-06-18 03:00:00+00:00,0.0,14.0,2.3,8,1,5,3,False,0.0,0.9880555555555556,0.9880555555555556,0.988055555555556,0.9880555555555556
