Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_2280.0,dock_availability_2280.0,bike_availability_623.0,dock_availability_623.0,bike_availability_387.0,dock_availability_387.0,bike_availability_430.0,dock_availability_430.0,bike_availability_615.0,dock_availability_615.0
2022-09-01 00:00:00+00:00,0.0,-2.5,3.4,8,0,3,0,False,,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558,0.9830555555555558
2022-09-01 01:00:00+00:00,0.0,-2.5,4.1,8,0,3,1,False,0.0,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004,0.9825000000000004
2022-09-01 02:00:00+00:00,0.0,-2.3,3.6,8,0,3,2,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-09-01 03:00:00+00:00,0.0,-2.0,4.3,8,0,3,3,False,0.0,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669
2022-09-01 04:00:00+00:00,0.0,-1.7,4.1,8,0,3,4,False,0.0,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114,0.9836111111111114
2022-09-01 05:00:00+00:00,0.0,-1.8,3.7,8,4,3,5,False,0.0,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222,0.9822222222222222
2022-09-01 06:00:00+00:00,0.0,-1.9,3.5,8,7,3,6,False,4.0,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889,0.983888888888889
2022-09-01 07:00:00+00:00,0.0,-1.7,3.7,8,1,3,7,False,7.0,0.9972222222222222,0.9972222222222222,0.1302777777777777,0.1122222222222222,0.5747222222222221,0.5494444444444444,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222
2022-09-01 08:00:00+00:00,0.0,-1.6,3.9,8,0,3,8,False,1.0,0.6286111111111111,0.6155555555555555,0.0,0.0,0.0,0.0,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332
2022-09-01 09:00:00+00:00,0.0,-1.6,3.5,8,1,3,9,False,0.0,0.0,0.0,0.1033333333333333,0.1052777777777777,0.1988888888888889,0.1925,0.9980555555555554,0.9980555555555554,0.7638888888888887,0.7455555555555554
2022-09-01 10:00:00+00:00,0.0,-1.5,4.0,7,1,3,10,False,1.0,0.1422222222222222,0.1669444444444444,0.908333333333333,0.9280555555555552,0.0,0.0,0.9819444444444442,0.9819444444444442,0.0,0.0
2022-09-01 11:00:00+00:00,0.0,-1.2,4.7,7,3,3,11,False,1.0,0.6155555555555556,0.5961111111111111,0.8797222222222222,0.8802777777777777,0.6022222222222222,0.6144444444444445,0.5466666666666667,0.5461111111111112,0.0,0.0
2022-09-01 12:00:00+00:00,0.0,-1.1,5.1,7,0,3,12,False,3.0,0.0,0.0,0.5677777777777779,0.5491666666666668,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.0,0.0
2022-09-01 13:00:00+00:00,0.0,-1.1,6.3,7,2,3,13,False,0.0,0.0,0.0,0.0,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9755555555555554,0.9819444444444444
2022-09-01 14:00:00+00:00,0.0,-0.9,5.6,7,7,3,14,False,2.0,0.0,0.0,0.0497222222222222,0.0502777777777777,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554
2022-09-01 15:00:00+00:00,0.0,-1.0,5.7,7,3,3,15,False,7.0,0.7822222222222222,0.8011111111111111,0.9163888888888888,0.91,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332
2022-09-01 16:00:00+00:00,0.0,-1.0,5.6,7,2,3,16,False,3.0,0.9844444444444446,0.9844444444444446,0.883888888888889,0.8966666666666667,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446,0.9844444444444446
2022-09-01 17:00:00+00:00,0.0,-1.1,5.6,7,2,3,17,False,2.0,0.9619444444444448,0.9497222222222224,0.9494444444444446,0.9491666666666668,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778,0.980277777777778
2022-09-01 18:00:00+00:00,0.0,-1.0,5.1,7,3,3,18,False,2.0,0.4877777777777776,0.5119444444444443,0.7352777777777777,0.7297222222222222,0.7136111111111109,0.7016666666666664,0.9858333333333332,0.9858333333333332,0.9858333333333332,0.9858333333333332
2022-09-01 19:00:00+00:00,0.0,-1.0,5.9,7,4,3,19,False,3.0,0.3819444444444445,0.3633333333333333,0.9813888888888892,0.9813888888888892,0.0,0.0,0.9813888888888892,0.9813888888888892,0.9813888888888892,0.9813888888888892
2022-09-01 20:00:00+00:00,0.0,-0.9,4.9,7,7,3,20,False,4.0,0.0,0.0,0.9827777777777778,0.9827777777777778,0.7619444444444444,0.7852777777777777,0.9827777777777778,0.9827777777777778,0.9827777777777778,0.9827777777777778
