Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,availability,dock_availability
2022-07-01 00:00:00+00:00,0.0,-7.1,2.2,5,0,4,0,False,,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.7026388888888888,0.999722222222222
2022-07-01 01:00:00+00:00,0.0,-8.1,0.4,5,0,4,1,False,0.0,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776
2022-07-01 02:00:00+00:00,0.0,-7.9,2.4,5,0,4,2,False,0.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668
2022-07-01 03:00:00+00:00,0.0,-7.3,0.2,5,0,4,3,False,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556
2022-07-01 04:00:00+00:00,0.0,-6.0,3.4,5,3,4,4,False,0.0,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888
2022-07-01 05:00:00+00:00,0.0,-5.7,3.4,5,6,4,5,False,3.0,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337
2022-07-01 06:00:00+00:00,0.1,-5.7,4.9,5,3,4,6,False,6.0,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664
2022-07-01 07:00:00+00:00,0.4,-5.5,4.2,0,3,4,7,False,3.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778
2022-07-01 08:00:00+00:00,0.6,-5.7,5.1,0,4,4,8,False,3.0,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556
2022-07-01 09:00:00+00:00,1.2,-5.5,4.8,0,3,4,9,False,4.0,0.981388888888889,0.981388888888889,0.5452777777777779,0.5602777777777778,0.981388888888889,0.981388888888889
2022-07-01 10:00:00+00:00,0.6,-5.0,3.8,0,1,4,10,False,3.0,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778
2022-07-01 11:00:00+00:00,0.6,-4.2,4.1,0,2,4,11,False,1.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224
2022-07-01 12:00:00+00:00,0.5,-4.0,4.5,0,1,4,12,False,2.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-07-01 13:00:00+00:00,0.2,-3.1,4.8,0,6,4,13,False,1.0,0.9786111111111108,0.9786111111111108,0.8513888888888885,0.8349999999999996,0.9786111111111108,0.9786111111111108
2022-07-01 14:00:00+00:00,0.4,-2.8,4.5,0,7,4,14,False,6.0,0.9994444444444442,0.9994444444444442,0.0711111111111111,0.0861111111111111,0.9994444444444442,0.9994444444444442
2022-07-01 15:00:00+00:00,0.5,-3.1,3.9,0,7,4,15,False,7.0,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332
2022-07-01 16:00:00+00:00,0.8,-3.1,4.7,0,4,4,16,False,7.0,0.513611111111111,0.498611111111111,0.9605555555555552,0.9605555555555552,0.8351388888888887,0.9605555555555552
2022-07-01 17:00:00+00:00,0.2,-2.8,3.9,0,5,4,17,False,4.0,0.5361111111111111,0.5677777777777777,0.9855555555555552,0.9855555555555552,0.7130555555555553,0.9855555555555552
2022-07-01 18:00:00+00:00,0.0,-3.1,4.3,0,6,4,18,False,5.0,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.4483333333333334,0.5652777777777779
2022-07-01 19:00:00+00:00,0.1,-3.3,6.1,8,2,4,19,False,6.0,0.9441666666666664,0.9441666666666664,0.8130555555555553,0.7511111111111108,0.3243055555555555,0.548611111111111
2022-07-01 20:00:00+00:00,0.3,-3.3,6.5,8,3,4,20,False,2.0,0.9986111111111108,0.9986111111111108,0.0,0.0,0.5788888888888889,0.6788888888888888
2022-07-01 21:00:00+00:00,0.2,-3.2,5.7,8,13,4,21,False,3.0,0.9794444444444445,0.9794444444444445,0.0,0.0,0.7806944444444446,0.8502777777777779
2022-07-01 22:00:00+00:00,0.4,-3.1,5.5,8,5,4,22,False,13.0,0.9827777777777776,0.9827777777777776,0.0,0.0,0.5333333333333332,0.9827777777777776
2022-07-01 23:00:00+00:00,0.1,-3.4,6.8,8,0,4,23,False,5.0,0.9799999999999998,0.9799999999999998,0.8977777777777775,0.9130555555555552,0.8494444444444443,0.9799999999999998
2022-07-02 00:00:00+00:00,0.0,-4.1,1.4,2,0,5,0,False,0.0,0.9980555555555556,0.9980555555555556,0.9683333333333336,0.9461111111111112,0.9576388888888888,0.9980555555555556
2022-07-02 01:00:00+00:00,0.0,-4.7,1.0,2,0,5,1,False,0.0,0.9972222222222222,0.9972222222222222,0.0,0.0,0.5645833333333333,0.9972222222222222
2022-07-02 02:00:00+00:00,0.0,-5.1,0.7,2,0,5,2,False,0.0,0.9797222222222222,0.9797222222222222,0.0,0.0,0.4898611111111111,0.9797222222222222
2022-07-02 03:00:00+00:00,0.0,-3.7,1.7,2,0,5,3,False,0.0,0.9980555555555554,0.9980555555555554,0.0,0.0,0.4990277777777777,0.9980555555555554
