dateTime,availability 0,availability 1,availability 2,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2020-08-01 01:00:00,0,0,0,0.3,5.8,6.5,0,0,,False,5,8,0.0
2020-08-01 02:00:00,0,1,0,0.0,6.5,6.4,1,0,0.0,False,5,8,0.0
2020-08-01 03:00:00,0,1,1,0.0,7.0,5.4,2,0,0.0,False,5,8,0.0
2020-08-01 04:00:00,0,1,1,0.0,7.6,6.5,3,0,0.0,False,5,8,0.0
2020-08-01 05:00:00,0,1,1,0.0,8.0,5.8,4,0,0.0,False,5,8,0.0
2020-08-01 06:00:00,0,1,1,0.0,8.1,4.3,5,1,0.0,False,5,8,0.0
2020-08-01 07:00:00,0,1,1,0.0,7.4,4.0,6,1,1.0,False,5,8,0.3333333333333333
2020-08-01 08:00:00,0,1,1,0.0,6.7,3.1,7,2,1.0,False,5,8,0.6666666666666666
2020-08-01 09:00:00,0,1,0,0.0,7.7,4.0,8,0,2.0,False,5,8,0.3333333333333333
2020-08-01 10:00:00,0,0,0,0.0,7.7,4.6,9,1,0.0,False,5,8,0.3333333333333333
2020-08-01 11:00:00,0,1,0,0.0,7.1,1.9,10,0,1.0,False,5,8,1.0
2020-08-01 12:00:00,0,0,0,0.0,7.3,1.4,11,1,0.0,False,5,8,4.0
2020-08-01 13:00:00,0,0,1,0.0,7.1,2.3,12,4,1.0,False,5,8,3.0
2020-08-01 14:00:00,0,0,1,0.0,7.0,4.1,13,1,4.0,False,5,8,2.3333333333333335
2020-08-01 15:00:00,1,0,0,0.0,6.3,4.5,14,3,1.0,False,5,8,0.0
2020-08-01 16:00:00,0,0,0,0.0,5.4,4.1,15,0,3.0,False,5,8,1.0
2020-08-01 17:00:00,0,1,0,0.0,4.0,4.0,16,3,0.0,False,5,8,1.3333333333333333
2020-08-01 18:00:00,0,0,1,0.0,4.0,2.7,17,1,3.0,False,5,8,0.3333333333333333
2020-08-01 19:00:00,0,0,0,0.0,3.8,3.7,18,4,1.0,False,5,8,2.0
2020-08-01 20:00:00,0,1,0,0.0,3.5,3.4,19,4,4.0,False,5,8,2.0
2020-08-01 21:00:00,0,0,0,0.0,2.6,2.8,20,0,4.0,False,5,8,1.6666666666666667
2020-08-01 22:00:00,0,1,0,0.0,3.6,7.1,21,1,0.0,False,5,8,0.0
2020-08-01 23:00:00,0,1,0,0.0,3.1,6.4,22,0,1.0,False,5,8,0.6666666666666666
2020-08-01 00:00:00,0,0,0,0.0,2.6,2.8,23,0,0.0,False,5,8,0.0
2020-08-02 01:00:00,0,0,1,0.0,2.5,3.2,0,0,,False,6,8,0.0
2020-08-02 02:00:00,1,0,1,0.0,2.2,2.9,1,0,0.0,False,6,8,0.0
2020-08-02 03:00:00,1,0,1,0.0,2.4,3.1,2,0,0.0,False,6,8,0.0
2020-08-02 04:00:00,1,0,1,0.1,3.0,3.3,3,0,0.0,False,6,8,0.0
2020-08-02 05:00:00,1,0,1,0.0,3.1,4.3,4,0,0.0,False,6,8,0.0
2020-08-02 06:00:00,1,0,1,0.0,3.0,2.8,5,0,0.0,False,6,8,0.3333333333333333
2020-08-02 07:00:00,1,0,1,0.0,2.7,2.2,6,0,0.0,False,6,8,0.6666666666666666
2020-08-02 08:00:00,1,0,1,0.0,2.7,2.8,7,0,0.0,False,6,8,0.6666666666666666
2020-08-02 09:00:00,0,0,1,0.0,2.9,2.7,8,0,0.0,False,6,8,0.3333333333333333
2020-08-02 10:00:00,0,0,1,0.0,3.0,2.4,9,1,0.0,False,6,8,0.6666666666666666
2020-08-02 11:00:00,0,0,1,0.0,3.4,3.5,10,0,1.0,False,6,8,0.3333333333333333
2020-08-02 12:00:00,0,0,0,0.0,3.5,4.7,11,1,0.0,False,6,8,0.0
2020-08-02 13:00:00,1,1,0,0.0,3.4,4.0,12,1,1.0,False,6,8,0.6666666666666666
2020-08-02 14:00:00,1,1,0,0.0,3.6,3.8,13,2,1.0,False,6,8,0.3333333333333333
2020-08-02 15:00:00,0,0,0,0.0,3.7,4.7,14,0,2.0,False,6,8,0.0
2020-08-02 16:00:00,0,0,0,0.0,3.3,3.5,15,0,0.0,False,6,8,0.0
2020-08-02 17:00:00,0,0,0,0.0,3.5,4.7,16,1,0.0,False,6,8,1.3333333333333333
2020-08-02 18:00:00,1,0,1,0.2,3.0,3.2,17,1,1.0,False,6,8,1.6666666666666667
2020-08-02 19:00:00,0,1,1,0.2,3.0,3.1,18,2,1.0,False,6,8,0.3333333333333333
2020-08-02 20:00:00,0,0,1,0.2,3.0,3.3,19,0,2.0,False,6,8,0.3333333333333333
2020-08-02 21:00:00,0,0,1,0.0,2.9,1.5,20,0,0.0,False,6,8,1.3333333333333333
2020-08-02 22:00:00,0,1,1,0.2,3.3,2.2,21,1,0.0,False,6,8,0.6666666666666666
2020-08-02 23:00:00,0,0,1,0.4,3.6,2.4,22,0,1.0,False,6,8,0.0
2020-08-02 00:00:00,0,0,0,0.5,3.7,2.7,23,0,0.0,False,6,8,0.0
2020-08-03 01:00:00,0,0,0,0.4,0.2,3.6,0,0,,False,0,8,0.0
2020-08-03 02:00:00,0,0,0,0.1,0.9,4.9,1,0,0.0,False,0,8,0.0
2020-08-03 03:00:00,0,0,0,0.0,1.4,4.1,2,0,0.0,False,0,8,0.0
2020-08-03 04:00:00,0,0,0,0.2,2.1,4.8,3,1,0.0,False,0,8,0.0
2020-08-03 05:00:00,0,0,0,0.2,2.7,4.4,4,0,1.0,False,0,8,0.0
2020-08-03 06:00:00,0,0,0,0.4,3.2,5.9,5,0,0.0,False,0,8,0.0
2020-08-03 07:00:00,0,0,0,0.0,3.4,3.9,6,0,0.0,False,0,8,0.0
2020-08-03 08:00:00,0,0,0,0.0,4.2,5.0,7,1,0.0,False,0,8,0.6666666666666666
2020-08-03 09:00:00,0,0,0,0.1,4.7,5.9,8,4,1.0,False,0,8,6.333333333333333
2020-08-03 10:00:00,0,0,0,0.1,5.0,7.2,9,4,4.0,False,0,8,0.3333333333333333
2020-08-03 11:00:00,0,1,0,0.3,5.3,6.1,10,9,4.0,False,0,8,1.3333333333333333
2020-08-03 12:00:00,1,0,1,0.1,5.4,6.0,11,1,9.0,False,0,8,3.6666666666666665
2020-08-03 13:00:00,1,0,1,0.2,5.4,6.5,12,4,1.0,False,0,8,1.0
2020-08-03 14:00:00,1,1,1,0.3,5.6,5.6,13,3,4.0,False,0,8,4.0
2020-08-03 15:00:00,1,0,1,0.3,5.9,6.1,14,2,3.0,False,0,8,1.0
2020-08-03 16:00:00,1,0,0,0.0,6.0,6.6,15,4,2.0,False,0,8,1.3333333333333333
2020-08-03 17:00:00,0,0,1,0.0,5.8,6.4,16,7,4.0,False,0,8,3.0
2020-08-03 18:00:00,1,1,1,0.0,5.8,5.7,17,0,7.0,False,0,8,3.6666666666666665
2020-08-03 19:00:00,0,0,1,0.0,5.8,5.3,18,1,0.0,False,0,8,2.0
2020-08-03 20:00:00,0,1,1,0.0,5.9,5.2,19,0,1.0,False,0,8,1.0
2020-08-03 21:00:00,0,1,1,0.3,5.8,4.3,20,2,0.0,False,0,8,2.3333333333333335
2020-08-03 22:00:00,0,0,1,0.1,5.7,3.5,21,0,2.0,False,0,8,0.6666666666666666
2020-08-03 23:00:00,0,1,0,0.0,5.8,3.6,22,0,0.0,False,0,8,0.3333333333333333
2020-08-03 00:00:00,0,1,0,0.0,5.1,3.6,23,0,0.0,False,0,8,0.0
2020-08-04 01:00:00,1,1,0,0.0,2.5,0.8,0,0,,False,1,8,0.0
2020-08-04 02:00:00,1,1,0,0.0,2.2,0.4,1,0,0.0,False,1,8,0.0
2020-08-04 03:00:00,1,1,0,0.0,1.4,0.7,2,0,0.0,False,1,8,0.0
2020-08-04 04:00:00,1,1,0,0.0,1.2,0.6,3,0,0.0,False,1,8,0.0
