Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,availability,dock_availability
2022-07-01 00:00:00+00:00,0.0,-7.1,2.2,5,0,4,0,False,,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.0,0.0,0.999722222222222,0.999722222222222
2022-07-01 01:00:00+00:00,0.0,-8.1,0.4,5,0,4,1,False,0.0,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.0,0.0,0.9627777777777776,0.9627777777777776
2022-07-01 02:00:00+00:00,0.0,-7.9,2.4,5,0,4,2,False,0.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.0,0.0,0.9991666666666668,0.9991666666666668
2022-07-01 03:00:00+00:00,0.0,-7.3,0.2,5,0,4,3,False,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.0,0.0,0.9830555555555556,0.9830555555555556
2022-07-01 04:00:00+00:00,0.0,-6.0,3.4,5,0,4,4,False,0.0,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.0,0.0,0.9838888888888888,0.9838888888888888
2022-07-01 05:00:00+00:00,0.0,-5.7,3.4,5,0,4,5,False,0.0,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.0,0.0,0.9658333333333337,0.9658333333333337
2022-07-01 06:00:00+00:00,0.1,-5.7,4.9,5,0,4,6,False,0.0,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.0,0.0,0.4494444444444445,0.4341666666666667
2022-07-01 07:00:00+00:00,0.4,-5.5,4.2,0,0,4,7,False,0.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.0,0.0,0.0,0.0
2022-07-01 08:00:00+00:00,0.6,-5.7,5.1,0,2,4,8,False,0.0,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.0,0.0,0.0,0.0
2022-07-01 09:00:00+00:00,1.2,-5.5,4.8,0,0,4,9,False,2.0,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.6616666666666667,0.6830555555555556,0.9511111111111112,0.9294444444444446,0.981388888888889,0.981388888888889,0.0,0.0,0.0,0.0
2022-07-01 10:00:00+00:00,0.6,-5.0,3.8,0,0,4,10,False,0.0,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.3316666666666666,0.3136111111111111,0.965277777777778,0.965277777777778,0.0,0.0,0.4380555555555555,0.4533333333333332
2022-07-01 11:00:00+00:00,0.6,-4.2,4.1,0,0,4,11,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.6969444444444446,0.6894444444444446,0.4963888888888889,0.5188888888888888,0.9797222222222224,0.9797222222222224,0.0,0.0,0.9797222222222224,0.9797222222222224
2022-07-01 12:00:00+00:00,0.5,-4.0,4.5,0,1,4,12,False,0.0,0.2677777777777777,0.2602777777777778,0.9819444444444444,0.9819444444444444,0.0822222222222222,0.1052777777777777,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.0,0.0,0.3122222222222221,0.2963888888888888
2022-07-01 13:00:00+00:00,0.2,-3.1,4.8,0,5,4,13,False,1.0,0.9786111111111108,0.9786111111111108,0.9786111111111108,0.9786111111111108,0.8349999999999996,0.8124999999999997,0.9786111111111108,0.9786111111111108,0.9786111111111108,0.9786111111111108,0.0,0.0,0.0,0.0
2022-07-01 14:00:00+00:00,0.4,-2.8,4.5,0,3,4,14,False,5.0,0.9994444444444442,0.9994444444444442,0.9994444444444442,0.9994444444444442,0.0,0.0,0.9994444444444442,0.9994444444444442,0.9994444444444442,0.9994444444444442,0.0,0.0,0.733611111111111,0.7480555555555554
2022-07-01 15:00:00+00:00,0.5,-3.1,3.9,0,0,4,15,False,3.0,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.7191666666666667,0.735,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.0,0.0,0.9658333333333332,0.9658333333333332
