dateTime,availability 0,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2020-11-25 01:00:00,0,0.0,6.3,0.7,0,0,,False,2,11,0
2020-11-25 02:00:00,0,0.0,7.6,0.6,1,0,0.0,False,2,11,0
2020-11-25 03:00:00,0,0.0,7.7,2.7,2,0,0.0,False,2,11,0
2020-11-25 04:00:00,0,0.0,8.0,2.2,3,0,0.0,False,2,11,0
2020-11-25 05:00:00,0,0.0,9.3,4.9,4,0,0.0,False,2,11,0
2020-11-25 06:00:00,0,0.0,9.2,4.6,5,0,0.0,False,2,11,0
2020-11-25 07:00:00,0,0.0,9.0,5.1,6,0,0.0,False,2,11,0
2020-11-25 08:00:00,0,0.0,8.9,5.6,7,1,0.0,False,2,11,0
2020-11-25 09:00:00,0,0.0,9.0,5.0,8,1,1.0,False,2,11,0
2020-11-25 10:00:00,0,0.0,9.4,4.8,9,0,1.0,False,2,11,0
2020-11-25 11:00:00,0,0.0,10.0,4.6,10,0,0.0,False,2,11,0
2020-11-25 12:00:00,0,0.0,10.0,4.5,11,0,0.0,False,2,11,0
2020-11-25 13:00:00,0,0.0,10.0,6.2,12,0,0.0,False,2,11,0
2020-11-25 14:00:00,0,0.0,9.9,5.5,13,1,0.0,False,2,11,0
2020-11-25 15:00:00,0,0.0,9.9,4.1,14,1,1.0,False,2,11,0
2020-11-25 16:00:00,0,0.0,9.8,4.7,15,0,1.0,False,2,11,0
2020-11-25 17:00:00,0,0.0,9.7,3.4,16,0,0.0,False,2,11,0
2020-11-25 18:00:00,0,0.3,9.3,3.2,17,0,0.0,False,2,11,0
2020-11-25 19:00:00,0,0.0,9.0,2.4,18,1,0.0,False,2,11,0
2020-11-25 20:00:00,0,0.0,8.8,1.3,19,0,1.0,False,2,11,0
2020-11-25 21:00:00,0,0.0,7.8,2.4,20,0,0.0,False,2,11,0
2020-11-25 22:00:00,0,0.0,8.2,2.2,21,3,0.0,False,2,11,0
2020-11-25 23:00:00,0,0.0,7.4,1.1,22,0,3.0,False,2,11,0
2020-11-25 00:00:00,0,0.0,7.4,1.7,23,0,0.0,False,2,11,0
2020-11-26 01:00:00,0,0.0,6.0,1.4,0,0,,False,3,11,0
2020-11-26 02:00:00,0,0.0,5.1,1.5,1,0,0.0,False,3,11,0
2020-11-26 03:00:00,0,0.0,3.5,1.0,2,0,0.0,False,3,11,0
2020-11-26 04:00:00,0,0.0,2.5,0.7,3,0,0.0,False,3,11,0
2020-11-26 05:00:00,0,0.0,2.1,1.2,4,0,0.0,False,3,11,0
2020-11-26 06:00:00,0,0.0,1.2,1.9,5,0,0.0,False,3,11,0
2020-11-26 07:00:00,0,0.0,0.5,1.1,6,0,0.0,False,3,11,0
2020-11-26 08:00:00,0,0.0,0.8,1.3,7,1,0.0,False,3,11,0
2020-11-26 09:00:00,1,0.0,1.3,1.1,8,0,1.0,False,3,11,0
2020-11-26 10:00:00,1,0.0,0.3,1.2,9,0,0.0,False,3,11,0
2020-11-26 11:00:00,1,0.0,1.0,0.3,10,0,0.0,False,3,11,0
2020-11-26 12:00:00,1,0.0,3.2,0.8,11,0,0.0,False,3,11,0
2020-11-26 13:00:00,1,0.0,4.3,1.0,12,0,0.0,False,3,11,0
2020-11-26 14:00:00,1,0.0,5.9,0.8,13,0,0.0,False,3,11,0
2020-11-26 15:00:00,1,0.0,5.9,1.3,14,0,0.0,False,3,11,1
2020-11-26 16:00:00,1,0.0,5.6,1.9,15,0,0.0,False,3,11,1
2020-11-26 17:00:00,0,0.0,4.0,0.9,16,0,0.0,False,3,11,0
2020-11-26 18:00:00,0,0.0,3.2,1.6,17,0,0.0,False,3,11,0
2020-11-26 19:00:00,0,0.0,2.4,1.7,18,0,0.0,False,3,11,0
2020-11-26 20:00:00,0,0.0,1.9,0.6,19,0,0.0,False,3,11,0
2020-11-26 21:00:00,0,0.0,1.2,0.9,20,0,0.0,False,3,11,0
2020-11-26 22:00:00,1,0.0,-0.1,0.6,21,4,0.0,False,3,11,0
2020-11-26 23:00:00,1,0.0,-0.4,1.3,22,0,4.0,False,3,11,0
2020-11-26 00:00:00,1,0.0,-0.7,0.9,23,0,0.0,False,3,11,0
2020-11-27 01:00:00,1,0.0,-1.1,0.3,0,0,,False,4,11,0
2020-11-27 02:00:00,1,0.0,-1.3,1.0,1,0,0.0,False,4,11,0
2020-11-27 03:00:00,1,0.0,-1.8,0.3,2,0,0.0,False,4,11,0
2020-11-27 04:00:00,1,0.0,-2.1,0.3,3,0,0.0,False,4,11,0
2020-11-27 05:00:00,1,0.0,-2.0,1.2,4,0,0.0,False,4,11,0
2020-11-27 06:00:00,1,0.0,-2.5,0.0,5,0,0.0,False,4,11,0
2020-11-27 07:00:00,1,0.0,-2.7,1.2,6,0,0.0,False,4,11,0
2020-11-27 08:00:00,1,0.0,-2.5,0.5,7,0,0.0,False,4,11,0
2020-11-27 09:00:00,1,0.0,-2.9,0.3,8,1,0.0,False,4,11,0
2020-11-27 10:00:00,1,0.0,-2.9,0.8,9,0,1.0,False,4,11,0
