Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_500.0,dock_availability_500.0,bike_availability_412.0,dock_availability_412.0,num_bikes_available
2021-08-02 10:00:00+00:00,0.0,-4.8,5.4,5,4,0,10,False,3.0,8,0.0,0.0,0.4591666666666666,0.3533333333333333,18
2021-08-02 11:00:00+00:00,0.0,-4.6,4.9,5,5,0,11,False,4.0,8,0.0,0.0,0.0,0.0,18
2021-08-02 12:00:00+00:00,0.0,-3.4,5.3,5,5,0,12,False,5.0,8,0.0,0.0,0.0,0.0,18
2021-08-02 13:00:00+00:00,0.0,-3.1,5.1,3,3,0,13,False,5.0,8,0.0,0.0,0.0577777777777777,0.2305555555555555,15
2021-08-02 14:00:00+00:00,0.0,-3.4,5.6,3,2,0,14,False,3.0,8,0.0,0.0,0.2325,0.115,16
2021-08-02 15:00:00+00:00,0.0,-3.6,4.2,3,7,0,15,False,2.0,8,0.2152777777777777,0.6302777777777777,0.0188888888888888,0.2269444444444444,17
2021-08-02 16:00:00+00:00,0.0,-4.0,5.2,2,5,0,16,False,7.0,8,0.7527777777777777,0.7527777777777777,0.3463888888888889,0.7527777777777777,20
2021-08-02 17:00:00+00:00,0.0,-4.4,4.7,2,3,0,17,False,5.0,8,0.7502777777777777,0.7502777777777777,0.7502777777777777,0.7502777777777777,20
2021-08-02 18:00:00+00:00,0.0,-4.9,5.5,2,0,0,18,False,3.0,8,0.9277777777777776,0.9277777777777776,0.686111111111111,0.1180555555555555,18
2021-08-02 19:00:00+00:00,0.0,-4.8,5.9,7,1,0,19,False,0.0,8,0.83,0.83,0.2152777777777778,0.83,21
2021-08-02 20:00:00+00:00,0.0,-4.7,5.5,7,0,0,20,False,1.0,8,0.45,0.27,0.861388888888889,0.861388888888889,21
2021-08-02 21:00:00+00:00,0.0,-4.8,4.8,7,0,0,21,False,0.0,8,0.0619444444444444,0.2530555555555556,0.9644444444444444,0.9644444444444444,13
2021-08-02 22:00:00+00:00,0.0,-4.9,6.9,7,0,0,22,False,0.0,8,0.9680555555555556,0.9680555555555556,0.9680555555555556,0.9680555555555556,11
2021-08-02 23:00:00+00:00,0.0,-5.1,6.5,7,0,0,23,False,0.0,8,0.6991666666666667,0.6991666666666667,0.6991666666666667,0.6991666666666667,12
2021-08-03 00:00:00+00:00,0.0,-3.7,0.8,2,0,1,0,False,0.0,8,0.5191666666666667,0.0,0.9872222222222222,0.9872222222222222,13
2021-08-03 01:00:00+00:00,0.0,-3.7,1.2,2,0,1,1,False,0.0,8,0.0,0.0,0.9947222222222224,0.9947222222222224,14
2021-08-03 02:00:00+00:00,0.0,-3.7,1.9,2,0,1,2,False,0.0,8,0.0,0.0,0.8091666666666666,0.8091666666666666,14
2021-08-03 03:00:00+00:00,0.0,-4.5,2.4,2,0,1,3,False,0.0,8,0.0,0.0,0.8077777777777777,0.8077777777777777,14
2021-08-03 04:00:00+00:00,0.0,-3.7,0.7,2,0,1,4,False,0.0,8,0.0,0.0,0.8230555555555555,0.8230555555555555,14
2021-08-03 05:00:00+00:00,0.0,-4.4,0.9,2,4,1,5,False,0.0,8,0.0,0.0,0.8308333333333333,0.8308333333333333,14
2021-08-03 06:00:00+00:00,0.0,-5.5,0.5,2,5,1,6,False,4.0,8,0.3291666666666666,0.5238888888888888,0.8888888888888888,0.8888888888888888,14
2021-08-03 07:00:00+00:00,0.0,-4.6,2.0,3,2,1,7,False,5.0,8,0.3688888888888889,0.0636111111111111,0.8941666666666666,0.8941666666666666,14
2021-08-03 08:00:00+00:00,0.0,-4.1,0.6,3,2,1,8,False,2.0,8,0.3688888888888889,0.0,0.8736111111111111,0.7536111111111111,11
2021-08-03 09:00:00+00:00,0.0,-1.6,1.0,3,2,1,9,False,2.0,8,0.2591666666666666,0.3675,0.0,0.0636111111111111,12
2021-08-03 10:00:00+00:00,0.0,-0.6,1.1,3,4,1,10,False,2.0,8,0.663888888888889,0.5297222222222222,0.42,0.0694444444444444,12
2021-08-03 11:00:00+00:00,0.0,1.4,1.2,3,4,1,11,False,4.0,8,0.8802777777777778,0.8802777777777778,0.0713888888888888,0.3625,11
2021-08-03 12:00:00+00:00,0.0,2.5,2.2,3,4,1,12,False,4.0,8,0.8841666666666665,0.8841666666666665,0.6761111111111111,0.6833333333333333,11
2021-08-03 13:00:00+00:00,0.0,3.4,2.6,2,3,1,13,False,4.0,8,0.4180555555555555,0.0,0.8927777777777778,0.8927777777777778,11
2021-08-03 14:00:00+00:00,0.0,3.4,3.5,2,8,1,14,False,3.0,8,0.5438888888888889,0.6725000000000001,0.8891666666666668,0.8891666666666668,16
2021-08-03 15:00:00+00:00,0.0,3.4,3.8,2,1,1,15,False,8.0,8,0.2847222222222222,0.1963888888888889,0.8911111111111112,0.8911111111111112,20
2021-08-03 16:00:00+00:00,0.0,3.4,4.3,7,4,1,16,False,1.0,8,0.1658333333333333,0.2375,0.7933333333333333,0.7933333333333333,19
