,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-04-04 00:00:00+00:00,0.0,5.0,2.6,8,0,0,0,False,0.0
2022-04-04 01:00:00+00:00,0.0,4.5,2.2,8,0,0,1,False,0.0
2022-04-04 02:00:00+00:00,0.0,3.7,3.3,8,0,0,2,False,0.0
2022-04-04 03:00:00+00:00,0.1,2.4,1,8,0,0,3,False,0.0
2022-04-04 04:00:00+00:00,0.0,2.0,1.1,8,1,0,4,False,0.0
2022-04-04 05:00:00+00:00,0.1,1.7,2,8,1,0,5,False,1.0
2022-04-04 06:00:00+00:00,0.3,2.0,0.7,8,5,0,6,False,1.0
2022-04-04 07:00:00+00:00,0.4,2.4,1.9,8,0,0,7,False,5.0
2022-04-04 08:00:00+00:00,1.0,1.8,2.9,8,0,0,8,False,0.0
2022-04-04 09:00:00+00:00,1.0,1.6,0.7,8,0,0,9,False,0.0
2022-04-04 10:00:00+00:00,0.8,1.6,1.4,8,1,0,10,False,0.0
2022-04-04 11:00:00+00:00,0.6,2.8,2.6,8,1,0,11,False,1.0
2022-04-04 12:00:00+00:00,0.1,2.9,4.7,8,0,0,12,False,1.0
2022-04-04 13:00:00+00:00,0.0,3.4,6.8,8,0,0,13,False,0.0
2022-04-04 14:00:00+00:00,0.0,3.7,6.5,8,2,0,14,False,0.0
2022-04-04 15:00:00+00:00,0.0,3.2,7.3,8,3,0,15,False,2.0
2022-04-04 16:00:00+00:00,0.0,2.8,7.2,7,0,0,16,False,3.0
2022-04-04 17:00:00+00:00,0.0,2.8,7.7,7,3,0,17,False,0.0
2022-04-04 18:00:00+00:00,0.0,2.4,5.7,7,1,0,18,False,3.0
2022-04-04 19:00:00+00:00,0.0,1.8,2.8,5,3,0,19,False,1.0
2022-04-04 20:00:00+00:00,0.0,1.0,4.1,5,1,0,20,False,3.0
2022-04-04 21:00:00+00:00,0.0,0.8,6,5,0,0,21,False,1.0
2022-04-04 22:00:00+00:00,0.0,0.4,7,2,1,0,22,False,0.0
2022-04-04 23:00:00+00:00,0.0,0.0,5.5,2,0,0,23,False,1.0
2022-04-13 00:00:00+00:00,0.0,4.3,1.8,7,0,2,0,False,0.0
2022-04-13 01:00:00+00:00,0.0,4.3,2,7,0,2,1,False,0.0
2022-04-13 02:00:00+00:00,0.0,4.2,1.3,7,0,2,2,False,0.0
2022-04-13 03:00:00+00:00,0.0,4.1,2.8,7,0,2,3,False,0.0
2022-04-13 04:00:00+00:00,0.0,4.2,2,7,0,2,4,False,0.0
2022-04-13 05:00:00+00:00,0.0,4.3,2.3,7,0,2,5,False,0.0
2022-04-13 06:00:00+00:00,0.0,5.0,1.9,7,1,2,6,False,0.0
2022-04-13 07:00:00+00:00,0.0,5.2,0.8,8,0,2,7,False,1.0
2022-04-13 08:00:00+00:00,0.0,6.0,2,8,0,2,8,False,0.0
2022-04-13 09:00:00+00:00,0.0,5.2,1.9,8,0,2,9,False,0.0
2022-04-13 10:00:00+00:00,0.6,4.1,2.4,8,0,2,10,False,0.0
2022-04-13 11:00:00+00:00,0.8,3.9,1.7,8,0,2,11,False,0.0
2022-04-13 12:00:00+00:00,0.4,4.0,3.1,8,0,2,12,False,0.0
2022-04-13 13:00:00+00:00,0.4,3.9,2,8,0,2,13,False,0.0
2022-04-13 14:00:00+00:00,1.3,3.5,3.6,8,0,2,14,False,0.0
2022-04-13 15:00:00+00:00,1.1,3.1,5,8,1,2,15,False,0.0
2022-04-13 16:00:00+00:00,0.2,3.4,4.7,8,2,2,16,False,1.0
2022-04-13 17:00:00+00:00,0.0,3.9,4.6,8,0,2,17,False,2.0
2022-04-13 18:00:00+00:00,0.0,3.8,4,8,0,2,18,False,0.0
2022-04-13 19:00:00+00:00,0.0,3.7,4,8,1,2,19,False,0.0
2022-04-13 20:00:00+00:00,0.0,3.8,3.5,8,0,2,20,False,1.0
2022-04-13 21:00:00+00:00,0.0,3.7,1.8,8,0,2,21,False,0.0
2022-04-13 22:00:00+00:00,0.0,3.5,2.9,8,0,2,22,False,0.0
2022-04-13 23:00:00+00:00,0.0,3.6,3,8,0,2,23,False,0.0
2022-04-14 00:00:00+00:00,0.0,3.6,3,8,0,3,0,False,0.0
2022-04-14 01:00:00+00:00,0.0,3.4,4.8,8,0,3,1,False,0.0
2022-04-14 02:00:00+00:00,0.0,3.4,4.2,8,0,3,2,False,0.0
2022-04-14 03:00:00+00:00,0.0,3.5,4,8,0,3,3,False,0.0
2022-04-14 04:00:00+00:00,0.0,3.5,3.5,8,0,3,4,False,0.0
2022-04-14 05:00:00+00:00,0.0,3.6,3.2,8,0,3,5,False,0.0
2022-04-14 06:00:00+00:00,0.0,3.7,2.5,8,1,3,6,False,0.0
2022-04-14 07:00:00+00:00,0.0,4.0,2.4,8,0,3,7,False,1.0
2022-04-14 08:00:00+00:00,0.0,4.0,3.9,8,0,3,8,False,0.0
2022-04-14 09:00:00+00:00,0.0,4.3,3.3,8,2,3,9,False,0.0
2022-04-14 10:00:00+00:00,0.0,4.7,4.8,8,0,3,10,False,2.0
2022-04-14 11:00:00+00:00,0.0,5.3,5,8,2,3,11,False,0.0
2022-04-14 12:00:00+00:00,0.0,5.6,5.3,8,0,3,12,False,2.0
2022-04-14 13:00:00+00:00,0.0,6.7,4.4,7,1,3,13,False,0.0
2022-04-14 14:00:00+00:00,0.0,7.8,5.7,7,0,3,14,False,1.0
2022-04-14 15:00:00+00:00,0.0,7.5,5,7,2,3,15,False,0.0
2022-04-14 16:00:00+00:00,0.0,6.9,5.2,7,5,3,16,False,2.0
2022-04-14 17:00:00+00:00,0.0,7.3,3.9,7,0,3,17,False,5.0
2022-04-14 18:00:00+00:00,0.0,7.4,3.3,7,2,3,18,False,0.0
2022-04-14 19:00:00+00:00,0.0,7.2,1.5,7,0,3,19,False,2.0
2022-04-14 20:00:00+00:00,0.0,6.0,1.6,7,0,3,20,False,0.0
2022-04-14 21:00:00+00:00,0.0,5.1,2.6,7,0,3,21,False,0.0
2022-04-14 22:00:00+00:00,0.0,4.3,2.4,2,0,3,22,False,0.0
2022-04-14 23:00:00+00:00,0.0,3.7,1.8,2,0,3,23,False,0.0
2022-04-15 00:00:00+00:00,0.0,2.9,0.7,2,0,4,0,False,0.0
