dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2021-03-01 01:00:00,1,1,1,1,1,0.0,1.0,3.3,0,0,,False,0,3,0.0
2021-03-01 02:00:00,1,1,1,1,1,0.0,1.0,2.6,1,0,0.0,False,0,3,0.0
2021-03-01 03:00:00,1,1,1,1,1,0.0,1.1,2.3,2,0,0.0,False,0,3,0.0
2021-03-01 04:00:00,1,1,1,1,1,0.0,0.9,2.9,3,0,0.0,False,0,3,0.0
2021-03-01 05:00:00,1,1,1,1,1,0.0,0.5,3.1,4,0,0.0,False,0,3,0.0
2021-03-01 06:00:00,1,1,1,1,1,0.0,0.0,3.6,5,0,0.0,False,0,3,0.0
2021-03-01 07:00:00,1,1,1,1,1,0.0,-0.2,3.8,6,0,0.0,False,0,3,0.2
2021-03-01 08:00:00,1,1,1,1,1,0.0,-1.5,1.2,7,0,0.0,False,0,3,0.6
2021-03-01 09:00:00,1,1,0,1,1,0.0,-1.1,3.1,8,0,0.0,False,0,3,0.2
2021-03-01 10:00:00,1,1,1,1,1,0.0,-1.8,2.8,9,0,0.0,False,0,3,0.2
2021-03-01 11:00:00,1,1,1,1,1,0.0,-2.2,0.9,10,1,0.0,False,0,3,0.2
2021-03-01 12:00:00,1,1,1,1,1,0.0,-1.5,0.5,11,1,1.0,False,0,3,0.4
2021-03-01 13:00:00,1,1,1,1,1,0.0,-0.6,0.5,12,0,1.0,False,0,3,0.2
2021-03-01 14:00:00,1,1,1,1,1,0.0,0.1,1.8,13,0,0.0,False,0,3,0.2
2021-03-01 15:00:00,1,1,1,1,1,0.0,-0.3,3.7,14,0,0.0,False,0,3,0.0
2021-03-01 16:00:00,1,1,1,1,1,0.0,-0.8,3.3,15,2,0.0,False,0,3,1.6
2021-03-01 17:00:00,1,1,1,1,1,0.0,-2.1,2.1,16,1,2.0,False,0,3,1.0
2021-03-01 18:00:00,1,1,1,1,1,0.0,-2.6,2.1,17,0,1.0,False,0,3,0.4
2021-03-01 19:00:00,1,1,1,1,1,0.0,-2.2,3.3,18,0,0.0,False,0,3,0.2
2021-03-01 20:00:00,1,1,1,1,1,0.0,-2.7,3.2,19,0,0.0,False,0,3,0.0
2021-03-01 21:00:00,1,1,1,1,1,0.0,-2.7,3.9,20,1,0.0,False,0,3,0.6
2021-03-01 22:00:00,1,1,1,0,1,0.0,-3.7,1.2,21,0,1.0,False,0,3,0.0
2021-03-01 23:00:00,1,1,1,1,1,0.0,-4.0,1.9,22,0,0.0,False,0,3,0.2
