dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,availability 8,availability 9,availability 10,availability 11,availability 12,availability 13,availability 14,availability 15,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2021-08-01 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.1,-4.9,3.2,0,0,,False,6,8,0.0
2021-08-01 02:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.7,1.6,1,0,0.0,False,6,8,0.0
2021-08-01 03:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.0,1.6,2,0,0.0,False,6,8,0.0
2021-08-01 04:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.9,1.3,3,0,0.0,False,6,8,0.0
2021-08-01 05:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.2,3.3,4,0,0.0,False,6,8,0.0
2021-08-01 06:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.4,2.7,5,0,0.0,False,6,8,0.0
2021-08-01 07:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.9,2.8,6,0,0.0,False,6,8,0.07142857142857142
2021-08-01 08:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.5,1.9,7,1,0.0,False,6,8,0.14285714285714285
2021-08-01 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.4,2.0,8,0,1.0,False,6,8,0.35714285714285715
2021-08-01 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.1,2.4,9,0,0.0,False,6,8,0.2857142857142857
2021-08-01 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.9,2.2,10,0,0.0,False,6,8,0.35714285714285715
2021-08-01 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.7,3.4,11,0,0.0,False,6,8,0.6428571428571429
2021-08-01 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.2,2.3,12,0,0.0,False,6,8,0.8571428571428571
2021-08-01 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.1,2.0,13,0,0.0,False,6,8,0.9285714285714286
2021-08-01 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.0,1.6,14,2,0.0,False,6,8,0.9285714285714286
2021-08-01 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.0,3.4,15,0,2.0,False,6,8,1.3571428571428572
2021-08-01 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.0,3.5,16,0,0.0,False,6,8,1.2142857142857142
2021-08-01 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.0,4.0,17,0,0.0,False,6,8,1.2857142857142858
2021-08-01 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-3.9,2.3,18,0,0.0,False,6,8,0.9285714285714286
2021-08-01 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.0,1.5,19,0,0.0,False,6,8,1.2857142857142858
2021-08-01 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.2,0.8,20,0,0.0,False,6,8,0.9285714285714286
2021-08-01 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.2,1.0,21,0,0.0,False,6,8,0.7142857142857143
2021-08-01 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.2,0.6,22,0,0.0,False,6,8,0.5
2021-08-01 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4.3,0.3,23,0,0.0,False,6,8,0.0
2021-08-02 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-7.9,3.4,0,0,,False,0,8,0.0
2021-08-02 02:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-9.0,1.3,1,0,0.0,False,0,8,0.0
2021-08-02 03:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-8.9,1.1,2,0,0.0,False,0,8,0.0
2021-08-02 04:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-7.7,2.3,3,0,0.0,False,0,8,0.0
2021-08-02 05:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-6.0,5.1,4,0,0.0,False,0,8,0.07142857142857142
2021-08-02 06:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-6.0,6.0,5,0,0.0,False,0,8,0.0
2021-08-02 07:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.9,6.3,6,0,0.0,False,0,8,0.6428571428571429
2021-08-02 08:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.7,5.4,7,0,0.0,False,0,8,0.7142857142857143
2021-08-02 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-5.6,5.2,8,0,0.0,False,0,8,0.8571428571428571
