Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_576.0,dock_availability_576.0,bike_availability_396.0,dock_availability_396.0,bike_availability_547.0,dock_availability_547.0,bike_availability_478.0,dock_availability_478.0,bike_availability_609.0,dock_availability_609.0,bike_availability_577.0,dock_availability_577.0,num_bikes_available
2021-06-01 00:00:00+00:00,0.0,-10.6,0.4,1,0,1,0,False,,6,0.0,0.0,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.8300000000000001,0.2316666666666667,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,38
2021-06-01 01:00:00+00:00,0.0,-10.3,0.7,1,0,1,1,False,0.0,6,0.0,0.0,0.9383333333333332,0.9383333333333332,0.9383333333333332,0.9383333333333332,0.0,0.0,0.9383333333333332,0.9383333333333332,0.9383333333333332,0.9383333333333332,38
2021-06-01 02:00:00+00:00,0.0,-11.2,1.8,1,0,1,2,False,0.0,6,0.0,0.0,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.0,0.0,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,38
2021-06-01 03:00:00+00:00,0.0,-11.0,2.0,1,0,1,3,False,0.0,6,0.0,0.0,0.9738888888888888,0.9738888888888888,0.9738888888888888,0.9738888888888888,0.0,0.0,0.9738888888888888,0.9738888888888888,0.9738888888888888,0.9738888888888888,38
2021-06-01 04:00:00+00:00,0.0,-10.8,1.6,1,0,1,4,False,0.0,6,0.0,0.0,0.9202777777777778,0.9202777777777778,0.9202777777777778,0.9202777777777778,0.0,0.0,0.9202777777777778,0.9202777777777778,0.9202777777777778,0.9202777777777778,38
2021-06-01 05:00:00+00:00,0.0,-11.3,0.8,1,0,1,5,False,0.0,6,0.0,0.0,0.4080555555555555,0.4080555555555555,0.4080555555555555,0.4080555555555555,0.0,0.0,0.4080555555555555,0.4080555555555555,0.4080555555555555,0.4080555555555555,38
2021-06-01 06:00:00+00:00,0.0,-11.0,0.7,1,0,1,6,False,0.0,6,0.0,0.0,0.5308333333333333,0.5308333333333333,0.5308333333333333,0.5308333333333333,0.0,0.0,0.5308333333333333,0.5308333333333333,0.5308333333333333,0.5308333333333333,38
2021-06-01 07:00:00+00:00,0.0,-11.1,0.8,1,0,1,7,False,0.0,6,0.3052777777777777,0.416111111111111,0.7338888888888888,0.7338888888888888,0.7338888888888888,0.7338888888888888,0.0,0.0,0.7338888888888888,0.7338888888888888,0.7338888888888888,0.7338888888888888,38
2021-06-01 08:00:00+00:00,0.0,-10.8,2.5,1,0,1,8,False,0.0,6,0.0,0.0,0.9775,0.8005555555555556,0.9775,0.9775,0.2397222222222222,0.4002777777777777,0.9775,0.8005555555555556,0.9775,0.8005555555555556,38
2021-06-01 09:00:00+00:00,0.0,-10.8,1.8,1,1,1,9,False,0.0,6,0.1788888888888888,0.2316666666666666,0.2316666666666666,0.4927777777777777,0.977777777777778,0.8047222222222223,0.3266666666666666,0.0,0.0,0.0,0.0,0.0,39
2021-06-01 10:00:00+00:00,0.0,-10.7,2.0,3,1,1,10,False,1.0,6,0.49,0.4094444444444444,0.9163888888888888,0.9163888888888888,0.0,0.0,0.0,0.0,0.0586111111111111,0.3669444444444444,0.2827777777777778,0.4263888888888889,39
2021-06-01 11:00:00+00:00,0.0,-10.0,2.3,3,1,1,11,False,1.0,6,0.0,0.0,0.9338888888888888,0.9338888888888888,0.0,0.0,0.4902777777777777,0.7777777777777777,0.0,0.0,0.9338888888888888,0.9338888888888888,37
2021-06-01 12:00:00+00:00,0.0,-9.4,2.2,3,0,1,12,False,1.0,6,0.0,0.0,0.9419444444444446,0.9419444444444446,0.0,0.0,0.1641666666666666,0.4105555555555555,0.1641666666666666,0.4105555555555555,0.9419444444444446,0.9419444444444446,37
