Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_396.0,dock_availability_396.0,bike_availability_549.0,dock_availability_549.0,bike_availability_477.0,dock_availability_477.0
2021-06-26 21:00:00+00:00,0.0,18.6,3.1,7,1,5,21,False,1.0,6,0.9972222222222222,0.9972222222222222,0.0,0.0,0.9972222222222222,0.9972222222222222
2021-06-26 22:00:00+00:00,0.0,17.5,3.8,7,0,5,22,False,1.0,6,0.7686111111111111,0.7686111111111111,0.0,0.0,0.7686111111111111,0.7686111111111111
2021-06-26 23:00:00+00:00,0.0,16.5,2.9,7,0,5,23,False,0.0,6,0.7983333333333333,0.7983333333333333,0.5719444444444444,0.6655555555555556,0.1327777777777777,0.0
2021-06-27 00:00:00+00:00,0.0,15.8,2.6,7,0,6,0,False,0.0,6,0.3644444444444444,0.3644444444444444,0.3644444444444444,0.3644444444444444,0.0,0.0
2021-06-27 01:00:00+00:00,0.0,15.6,3.2,7,0,6,1,False,0.0,6,0.4927777777777777,0.4927777777777777,0.4927777777777777,0.4927777777777777,0.4719444444444444,0.4927777777777777
2021-06-27 02:00:00+00:00,0.0,15.4,3.3,7,0,6,2,False,0.0,6,0.2641666666666666,0.2641666666666666,0.2641666666666666,0.2641666666666666,0.2641666666666666,0.2641666666666666
2021-06-27 03:00:00+00:00,0.0,15.5,2.2,7,0,6,3,False,0.0,6,0.2883333333333333,0.2883333333333333,0.2883333333333333,0.2883333333333333,0.2883333333333333,0.2883333333333333
2021-06-27 04:00:00+00:00,0.0,15.5,1.8,7,0,6,4,False,0.0,6,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112
2021-06-27 05:00:00+00:00,0.0,15.5,1.4,7,0,6,5,False,0.0,6,0.4380555555555555,0.4380555555555555,0.4380555555555555,0.4380555555555555,0.4380555555555555,0.4380555555555555
2021-06-27 06:00:00+00:00,0.0,15.7,1.3,7,0,6,6,False,0.0,6,0.4377777777777777,0.4377777777777777,0.4377777777777777,0.4377777777777777,0.4377777777777777,0.4377777777777777
2021-06-27 07:00:00+00:00,0.0,15.7,2.1,8,0,6,7,False,0.0,6,0.4377777777777777,0.4377777777777777,0.4377777777777777,0.4377777777777777,0.4377777777777777,0.4377777777777777
2021-06-27 08:00:00+00:00,0.0,15.8,1.4,8,0,6,8,False,0.0,6,0.553611111111111,0.553611111111111,0.553611111111111,0.553611111111111,0.553611111111111,0.553611111111111
2021-06-27 09:00:00+00:00,0.0,16.2,0.9,8,0,6,9,False,0.0,6,0.5652777777777779,0.5652777777777779,0.5652777777777779,0.5652777777777779,0.5652777777777779,0.5652777777777779
2021-06-27 10:00:00+00:00,0.0,17.0,1.2,8,0,6,10,False,0.0,6,0.6522222222222224,0.6522222222222224,0.6522222222222224,0.6522222222222224,0.6522222222222224,0.6522222222222224
2021-06-27 11:00:00+00:00,0.0,17.4,2.5,8,0,6,11,False,0.0,6,0.6572222222222222,0.6572222222222222,0.6572222222222222,0.6572222222222222,0.6572222222222222,0.6572222222222222
2021-06-27 12:00:00+00:00,0.0,18.1,2.1,8,2,6,12,False,0.0,6,0.6588888888888889,0.6588888888888889,0.6588888888888889,0.6588888888888889,0.6588888888888889,0.6588888888888889
2021-06-27 13:00:00+00:00,0.0,18.5,2.6,7,0,6,13,False,2.0,6,0.9541666666666668,0.9541666666666668,0.9541666666666668,0.9541666666666668,0.9541666666666668,0.9541666666666668
