started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-12-01 09:43:11.550000+00:00,2019-12-01 09:47:15.802000+00:00,244,397,Storo Storsenter,langs Vitaminveien,59.946695,10.773871,593,Bjølsen mølle,i Sandakerveien utenfor siloen,59.9392,10.768774
2019-12-01 09:44:00.619000+00:00,2019-12-01 09:54:53.159000+00:00,652,412,Jakob kirke,langs Torggata,59.917866,10.754898,578,Hallings gate,ved Dalsbergstien,59.922777,10.738655
2019-12-01 09:44:12.314000+00:00,2019-12-01 09:51:01.488000+00:00,409,468,Skillebekk,langs Drammensveien,59.912742,10.710136,1101,Stortingstunellen,ved Rådhusgata,59.91065301806209,10.737365277561025
2019-12-01 09:44:21.980000+00:00,2019-12-01 09:52:13.461000+00:00,471,552,Trelastgata,ved Kong Håkon 5s gate,59.907967,10.762621,447,Kværnerbyen,ved treningssenteret,59.904473,10.786167
2019-12-01 09:46:25.018000+00:00,2019-12-01 09:55:00.761000+00:00,515,555,Griffenfeldts gate,ved Colletts gate,59.9337026,10.7519299,537,St. Olavs gate,ved Pilestredet,59.9179859,10.7385805
2019-12-01 09:47:52.731000+00:00,2019-12-01 09:50:50.480000+00:00,177,583,Galgeberg,Ved St. Halvards gate,59.9071,10.77921,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
2019-12-01 09:49:46.865000+00:00,2019-12-01 09:56:11.509000+00:00,384,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971,616,Salt,ved Langkaia,59.9069066,10.7466245
2019-12-01 09:50:15.983000+00:00,2019-12-01 09:54:53.602000+00:00,277,449,Ruseløkkgården,langs Løkkeveien,59.913499,10.72656,535,Uranienborgveien,Vest for Slottsparken,59.9200421,10.726634
2019-12-01 09:51:22.058000+00:00,2019-12-01 10:01:35.642000+00:00,613,568,Frognerveien,ved Vestheimgata,59.9170851,10.7128796,537,St. Olavs gate,ved Pilestredet,59.9179859,10.7385805
2019-12-01 09:51:26.924000+00:00,2019-12-01 09:53:12.461000+00:00,105,385,Søndre gate,ved Ankerbrua,59.918632,10.757867,412,Jakob kirke,langs Torggata,59.917866,10.754898
2019-12-01 09:51:28.704000+00:00,2019-12-01 10:01:34.887000+00:00,606,568,Frognerveien,ved Vestheimgata,59.9170851,10.7128796,537,St. Olavs gate,ved Pilestredet,59.9179859,10.7385805
