Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_550,dock_availability_550,availability,dock_availability
2022-06-01 00:00:00+00:00,0.0,-3.7,2.2,0,0,2,0,False,,0.9963888888888884,0.9963888888888884,0.9963888888888888,0.9963888888888884
2022-06-01 01:00:00+00:00,0.0,-4.4,0.5,0,0,2,1,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222222,0.9797222222222224
2022-06-01 02:00:00+00:00,0.0,-1.7,5.3,0,0,2,2,False,0.0,0.9866666666666666,0.9866666666666666,0.9866666666666664,0.9866666666666666
2022-06-01 03:00:00+00:00,0.0,-4.3,2.5,0,3,2,3,False,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-06-01 04:00:00+00:00,0.0,-4.3,3.8,0,16,2,4,False,3.0,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889
2022-06-01 05:00:00+00:00,0.0,-3.8,3.7,0,56,2,5,False,16.0,0.9966666666666671,0.9966666666666671,0.9966666666666676,0.9966666666666671
2022-06-01 06:00:00+00:00,0.0,-4.5,1.4,0,85,2,6,False,56.0,0.984722222222222,0.984722222222222,0.9847222222222224,0.984722222222222
2022-06-01 07:00:00+00:00,0.0,-5.1,1.0,4,33,2,7,False,85.0,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334
2022-06-01 08:00:00+00:00,0.0,-5.3,0.5,4,18,2,8,False,33.0,0.9880555555555556,0.9880555555555556,0.988055555555556,0.9880555555555556
2022-06-01 09:00:00+00:00,0.0,-5.4,2.2,4,19,2,9,False,18.0,0.9908333333333332,0.9908333333333332,0.983333333333333,0.9908333333333332
2022-06-01 10:00:00+00:00,0.0,-5.9,1.1,2,16,2,10,False,19.0,0.9816666666666668,0.9816666666666668,0.981666666666667,0.9816666666666668
2022-06-01 11:00:00+00:00,0.0,-4.6,1.3,2,23,2,11,False,16.0,0.986388888888889,0.986388888888889,0.9863888888888892,0.986388888888889
2022-06-01 12:00:00+00:00,0.0,-4.2,1.2,2,21,2,12,False,23.0,0.9838888888888888,0.9838888888888888,0.9838888888888886,0.9838888888888888
2022-06-01 13:00:00+00:00,0.0,-2.7,1.5,2,24,2,13,False,21.0,0.9899999999999998,0.9899999999999998,0.99,0.9899999999999998
2022-06-01 14:00:00+00:00,0.0,-3.9,0.2,2,33,2,14,False,24.0,0.9908333333333332,0.9908333333333332,0.9908333333333328,0.9908333333333332
2022-06-01 15:00:00+00:00,0.0,-4.0,0.8,2,38,2,15,False,33.0,0.9874999999999996,0.9874999999999996,0.9874999999999994,0.9874999999999996
2022-06-01 16:00:00+00:00,0.0,-6.6,0.0,1,34,2,16,False,38.0,0.982222222222222,0.982222222222222,0.9822222222222216,0.982222222222222
2022-06-01 17:00:00+00:00,0.0,-7.7,1.6,1,27,2,17,False,34.0,0.9911111111111108,0.9911111111111108,0.991111111111111,0.9911111111111108
2022-06-01 18:00:00+00:00,0.0,-8.5,1.1,1,22,2,18,False,27.0,0.989444444444444,0.989444444444444,0.9894444444444442,0.989444444444444
2022-06-01 19:00:00+00:00,0.0,-9.0,1.7,0,16,2,19,False,22.0,0.9933333333333332,0.9933333333333332,0.9933333333333328,0.9933333333333332
2022-06-01 20:00:00+00:00,0.0,-9.0,2.7,0,13,2,20,False,16.0,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.9983333333333332
2022-06-01 21:00:00+00:00,0.0,-9.5,1.8,0,7,2,21,False,13.0,0.9899999999999995,0.9899999999999995,0.9899999999999998,0.9899999999999995
2022-06-01 22:00:00+00:00,0.0,-9.2,2.2,5,6,2,22,False,7.0,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776
2022-06-01 23:00:00+00:00,0.0,-8.2,1.9,5,0,2,23,False,6.0,0.979722222222222,0.979722222222222,0.9797222222222218,0.979722222222222
2022-06-02 00:00:00+00:00,0.0,3.1,0.9,8,0,3,0,False,0.0,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224
2022-06-02 01:00:00+00:00,0.0,2.3,2.2,8,0,3,1,False,0.0,0.9841666666666667,0.9841666666666667,0.9841666666666667,0.9841666666666667
2022-06-02 02:00:00+00:00,0.0,1.1,2.5,8,0,3,2,False,0.0,0.9808333333333332,0.9808333333333332,0.9808333333333332,0.9808333333333332
2022-06-02 03:00:00+00:00,0.0,1.4,5.6,8,0,3,3,False,0.0,0.9911111111111108,0.9911111111111108,0.991111111111111,0.9911111111111108
2022-06-02 04:00:00+00:00,0.0,2.1,6.3,8,19,3,4,False,0.0,0.9866666666666664,0.9866666666666664,0.9866666666666664,0.9866666666666664
2022-06-02 05:00:00+00:00,0.0,1.2,5.4,8,42,3,5,False,19.0,0.984444444444444,0.984444444444444,0.984444444444444,0.984444444444444
2022-06-02 06:00:00+00:00,0.0,-0.3,4.1,8,71,3,6,False,42.0,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.9861111111111108
2022-06-02 07:00:00+00:00,0.0,-0.8,4.1,3,24,3,7,False,71.0,0.9877777777777776,0.9877777777777776,0.9877777777777776,0.9877777777777776
2022-06-02 08:00:00+00:00,0.0,-0.8,3.6,3,20,3,8,False,24.0,0.9988888888888886,0.9988888888888886,0.9988888888888886,0.9988888888888886
2022-06-02 09:00:00+00:00,0.0,-0.2,2.1,3,21,3,9,False,20.0,0.9652777777777776,0.9652777777777776,0.9512152777777771,0.9652777777777776
2022-06-02 10:00:00+00:00,0.0,0.1,4.1,5,21,3,10,False,21.0,0.98,0.98,0.9800000000000004,0.98
2022-06-02 11:00:00+00:00,0.0,1.3,2.0,5,14,3,11,False,21.0,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.9861111111111108
2022-06-02 12:00:00+00:00,0.0,1.1,3.8,5,4,3,12,False,14.0,0.9858333333333332,0.9858333333333332,0.9858333333333336,0.9858333333333332
2022-06-02 13:00:00+00:00,0.0,3.1,4.6,3,12,3,13,False,4.0,0.9966666666666668,0.9966666666666668,0.9966666666666666,0.9966666666666668
2022-06-02 14:00:00+00:00,0.0,2.9,3.5,3,39,3,14,False,12.0,0.999722222222222,0.999722222222222,0.9997222222222216,0.999722222222222
2022-06-02 15:00:00+00:00,0.0,2.5,3.1,3,37,3,15,False,39.0,1.0,1.0,1.0,1.0
2022-06-02 16:00:00+00:00,0.0,2.4,3.7,3,42,3,16,False,37.0,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.9836111111111112
2022-06-02 17:00:00+00:00,0.0,0.7,3.5,3,32,3,17,False,42.0,0.9805555555555554,0.9805555555555554,0.9763715277777778,0.9805555555555554
2022-06-02 18:00:00+00:00,0.0,-0.6,1.3,3,24,3,18,False,32.0,0.9802777777777776,0.9802777777777776,0.9802777777777776,0.9802777777777776
2022-06-02 19:00:00+00:00,0.0,-0.9,2.3,4,29,3,19,False,24.0,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778
2022-06-02 20:00:00+00:00,0.0,-2.6,0.4,4,24,3,20,False,29.0,0.9844444444444446,0.9844444444444446,0.9844444444444442,0.9844444444444446
2022-06-02 21:00:00+00:00,0.0,-3.2,1.1,4,13,3,21,False,24.0,0.9855555555555556,0.9855555555555556,0.9855555555555554,0.9855555555555556
2022-06-02 22:00:00+00:00,0.0,-4.0,1.8,2,8,3,22,False,13.0,0.985,0.985,0.9849999999999998,0.985
2022-06-02 23:00:00+00:00,0.0,-3.3,2.1,2,0,3,23,False,8.0,0.9766666666666668,0.9766666666666668,0.9766666666666668,0.9766666666666668
2022-06-03 00:00:00+00:00,0.0,-1.3,1.4,2,0,4,0,False,0.0,0.9802777777777778,0.9802777777777778,0.9802777777777776,0.9802777777777778
2022-06-03 01:00:00+00:00,0.0,-1.6,0.9,2,0,4,1,False,0.0,0.9897222222222222,0.9897222222222222,0.989722222222222,0.9897222222222222
2022-06-03 02:00:00+00:00,0.0,-2.0,1.3,2,0,4,2,False,0.0,0.9916666666666668,0.9916666666666668,0.991666666666667,0.9916666666666668
2022-06-03 03:00:00+00:00,0.0,-3.1,0.3,2,1,4,3,False,0.0,0.9891666666666666,0.9891666666666666,0.9891666666666664,0.9891666666666666
2022-06-03 04:00:00+00:00,0.0,-3.4,1.1,2,16,4,4,False,1.0,0.9825,0.9825,0.9825,0.9825
2022-06-03 05:00:00+00:00,0.0,-3.1,1.7,2,70,4,5,False,16.0,0.9861111111111112,0.9861111111111112,0.9861111111111108,0.9861111111111112
2022-06-03 06:00:00+00:00,0.0,-3.5,1.0,2,88,4,6,False,70.0,0.9916666666666666,0.9916666666666666,0.9902430555555556,0.9916666666666666
2022-06-03 07:00:00+00:00,0.0,-3.8,0.8,0,30,4,7,False,88.0,0.9677777777777776,0.9677777777777776,0.9567187500000002,0.9677777777777776
2022-06-03 08:00:00+00:00,0.0,-3.3,0.6,0,21,4,8,False,30.0,0.9325,0.9325,0.9324999999999996,0.9325
2022-06-03 09:00:00+00:00,0.0,0.9,0.4,0,19,4,9,False,21.0,0.9850000000000004,0.9850000000000004,0.9850000000000008,0.9850000000000004
2022-06-03 10:00:00+00:00,0.0,0.9,1.8,1,20,4,10,False,19.0,0.9830555555555552,0.9830555555555552,0.9830555555555556,0.9830555555555552
2022-06-03 11:00:00+00:00,0.0,3.2,1.4,1,29,4,11,False,20.0,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.9861111111111108
2022-06-03 12:00:00+00:00,0.0,4.7,1.3,1,21,4,12,False,29.0,0.9669444444444442,0.9669444444444442,0.9669444444444438,0.9669444444444442
2022-06-03 13:00:00+00:00,0.0,7.0,1.1,1,13,4,13,False,21.0,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9930555555555556
2022-06-03 14:00:00+00:00,0.0,6.9,2.6,1,27,4,14,False,13.0,0.9875000000000004,0.9875000000000004,0.9875000000000006,0.9875000000000004
2022-06-03 15:00:00+00:00,0.0,8.1,2.2,1,43,4,15,False,27.0,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9930555555555556
2022-06-03 16:00:00+00:00,0.0,8.0,3.2,5,25,4,16,False,43.0,0.9875000000000002,0.9875000000000002,0.9875000000000004,0.9875000000000002
2022-06-03 17:00:00+00:00,0.0,7.2,2.0,5,15,4,17,False,25.0,0.9855555555555556,0.9855555555555556,0.9855555555555554,0.9855555555555556
2022-06-03 18:00:00+00:00,0.0,5.7,0.3,5,6,4,18,False,15.0,0.9858333333333332,0.9858333333333332,0.9858333333333336,0.9858333333333332
2022-06-03 19:00:00+00:00,0.0,4.8,2.3,7,7,4,19,False,6.0,0.9847222222222218,0.9847222222222218,0.984722222222222,0.9847222222222218
2022-06-03 20:00:00+00:00,0.0,4.2,2.7,7,8,4,20,False,7.0,0.9866666666666664,0.9866666666666664,0.9866666666666664,0.9866666666666664
2022-06-03 21:00:00+00:00,0.0,1.9,1.3,7,13,4,21,False,8.0,0.9991666666666668,0.9991666666666668,0.9657812500000004,0.9991666666666668
2022-06-03 22:00:00+00:00,0.0,1.0,1.4,3,7,4,22,False,13.0,0.9841666666666667,0.9841666666666667,0.951857638888889,0.9841666666666667
2022-06-03 23:00:00+00:00,0.0,0.5,1.8,3,0,4,23,False,7.0,0.985,0.985,0.9234374999999998,0.985
2022-06-04 00:00:00+00:00,0.0,-2.3,1.0,0,0,5,0,False,0.0,0.9844444444444442,0.9844444444444442,0.9229166666666662,0.9844444444444442
2022-06-04 01:00:00+00:00,0.0,-2.8,0.9,0,0,5,1,False,0.0,0.9922222222222224,0.9922222222222224,0.9919097222222226,0.9922222222222224
2022-06-04 02:00:00+00:00,0.0,-1.7,1.0,0,0,5,2,False,0.0,0.9916666666666664,0.9916666666666664,0.9916666666666668,0.9916666666666664
2022-06-04 03:00:00+00:00,0.0,-2.1,2.2,0,2,5,3,False,0.0,0.9858333333333332,0.9858333333333332,0.9858333333333336,0.9858333333333332
2022-06-04 04:00:00+00:00,0.0,-3.8,0.8,0,1,5,4,False,2.0,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888
2022-06-04 05:00:00+00:00,0.0,-4.5,1.3,0,11,5,5,False,1.0,0.975277777777778,0.975277777777778,0.9752777777777782,0.975277777777778
2022-06-04 06:00:00+00:00,0.0,-4.2,1.6,0,17,5,6,False,11.0,0.9833333333333332,0.9833333333333332,0.983333333333333,0.9833333333333332
2022-06-04 07:00:00+00:00,0.0,-2.8,2.0,8,17,5,7,False,17.0,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.9836111111111112
2022-06-04 08:00:00+00:00,0.0,-0.8,0.5,8,27,5,8,False,17.0,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336
2022-06-04 09:00:00+00:00,0.0,0.4,1.3,8,15,5,9,False,27.0,0.9677777777777782,0.9677777777777782,0.9677777777777782,0.9677777777777782
2022-06-04 10:00:00+00:00,0.0,1.4,2.6,8,26,5,10,False,15.0,0.9861111111111112,0.9861111111111112,0.9861111111111108,0.9861111111111112
2022-06-04 11:00:00+00:00,0.0,2.7,1.4,8,26,5,11,False,26.0,0.9797222222222224,0.9797222222222224,0.9797222222222222,0.9797222222222224
2022-06-04 12:00:00+00:00,0.0,4.2,0.8,8,44,5,12,False,26.0,0.9033333333333334,0.9033333333333334,0.9033333333333338,0.9033333333333334
2022-06-04 13:00:00+00:00,0.0,4.6,1.3,8,38,5,13,False,44.0,0.9952777777777778,0.9952777777777778,0.9952777777777778,0.9952777777777778
2022-06-04 14:00:00+00:00,0.0,4.9,1.7,8,37,5,14,False,38.0,0.9761111111111108,0.9761111111111108,0.9761111111111108,0.9761111111111108
2022-06-04 15:00:00+00:00,0.0,5.3,0.8,8,26,5,15,False,37.0,0.982222222222222,0.982222222222222,0.9822222222222216,0.982222222222222
